date,ip 属地,评分,comments
2021-05-02,未知,4,湖南永州中国爱情小镇，经过山岭隧道到达爱情小镇，小镇不大，有很多可以拍照留念的地方，五一前来，人比较少，不是那么挤，游玩还是不急舒服的，感觉小镇很有特色，值得打卡！
2023-10-13,海南,5,十一假期期间去的，从晚上7：30在门口看瑶族舞蹈一直到9：30的烟花秀，整整两个小时的演出，我们都一路跟着看的，非常有创意，演员和游客一起手拉手围着篝火跳舞达到了高潮，最后的烟花秀超漂亮，时间还挺长的。6点我们就进景区了，到处是穿着各种民族服装的游客美女，许愿塔可以免费上还挺好的，在塔边上吃了15元一份的炒米饭，真是量少又难吃，整个景区吃饭的地方很少。景区整体亮灯时间比较晚，赶上天阴就应该提早亮灯，景区最里边都不敢去了当时实在是太黑了。总体还是很推荐有表演节目的时候去这个小镇，38元的门票太亲民了。
2023-10-13,海南,5,十一假期期间去的，从晚上7：30在门口看瑶族舞蹈一直到9：30的烟花秀，整整两个小时的演出，我们都一路跟着看的，非常有创意，演员和游客一起手拉手围着篝火跳舞达到了高潮，最后的烟花秀超漂亮，时间还挺长的。6点我们就进景区了，到处是穿着各种民族服装的游客美女，许愿塔可以免费上还挺好的，在塔边上吃了15元一份的炒米饭，真是量少又难吃，整个景区吃饭的地方很少。景区整体亮灯时间比较晚，赶上天阴就应该提早亮灯，景区最里边都不敢去了当时实在是太黑了。总体还是很推荐有表演节目的时候去这个小镇，38元的门票太亲民了。
2021-05-04,未知,4,永州因为唐代大文豪柳宗元而著名，但是现代也有瑶都的中国爱情小镇，融合了当地少数民族的爱情故事，山清水秀，民风淳朴，村民热情好客，消费合理，适合跟情侣自驾来这里度假游玩。
2023-01-26,广东,5,白天是特色的古风建筑景色，诗情画意十足，令人流连忘返，夜晚，可以到桃花岛走走，坐坐船谈谈情，十分浪漫，值得推荐
2023-01-24,湖南,5,中国爱情小镇，人生必游景点之一
2023-01-23,湖南,5,中国爱情小镇，一生必去的地方！
2023-06-21,湖南,1,严重曝光一家黑店，从景区大门快要到底的一家店。名为百家姓珠宝店，说是卖水金玛瑙石的，进门的时候很是热情，问哪里来的，然后就说五元一个姓氏，一共也才20-30元，后面免费给加工，到后来免费加工的环节，就越来越套路了，说是先给你串一下看看效果，没经过允许就乱七八糟的串了一堆别的珠子和中间配饰，后来直接收费200，我说我还没同意了你怎么就做好了，而且一个珠子要10多元，太贵了，我们不需要这么多，就开始耍无赖了，说是已经做好了，不要也得要，而且老子混过黑社会，你要不要试试看，反正后来就是强买强卖，根本就没同意，就直接收钱200，一个大坑，希望景区管理严肃处理此事，也希望广大游客不要踩坑
2024-01-03,广西,5,还可以，去溜达溜达也还不错的选择，夜景，重点还是夜景，还有风情表演
2024-04-22,广东,3,？？*，。是？不好🙀………………………………………………………………………………………………………………………………………………………………
2024-02-14,广东,5,房屋干净卫生，老板热情，服务一流，性价比高，有机会下次还会来。
2023-01-31,湖南,4,中国爱情小镇很漂亮值得游玩，游船就一般般，何家大院，简直就是垃圾。都不像样
2024-01-01,广东,2,名不符实，也就是条仿古购物街吧，村民可以涮脸进入景区，里面有大部分商铺关门，景区内灯光昏暗，元旦有点表演。性价比低，江华驱车一个多小时到景区，不值。
2023-07-22,湖南,4,店铺好多未开，又在装修。
2023-09-22,广西,5,景点位置佳，风景迷人，停车方便，价格实惠
2024-07-18,福建,5,很诗情画意的一个小镇，美丽仿佛画中
2024-01-13,广西,5,里面仙气飘飘，很浪漫
2023-09-22,广西,5,好玩，浪漫，值得推荐
2024-02-24,广东,5,第一次去有点新鲜感
2024-05-07,湖南,5,景色美；值得去
2024-05-25,广东,5,非常值得推荐
2022-07-17,未知,1,有江华身份证的免费，其他的一概40元。在大门拍张照就走了，短命生意。
2024-08-21,广东,4,去的时候是春节，人非常少
2024-02-05,广东,4,可以一游哦，悠闲
2022-08-12,湖南,1,千万不要去。怕你后悔到吐血关门收门票钱40，里面没人。不知道里干什么的。骗政府补贴，骗游客
2024-01-13,湖南,3,还要建设，很多地方都荒废了
2024-08-18,湖南,3,唉有喂，不推荐
2023-01-28,湖南,1,差劲的要死，进来还要门票，什么东西都没有？
2023-10-14,湖南,1,40块钱欺骗消费者，连鬼影都没有。不知道这个景区是怎么好意思收这个钱的，半夜都睡不着，要给差评，差评
2023-10-01,湖南,2,本地人带外地人打卡，实心实意讲，收个30/人最多，一个纯新造项目，特色很一般。 九点多还在售票，十点钟就熄灯，过分了一点。
2023-01-31,湖南,1,一点都不值得去，特点水臭的，店铺很空
2023-02-10,湖南,1,没亮点，坑人的，短命生意，不要去
2024-02-10,广西,1,非常的不好玩，跟普通的农村没什么两样，妥妥的智商税
2024-01-24,广西,1,啥玩意啊 连个奶茶店都没有 灯也不开黑不溜秋的
