date,ip 属地,评分,comments
2018-07-08,未知,5,今天终于去了中渡，昨夜刚下过大雨，来的路上看见一些河水都变黄了，但中渡的河却仍然是碧绿碧绿的～，让我有点激动。最喜欢的就是那几个码头了，可能是因为从没去到过吧。街道还有许多在一旁卖凉粉的奶奶，没有太多的游客，也没有太多的喧嚣。
2017-10-03,未知,5,中渡镇传统婚礼秀、家宴、吃柴火粉等，这些活动将鹿寨的生态山水、民俗风情、历史人文、美食文化等不同的美，以不同主题集中表现出来，让四方宾客尽情游览美丽风光、感受古风民俗。
2021-06-06,未知,5,位于广西柳州鹿寨县，离鹿寨县城约33公里的地方，一个美丽的古镇。一，驾车过来从鹿寨县城约40分钟可以抵达，二，公交需要到鹿寨县汽车站乘坐，。三，如果从高铁鹿寨北站过来很近，只有10公里，也有公交车，。
2020-07-19,未知,5,中渡古镇，位于柳州鹿寨县中渡镇，古镇沿洛清江而建，春秋季河水清澈，水草丰盛优美。两岸绿树成荫，竹林郁郁葱葱。古镇建筑古朴，充满当地建筑风格的阁楼建筑，也有许多文化古迹。漫步镇中石板古路，给人厚重古朴的气息，让人心情舒畅，忘却烦恼，享受闲情！
2019-10-31,未知,5,"中渡著名的旅游景点。景区内主要地质地貌遗迹有香桥岩天生桥、香桥岩峡谷、九龙洞、响水石林及响水瀑布等50余处，集石奇、洞幽、水秀于一-体,具有很高的科学研究价值和旅游观赏价值,是大自然赐予人类宝贵的自然遗产，被岩溶地质学家称为“中国喀斯特地貌的缩影”和“天然的喀斯特地貌地质博物馆”。 三"
2018-12-16,未知,4,整个古镇稍小，但是格局蛮大，最高峰的炮塔可以去爬一下，古镇整体已经翻修过，比较大的建筑就祠堂这类，渡口保持比较清新，是拍照好去处，整体的规划还是有可以提高的地方
2022-10-11,重庆,4,总体来说适合休闲打发时间，如果喜欢坐船倒是可以推荐，在码头买票30元一个人(注意不要买大众点评上的票，他们说那个已经没有在用了)坐船来回一圈50来分钟。其实古镇整体比较小众，不坐船 个把小时就逛完，所以商业气息也不浓厚。停车很方便，最值得点赞的是地下停车场也居然免费。
2020-12-30,未知,3,老实说，古镇有些衰败，所谓的几个打卡网红景点都关了门，镇子里冷冷清清，古建筑也大多被拆后建成砖瓦房，唯一的看点是古渡码头，三个棵大榕树下河边妇女在洗衣，风景独好。
2020-06-27,未知,4,中渡古镇是我区目前为数不多的、保存完好的古民居群之一，该民居群始建于清代，整个群落一律青砖灰瓦，木质构架，至今仍有很多保存较好的旧商号、客栈、古民居等建筑。
2019-10-02,未知,5,这次自驾前往广西鹿寨，中途中前往中渡古镇转转，很淳朴的民风，没有什么被商业化渲染的气息，有个榕荫古渡，曾经在2018年上了春晚的取景。
2022-08-10,四川,4,妥妥的约会好去处，傍晚带着女朋友一起去散步，晚风轻拂好不惬意。等逛的差不多天黑了，景区所有的灯都亮起的时候又是另一番别致景象，拍照打卡都很出片，路边吃的很多，一定要提早决定吃什么，不然纠结一会儿哪哪都开始排队了
2020-08-22,未知,5,拥有着将近两千多年历史文明的沉淀底蕴，在一座不起眼的山坳小镇。清透冰爽的地下容泉流淌着千年的魅力。看一看，世事洞明皆学问，听一听，处处鸟语花香
2020-12-24,未知,4,還好，就是太單調了，住宿環境不是很好
2020-10-19,未知,4,没有商业化的古镇，十分悠闲的生活
2018-05-01,未知,5,走走还是很不错的 看了大榕树和码头
2023-02-26,辽宁,4,中渡古镇，位于鹿寨县西北部，历史上，依靠险峻幽奇的喀斯特地貌以及便利的洛江水运，成为岭南的军事和经济重镇。
2020-08-05,未知,5,这里景色优美口味独特风景秀丽环境优雅，给人一种优雅感满足感和成就感，点个赞，希望大家都可以到这边来玩儿
2020-06-09,未知,5,中度古镇的洛江边，有一颗据说生长了600多年的古榕树，枝繁叶茂，生机怏然！
2019-04-05,未知,5,非常不错，景色宜人，短期度假休闲的好去处
2020-11-10,未知,3,不收门票，改建的古建筑群，规模不算很大，慢慢走走一两个小时逛完，蛮漂亮，周末休闲值得一去
