date,ip 属地,评分,comments
2016-03-15,未知,4,这个风景区也是免费的，不仅如此，它还有地方停车，并且停车也是免费的 响水之所以叫响水，是因为这里有个小瀑布，所以什么船都不能再上去了，瀑布当然有哗哗的水声了，所以就是响水了。旁边的公路一直可以通到香桥地质公园，那个是鹿寨的著名景点，我去过了，这次就不去了，有时间开车过去也不远了。 小瀑布挺漂亮，虽然比不上黄果树的瀑布，但这个瀑布上面却是可以走人的，所以可以实现真正意义上的玩水或玩瀑布。但我们没穿凉鞋，也没有准备多的鞋子，考虑到水还冷，担心生病，就没有下去。 但是年轻人则可以下去，没啥问题，挺乐的，有几个年轻人就下去了，一路向上游走去，我知道，上游还有个石林，开车去香桥时见过，挺不错的。想玩瀑布水的话，这里是个好地方，没危险，水也干净，我认为该有的都有，我认为不该有的都没有，就是个自然的小瀑布，这就够了，不需要多什么。 河水与公路之间的地里，有些地种有油菜花，这时候正开着正好，自然的田野风光，也是可以领略一下的，女同胞最喜欢这个了……
2018-12-16,未知,3,算是香桥岩融公园的后段吧，中间隔着石林，在中渡古镇可以坐竹排来回，小瀑布而已，可以在瀑布顶玩水，景色比较单一，附近也有月亮山
2016-12-01,未知,4,坐游船也很便宜，从鹿寨县中渡镇坐游船进去来回一个小时费用才25元，非常超值。河水也清，还有珍贵的海菜花，不但漂亮，还说明水质很好，嘿嘿。
2019-06-27,未知,4,水好凉快，适合天气炎热的夏天，还可以游泳
2019-08-05,未知,5,夏天凉快的好去处，旁边有农家乐，可游泳，可划船，水又凉快
2015-11-15,未知,5,周末和同学一起去游玩，发现个不错的风景区哟
2020-04-16,未知,5,响水瀑布是避暑的好地方。这里山清水秀，凉风轻送，让人流连忘返！
2015-11-01,未知,5,风流倜傥，美女酿蜜阿！变了样人间仙境！s
2016-02-11,未知,5,价格便宜，风景名胜古迹遗址如画，确实是度假游玩的好地方
2017-11-26,未知,5,这里适合亲子游玩，特别是夏天更好玩
2017-11-08,未知,4,这个景区是比较有趣的游览的地方，水资源比较丰富，流水声音很响，到这里不算方便。
2018-02-27,未知,5,环境挺不错的，像一个小瀑布，可以游泳
2017-05-25,未知,5,不错，夏天游玩的好地方，适合亲子游
2016-02-02,未知,5,很美丽，夏天去非常棒！很热闹呢！
2017-08-26,未知,5,夏天到这里亲子游玩，真心不错哦
2018-02-22,未知,3,风景比较普通，如果是顺便来那还可以的
2017-12-15,未知,3,这里的风景还行的了，有可以看看的地方
2017-08-09,未知,3,新搞的风景区，里面设施还有完善，但是风景却很美。
2023-05-04,广东,1,5月2日傍晚去响水瀑布游玩，由于雨天，河堤非常滑，家中小朋友不慎掉水中，瀑布附近没有任何提醒以及防护措施，水急而且混浊，外地游客不清楚地形，去那里玩真的很危险！当地政府既然将其作为一个景区推广及宣传，但是没有任何的管理！听当地人说，每年都有人在此处溺亡，以后再也不会去这些开发不成熟的地方了！
2020-10-02,未知,1,导航位置错误，我就说车怎么越来越少！去村里人家家逗了下狗，溜了下鸭，闻了下羊屎，搅了下牛屎就出来了🙃
2017-10-02,未知,1,没什么玩，就是一条水溪，天热可以玩下水，其它就没啥了。
