date,ip 属地,评分,comments
2022-11-17,江西,5,"等不到《玉逍遥》开播，先去九嶷山避暑 《玉逍遥》肖战九嶷山一见钟情任敏，最近九嶷山可是大火了一把 炎炎夏日一起去永州九嶷山（国家森林公园）避暑吧 已经整理好攻略给大家啦~ ————自驾路线———— 长沙-九嶷山 长沙-京港澳高速-许广高速- 厦蓉高速-九嶷山出口 车程：约4小时 ————游玩景点———— 祭舜、舜帝陵、舜源峰、紫霞岩、玉琯岩、永福寺、宁远县文庙、桃花岩 九嶷山风景区开放时间：8:30—17:30 舜帝陵：在九嶷山山脚下，舜帝陵分两个部分，公园和陵园，里面面积很大，可以静下心来好好阅读碑文和陵内的各种建筑，历史气息非常浓厚。 紫霞岩：小学课本里叶圣陶先生描述的《记金华双龙洞》里的风光大抵如此了~一进去就像到了一个截然不同的世界，温度一下就低了，里面岩洞形态各异，凉爽舒适，洞外的阳光照射进来，雾气萦绕，还有各种五彩灯光，十分绚烂。 玉琯岩和永福寺是挨在一起的，石洞不大，豁达明亮，石壁上刻有汉蔡邕的《九嶷山铭》 宁远县文庙：爬完山住宿县城可以去文庙看一看，它是湖南迄今保护最完好的一座文庙，文庙雕刻精美，十二根石柱浮雕龙凤纹饰，大成殿前石质的五龙浮雕，栩栩如生，艺术价值很高。 桃花岩：爬完九嶷山第二天可以去宁远第一大溶洞桃花岩，全长1100米。洞内岩岩壁石钟乳，灿若桃花，洞顶石乳，悬空而挂。洞内流水，清澈碧透,流速极缓。 夏日酷热，逃离城市，一起去九嶷山“修炼”吧~"
2021-03-14,未知,5,九嶷山国家森林公园 晨，急匆匆奔向九嶷山！驱车四十多里山大、沟深、弯多、窄峻、极陡峭…蜿蜒山区八级路，跌跌撞撞到了山脚下，我是登山第一人，登山两个多小时未见一人，至顶后，终于等来后来者，否则想留个影都无能。三分石是九嶷山的标志，来九嶷山者，必登此峰。留下一张影，汗透薄衫！登九嶷山，一是有好车，二是车技高，三是体力够…，否则您休想！
2019-06-14,未知,5,宁远县可能听名字都觉得云里雾里的，说起永州，可能有些人会听过永州之野，盛产异蛇，永州就是最靠近广东的一个市，管辖的范围相当的大宁远县就是永州的其中一个县城，九嶷山就是坐落在宁远县里面。 九嶷山又叫座苍梧山，因九座山峰而得名，九嶷山里面的奇岩怪石众多，岩洞也是相当的多，主要就包括了紫霞岩读书岩，桃花源，还有凤凰岩。 标题的这句诗句就是一代伟人开国元首的诗句，这里有近江南的余韵，还有秀丽的山峦。 （景区分布） 九嶷山是一个国家森林公园，如果要全部逛完的话，估计得几天，按景区也分成几个小区域，其中就包括了舜帝陵，还有三分石景区，紫霞岩景区等四五个大景区。 这次过来走的最主要走的就是三分石，因为时间也有限，所以只逛了一个地方，新开发的景区感受还可以的。
2020-02-28,未知,5,景区位于湘江之源，贯通湘粤桂三省交界，被誉为“三省通衢”之地，素以丰富的文物古迹、独特的自然风光和别具一格的民俗风情著称于世。区位优越，交通便捷，也是“大湘南”宜商、宜居、宜游的绝佳福地。 这里，有大面积的原始森林，树木葱茏、林海莽莽、繁花似锦，江河、平湖、深潭、溪流点缀其间，山水相融。 这里，流传着上古舜帝继唐尧鸿业，启华夏文明，情系天下，魂托九嶷的动人传说......
2018-12-18,未知,5,宁远之旅，我入住了华贸萨维尔世纪酒店，这里采用了欧式与现代相结合的设计风格，硬件设施非常好。看起来超级超级豪华呢!放下沉重的行囊，我首先来到的是玉琯岩，被称为“天下第一盆景”的玉琯岩山体小巧玲珑，独立田桐之中，山上奇石怪树遍布，让人不禁叹为观止！漫步在山间的小路上感受山水大地之美！一切的压力都被抛之于脑后了。 我去的下一个景点，是充满梦幻气息的紫霞岩，在紫霞岩的所见所闻让我难以忘记，喀斯特地貌地下溶洞，乳窟龙珠倚挂，，萦回满地奇葩，气象万千，蔚为壮观。 宁远的第三站就是最出名的舜帝陵啦，它是中华民族始祖“五帝”之一--舜帝的陵庙，也是舜文化的藏精之处，气势恢宏，结构严谨，被称为“华夏第一陵”。旅途到了尾声，恋恋不舍的我踏上了归途，心中暗暗涌出：我还要再来一次！的傻傻的念头。
2018-12-19,未知,5,那些人生中最美的景色你怎么能直看一次，美丽的县城-宁远，是一个不错的选择。算是走过不少地方的人，看到美景不会再轻易就说美哭了美呆了，而在宁远的每一天，几乎很难找到城市的痕迹，在这一片大地点燃了心中自由的火苗，每天都像一个撒脱的兔子，无限放飞着自我。
2018-12-18,未知,5,虽然是第一次来到离家那么远的地方旅游，但是这个美丽的地方绝对是值回票价的。湖南宁远九嶷山这个神奇而又美丽的地方让人流连忘返，既有壮丽的群山峻岭，也有秀美的鸟语花香。不仅如此，这里独特的文化底蕴也深深吸引这我们。舜帝陵庙宇林立，独有一种古色古香的韵味。特色的民俗，各色的美食让人应接不暇。这里给我们一家带来了许许多多美好的回忆，下次一定会再来游历。
2018-12-15,未知,4,偶然的和朋友来到了这个美丽的地方——宁远， 一个有浓厚的文化气息的旅游景点，在这里，我不仅能领略到九嶷山的美好风光，也能细细品味宁远的文化气息。更重要的是，这里的人们都很热情，好客。他们还给我们介绍当地好吃的食物，好看的风景，性价比高的酒店。当我们准备离去的时候，他们的孩子还对我们依依不舍的，真是可爱极了。
2018-12-11,未知,5,奔着看猕猴来的，上山有两条路，左边一条比较平缓，绕着山一直上去，30分钟左右就能上到达山顶。据说山上有很多猕猴，但并不常见，本以为会碰不到，没想到在快到山顶之时，一只小猴突然蹦到我面前，吓得我魂飞魄散。山途中，意想不到的是我们竟然看到了日落，从万里无云的蓝天慢慢慢慢地泛着金黄，十分美丽，渐渐的太阳落山了，天很快就暗了下来。我们在山顶一顿疯狂自拍，然后我们就抹黑下山了。
2016-02-16,未知,5,九疑山有舜帝陵可以去祭拜舜帝，升官发财是非常灵的哟！还有猴山，有好多猴子！还有紫霞岩，在一个岩洞里可以看水上电影，特别特别值得看的就是三分石！一路上风景美的不要不要的，还可以吃瑶族土特产！
