date,ip 属地,评分,comments
2024-12-01,广东,4,去柳州旅游，来到了当地著名的五星步行商业街打卡，这里离看音乐喷泉的江边最佳位置非常近，从步行街步行穿过美食街就可以到达了。我来到五星步行街的那天人不多，没有多少游客，也没有多少当地人，感觉整一条街非常空旷。街道两边都是商铺、餐厅，饮品店、金铺、日用品店、服装店，满街都是诱惑。
2024-10-14,广西,5,去年冬天去的，柳州的地标，也是小吃、美女最多的地方，各种奶茶、各种甜品、旺客烤串，楼上还有季季红火锅、餐厅。
2021-01-30,未知,5,柳州的五星商业步行街还挺好逛的，好吧~_~问问承认我是更被步行街上各种小吃奶茶甜品给吸引。因为很多品牌上海是没有的，而且买的除了一家奶茶店不好喝其他都非常不错。
2021-01-26,未知,4,柳州的五星步行商业街，满大街好吃好喝的东东。 柳州虽然三四线城市，发展的真是不错，尤其商业街和柳江喷泉那块，谷埠商业街也是热闹非凡。 在干五星步行商业街吃到了久违的炸鸡尖，是好吃的那种，我好开心。 多一句话，超市里的东东卖的比上海贵呢。。。
2020-02-13,未知,5,“五角星”这个特殊的称谓源于上世纪50年代，以前在解放南路与中山中路交会处（旧称大十字街）有一个嵌着五角星的岗亭，于上世纪70年代拆除，但“五角星”的俗称却成了此处的习惯称谓。 五星商业步行街建成后，有了五角星雕塑，延续老柳州的记忆。
2020-08-11,未知,4,柳州也有一条著名的步行街五星商业步行街，虽不如王府井，南京路等全国知名步行街，但也有其特色，尤其是在晚上，特别热闹，游客和本地人都爱在这里吃吃逛逛。
2020-08-24,未知,4,五星街，周末的下午，人来人往，一片热闹景象，街上吃的用的，玩的，多了去，曾经在二月的时候走过五星级街上空无一人，再看看现在，由于疫情已经得到好的控制，人们都喜笑颜开的出来了！
2021-05-01,未知,4,住在柳州宾馆，楼下就是五星步行街，一路上有很多小店，还有美食街，特别小巷子里的螺蛳粉好多人排队，节假日这里很热闹，还有驻场表演。
2020-10-08,未知,5,人很多，物也多，想要啥都有。哈哈哈。每次都去吃很多很多的没食。
2021-07-15,未知,5,晚上人还是很多的，白天没有人……
2020-05-19,未知,5,吃的、喝的、玩的、穿的这里都有，逛街来这里，就对了！
2020-06-22,未知,5,五星步行街白天太热，人流量不大，晚上就比较热闹了。
2021-01-18,未知,5,五星商业步行街交通方便，汇集了很多当地的美食。
2024-10-27,广西,5,虽然位置有点难找，但胜在人少，没有嘈杂的环境，整个氛围非常nice，不错子😁
2021-10-15,未知,5,热闹，柳州市中心，步行街，可以玩玩
2021-06-26,未知,4,好玩，吃喝玩乐一条街，趣味性强
2024-11-24,广西,2,就是一条普通步行街，周边商业毫无特色。路过走走，不必要专门去。
