date,ip 属地,评分,comments
2019-12-04,未知,5,"早就听说了柳州的卡乐星球，堪称广西迪斯尼，好评不断，今年端午就来这边一探深浅。卡乐星球离市中心较远，在园博园旁边，坐公交过去都需要一个小时，到站后离门口也有一段距离，我们是开导航然后看着下车的人的走向过去的。 因为去之前在今年三月三还有五一的节假日评论上看到了卡乐星球游玩项目的人数情况，都说一个项目要排队半个小时这样子，而且这里的门票是一票通，你买了门票后，只要人家没下班你就能在里边随便玩，甚至可以重复玩一个项目，以至于有些刺激项目喜欢玩的人会在那里排队玩好几次……可以想象出节假日这边游玩人次是多可怕，所以我们做了准备，早10点就过去，就带了4瓶水（因为这里边是不能让游客自带食物与饮料的，买了票后进门会有人员检查，发现有食物和水会被工作人员要求放在篮子里保管，出来的时候再过来领，不过自己体验过后发现其实人家不会真的把包包的东西都翻出来检查_(:з」∠)_只是叫打开包看一眼而已，里边的吃喝比较贵，普通500ml饮料都是8块起步）,可能端午这天可能太阳比较大，人都不想出来玩？反正到了那边后，感觉来玩的人不怎么多，跟说好的的摩肩接踵排队半个小一个项目的场面不一样啊喂！不过好处就是可以尽情玩耍不排队，美滋滋啊～ 这天开放了32个项目，虽然没有仔细在网上看好攻略画路线，不过感觉能要到下午6点应该绰绰有余了，实际体验证明：真的想多了。因为里边有很多室内体验项目都是按时间段开放的，掐准时间，马不停蹄的赶项目玩到6点下班，也就才玩了15个项目不过也很爽很刺激啦，170一个人的门票还是值得的，很多室内体验项目让人感觉身临其境、耳目一新，就是过程短了些，都是进去十几分钟左右！ 这次来玩是从左手边玩起的，感觉适合小孩子的项目多些，赶时间的话不用体验这么多，推荐下次还是从右边玩起吧_(:з」∠)_ 来的话推荐玩波浪翻滚～海神之锤（大摆锤）～飓风飞椅～神话～峡谷飞舟（我玩了4次……）～圣地古塔～太阳神鸟～西施～奇幻魔术馆～疯狂魔术师～龙城之眼（摩天轮）～时光飞车～激情对对碰（碰碰车）～光速之旅过山车～冲上云霄（跳楼机） 还有很多没得体验有机会再来吧"
2018-02-20,未知,5,春节前优惠活动29元买的夜场票，进场后发现大部分娱乐项目都下班停运了，只剩下几个比较温和点的项目，带着几个孩子玩了几个小时，基本上是个缩小版的迪士尼，场内餐饮倒是便宜，比较亲民，没有迪士尼那么离谱，三D电影没有迪士尼的4D来得刺激，如果白天170元的票可玩性应该比较高，外面停车费10元不计时。
2020-03-28,未知,5,柳州卡乐星球跟传统游乐园不一样， 除了惊险刺激的室外项目， 还采用了尖端的高科技技术打造的一系列室内项目。是真正意义上的高科技主题公园，卡乐星球的高科技室内项目是摄像头无法完美捕捉，是所有图片和文字都无法描述其壮观程度百分之一的惊艳存在，是只有亲身体验和经历才能体会到的对高科技的魔力的灵魂震撼。
2018-05-24,未知,5,高冷星球不值得，进去要租衣服，20块，进去地方很小，五分钟不到看完，还有一种很阴森的感觉有的项目是有规定时间开放，可以提前算好时间，人不算多，基本上不用排队，喜欢刺激的推荐波浪翻滚、峡谷飞舟、过山车、海神之锤等，卡乐小镇这个区域就比较适合带小朋友去的，成年人有些不能玩
2017-12-30,未知,5,卡乐星球超级好玩，夜景很美，有浓浓的节日氛围，圣诞狂欢节玩得很嗨，4D动感电影《快乐珊瑚岛》看得超级开心！有机会还想再去一次……
2018-01-02,未知,4,还是很值得去的，小孩玩得很高兴，有些太刺激不太敢玩，娃们就不同，只要可以上的都玩了。夜场呢开的项目太少，不过夜景不错，合适热恋的小青年们。要玩还是白天场好！！！
2017-10-03,未知,5,不错不错，家门口的游乐园，假期再也不用出去添堵了，到门口刷二维码就可以出票了，玩的项目很多，太阳火辣辣的晒，如果是带一米以下的小盆友就不建议带去了，那么小的孩子能玩的项目不多，这样大人也不尽兴，三五好友一起去还是不错滴！随到随玩，不怎么用等待噢，还是推荐的！
2017-11-07,未知,5,哈哈哈哈挺好玩的现在就是过山车没有开，太阳部落最棒了！！！摩天轮要爬山太累了QAQ总体还好啦，跳楼机就一下而已，忠告啊，如果是夜场票进门往左走玩得比较多一些…鬼屋里扮鬼的人会抱人的qaq
2018-02-19,未知,5,整个游乐场分为四个区块，其中人鱼王国、太阳部落和卡西诺大街老少咸宜，卡乐小镇则更适合小朋友。卡乐星球体验性极佳，园区的服务也很到位。
2019-04-07,未知,5,昨天晚上我们买的夜场票，39.9一个人。特别划算。但是时间还是特别赶。就赶了三个项目。必须五点才能进场验票。有了这次经验，下一次去游乐场我还是要买白天的票。虽说贵点，可玩性还是强很多。这次清明小假期，本来就只能玩三天。所以预算不大。暑期长假游乐场这个一定补回来！
