date,ip 属地,评分,comments
2019-08-25,未知,5,在携程定了夜场，从下午4点半入场一口气玩到晚上9点清场才肯走。孩子1.4+能玩的都转了一圈，我没有下水，一直在看演出。只能带一瓶500毫升的水，其他吃的只能在里面消费了，价格不便宜。孩子玩得很开心，夜场还是很适合夏天来的
2019-07-28,未知,5,***
2020-07-04,未知,4,端午节假期的时候第一次去，建议自带装备（泳衣，拖鞋，毛巾，浴巾，潜水镜，手机袋，游泳圈啥的）那里商店卖的都挺贵，泳衣跟🍑宝上质量没差，我买的泳衣298，问了店员有没有便宜点的，店员指了一套三点一线的大妈装给我说这个198…拖鞋35 毛巾35 （最少也得30） 不能带水带吃的进去 保险箱一个20押金 但是得充值一百块 等退还的时候只能退80 押金不退 游乐设施设备挺多 体验服务不错 就是买了件三百块的泳衣感觉超不值…
2018-09-24,未知,5,那里非常好玩，听着音乐真快乐！有好多滑滑梯，还有一个是趴下来滑下去的，下去好想过山车，从上滑下来，真的非常非常好玩，真的很刺激！
2019-08-25,未知,5,在携程订票比较放心。买了夜场票，4点半进场一直玩到9点清场。孩子玩的很开心，我没有下水，但一直有演出看。不错，值得再来几次。
2020-06-16,未知,5,里面的东西实在是贵，一个人随便在里面吃点就要一百多，而且里面卖的泳衣200-500，不是一般贵，质量和外面50-60的一样，介意自己带泳衣 【性价比】中等
2018-09-27,未知,5,很漂亮 也带点刺激 好玩 值得去玩
2018-08-04,未知,5,多种刺激滑道，音乐嗨翻天，表演精彩，值得一去
2019-09-14,未知,1,克里湾景区是很好也很宽阔，就是好多项目都不开放完，门票一百块钱进去保险箱还挨二十元，吹头发三块钱得吹五分钟，玩的过程中都是在排队，每个项目都挨排个半小时，比起南宁加乐比水上乐园差多了，差评
2018-08-13,未知,5,今天，在漂流河玩，不小心把戒子弄丢了，工作人员很热心帮忙找到。失而复得，特别感谢！
2019-08-24,未知,3,带小朋友玩的还是算了，身高限制，很多都玩不了。而且里面的东西不是一般的贵，门口卖的地摊货泳衣也敢卖到三百多，想去玩的先自己准备好泳衣。最好吃饱了再去玩，里面吃的东西难吃还不说，贵得吓人。
2020-06-23,未知,5,真的很不错，去玩过很多次了就吃的东西贵了点
2023-08-27,海南,5,各项设施都完好，想刺激还是得玩大喇叭。唯一的问题就是上去游玩必须光脚，下来后回来穿鞋需要走过一段水泥路，高温天气把地板晒的很烫，脚踩上去太疼了。还有那个滑梯那里，需要走过一段特别长的塑料垫，太阳晒后也是特别烫，还硌脚，容易脚底起水泡。
2019-07-24,未知,4,***
2022-08-19,广西,5,里面东西是贵了点，但是还是推荐喜欢玩水，玩滑滑梯的小朋友们，好评有免费的救生衣可以穿，自备泳圈泳衣就比较好
2020-08-12,未知,4,这次带的娃有点多，而且小，整得大人没有抽开身玩，一整天都在小孩这些小项目玩，有点心酸……大一点的项目小孩又不能玩……整体还好吧，以前可以自己带单反的，现在不让带了……
2019-08-13,未知,3,玩的还可以，就是里面不该收费的也收费如储藏柜、吹头发的吹风机、停车费、吃的东西贵的离谱，很坑爹。如果能改善一下，我想会有更多的游客愿意到里面玩，毕竟金杯银杯，都不如老百姓的口碑！
2020-10-07,未知,4,门票偏贵，今年全国的景区都搞活动价，这个还是小贵了，主要现在都不让带自己的相机了……有点遗憾！
2019-11-24,未知,5,柳州克里湾里面玩得项目多也超级刺激，是假期去玩的好地方
2019-07-01,未知,5,很好的，dj嗨，建议晚上去超级好玩
2019-08-15,未知,5,很好玩，小孩子都玩的很开心，特别适和带小朋友来玩，而且沐浴的时候有热水供应，工作人员的态度也很好，明年暑假还想再带小孩子过来玩！
2019-08-15,未知,5,很好玩，小孩子都玩的很开心，特别适和带小朋友来玩，而且沐浴的时候有热水供应，工作人员的态度也很好，明年暑假还想再带小孩子过来玩！
2019-08-15,未知,5,很好玩，小孩子都玩的很开心，特别适和带小朋友来玩，而且沐浴的时候有热水供应，工作人员的态度也很好，明年暑假还想再带小孩子过来玩！
2019-10-10,未知,5,很开心，造浪好玩就是呛水，哈哈！漂流也挺不错，很多小朋友呢，里面的牛肉粉挺好吃的，价格也比较优惠，值！
2018-08-06,未知,2,速度慢排队久，工作人员不会合理安排，碰对两个项目游玩，前面都差1到2⃣️人，玩不了，都堵在游玩口，非要等够人，一等都是15一20分钟，不知道让后面够人的先玩．每玩一样都要等一个钟头，排队人不多，只是工作人员一一一脑子不够用。正好又碰到系统故障，一系列的问题，储存柜感应手圈连带消费余额结算不了，排队又长，又久，又是一个半小时。一个个的开手写单一一一
2019-06-17,未知,4,有热水耶，不提供拖鞋和沐浴露洗发水（感jio把这里当家了）二维码短信里不用谢我
2019-07-27,未知,5,很棒，交通方便，环境很好，服务周到！
2020-08-07,未知,5,虽然整体规模小了一点，但是还是玩的很开心！！！推荐！门票价格便宜点更推荐kkk有趣好玩，
2019-12-11,未知,4,一般啦，个人不怎么喜欢玩就是里面东西太贵
2021-07-14,未知,5,一条珍珠手链7月14日晚上玩水掉了，如果有捡到麻烦告知一下我，谢谢了🙏
2020-11-12,未知,4,一般般，很多没开放的，小孩子能玩的项目太少，一般般，很多没开放的，小孩子能玩的项目太少，一般般，很多没开放的，小孩子能玩的项目太少，
2018-12-24,未知,5,夏天人多的时候，造浪池真的很多人！很嗨，很开心的一次游玩！
2020-08-07,未知,5,和妹妹去的，人不是很多，排队不需要很久！开的项目也挺多，最刺激的还是大喇叭！
2022-03-15,未知,5,过了很久再来评论的，作为水上乐园，玩的项目挺多的，还不错。今年继续来！！！
2019-09-11,未知,5,大朋友，小朋友玩得很开心，但是公交出行不适合玩到晚上。
2020-08-11,未知,5,环境不错，游玩的项目多，适合不同年龄段的小孩子玩，下次还想再去玩。
2020-01-05,未知,5,挺好玩的啦！哈哈哈哈，下次还会去，不用排队开心
2019-08-31,未知,4,总体还不错，场地不算大，但项目基本齐全，特别是卫生做得比较好，适合带小朋友来玩。
2021-08-11,未知,5,亲子活动推荐地
2020-11-12,未知,3,一般般，很多没开放的，小孩子能玩的项目太少，一般般，很多没开放的，小孩子能玩的项目太少，一般般，很多没开放的，小孩子能玩的项目太少，
2021-08-25,未知,5,整体还算不错。。小朋友的乐园。
2019-08-08,未知,5,带孩子去玩，孩子觉得挺好玩的。
2019-08-13,未知,3,游玩的项目还可以，就是吃的东西太贵了，贵得离谱，如果吃的东西价格合理一些，我想会有更多的游客到这里玩，金杯银杯不如老百姓的口碑！
2019-10-14,未知,5,价格有点贵，因为人很多，要排很久队才得玩一样。
2019-07-26,未知,3,里面真的非常小，都没有南宁加勒比一半大，刺激的项目也就只有三个！造浪池也是有点假！！
