date,ip 属地,评分,comments
2022-08-16,广西,4,景色确实没的说，广西小张家界名不虚传！值得一游！不过还有几点小吐槽：1.价格还有点小贵，我们两大两小门票加索道上行一共670元。3.山脚和山顶都只有一个小卖部，卖的东西也很少，中间两三个小时路程没有任何的补给。3.景点离县城较远，大部分都是自驾游客。普通的散客到景区的车辆较少。几点建议：1.强烈推荐坐索道上山，游览完山顶部分的景色后再步行下山，全程步行的话腿都要废了！如果索道上下山的话也会错过很多风景。2.带好干粮和水。3.大门售票处旁边的特色餐厅价格公道，味道也相当不错，是我去过这么多景区最良心的一个了，下山后可以去吃个饭。
2021-02-12,未知,4,值得一去的地方，景色真好。适合体力好的需要爬山上下大概2个半小时左右。就是节假日人多，等观光车上去需要2小时太难等了，我们是徒步8公里没等观光车，累死一路上坡。收获满满流连忘返，下次映山红开再去一次。
2022-10-05,广西,5,我买的门票是北帝山门票+玻璃栈道+换乘车，140元/人。比起上次4小时徒步才登顶的金秀圣堂山，贵港北帝山1小时40分钟徒步登顶算难度很小的了。毕竟每个台阶高度都没超过鞋子长度😂，没到腿酸的地步，圣堂山那石阶不仅不规则，还比500ml矿泉水瓶高。我们2022.10.5自驾来的，早上10：24到的北帝山大门，停车在景区里，售票厅三个人工窗口开放买的门票（自助机取票还有另外两个），10：32买好门票，10：41坐上换乘车，10：48换乘车开车，11：03换乘车下车。买票+排队换乘车我自己没有其他朋友经历的排队时间久，也可能是运气吧～～我和先生30岁出头，换乘车到大门后开始往右边道徒步，和也走了玻璃桥，大概登顶1小时40分钟。高空表演真的很无敌，虽然是专业训练，还是担心他们会掉下来，大家来的话注意看表演时间哦。下山花了1小时，刚好又赶上换乘车，2分钟不到又开车了，两次换乘车都没有经历排队。水我们算起来从登山到下来每人喝了3瓶水。毕竟天热～确实耗水。肚子不算饿，早上吃过一碗粉，登山过程就吃了个小蛋糕。好在我们带了全套衣服在车上，太阳太大了，基本都湿了，出来就及时换了🤗，开开心心回家啦。对了，北帝山还是处于开发状态，所以有很多步道、休息亭、酒店等其实都是在建造中，以后应该会更好的。
2021-05-28,未知,4,🧳行前准备： 1、北帝山号称华南”小张家界”美誉，其实不能这么比，否则当你会有落差，它有自己独特的美 2、去北帝山玩玩要预留好足够时间，否则会遗憾，下次再去的机会估计不多，上山3小时左右，下山2小时左右，所以最好上午十点左右到景区最好， 3、上山3小时，时间较长，建议穿长衣长裤，蚊虫多，平时缺乏运动的人，带一根登山杖，到时你就知道它的大作用了！全程爬山过程中没有任何卖吃的地方，只有爬到山顶才有一个小卖部，爬山中想接点泉水都没有，只有山顶属于胜利者才有吃的，所以建议备好适量的食物及饮用水！ 4、备好防晒用品 🌟亮点特色： 1、景区山清水秀，景色怡人，有景区独特秀美， 2、爱拍照的小伙伴可以注意一路上有许多各种秀美的野花，山涧滴水 3、在山顶确有一览纵山小感觉 ❤推荐理由： 山清水秀，奇峰俊俏，去对时间，山上可以观云海，让你暂时忘却都市的喧嚣与纷争！
2021-06-27,未知,5,值得一游。在售票处买票140(包涵门票，园内交通，玻璃栈道三个项目)。网上130需要提前一天预定。园内交通就是在大门进去坐巴士到山脚下，大概也是十多分钟。其实如果让开车进去就好了，但是景区要赚交通费。当天10:40开始登山，边走边玩四个多小时到山顶，在看空中表演那里逗留了蛮久。最好是每人自备两瓶矿泉水和干粮(半山腰有水卖，也有一个小餐厅)。不知道平时是怎样，6月26日去当天云雾弥漫了大山，让人感觉如临仙境，一会儿雾往下沉，一会往上飘，一会儿略带几滴雨点，一会儿晴空万里，一会儿又云雾缭绕。最好带一条汗巾或者带一件衣服，我是衣服都被汗水湿透了，然后风吹来感觉有点儿冷。索道和缆车还没建好，所以都是步行，下山的时候腿发抖，哈哈，今天小腿还痛，下楼梯都绷直着腿。如果下山不怎么拍照了，一个多小时可以到山脚了。我的视频为啥配这个音乐呢，因为半山腰遇到一条青蛇给了我灵感，那青蛇吓到我了，比登山还腿软。
2022-10-10,广东,5,爬了数不清的阶梯，到达山顶那一刻，觉得一切都值了。风景秀丽，高耸入云的山峰，很是壮观。美得拍照都不需要p图。 如果是有老人或者小孩子的又或者是下午来的时间不充裕的，还是建议买个缆车票坐上去，慢慢走下来。因为爬上去真的很费力气，而且傍晚临近闭园很多人排队坐缆车。 山上的走钢丝表演好像是4点左右就不表演了。小卖部很多东西也卖光了。
2022-07-16,未知,4,景色确实很好，不比张家界的天门山差。 三个人买了玻璃栈道和换乘车的套票140元一张，三个人420元。感觉有点小贵了。做了换乘车到了山腰上，才发现不可能爬得上去的，即使爬上去起码也要3个小时，到时天都黑了。于是三个人又花了270元在山腰上补了270元的的单程索道缆车钱。山顶观光完景色后，只能走下来了。走了一个半小时才下了山，脚都肿了。景色很壮观，可惜太耗体力了。山上几乎没有美食，建议大家吃饱了才上山。山脚下有特色餐厅，小炒类不贵也可以。
2020-08-11,未知,4,整个行程大概6小时。如果你不是经常运动或爬山的话建议不要去，到景点以后买好票还要坐大概20分钟的汽车到半山腰，然后开始爬山，阶梯还不错，我中途差不多休息了半小时，到山顶总共花了2个半小时。（没去仙人谷跟好运台）就直接去了玻璃栈道，这个玻璃栈道让我有点失望，不刺激！然后就下山了，回来之后用筋膜枪按摩放松了一下腿部，所以第二天感觉还好，一起去的小伙伴回来没放松结果第二天楼梯都下不了，所以风景虽然不错，但还是得慎重，除非你有脚酸痛几天的心理准备😀 【景色】
2020-12-03,未知,4,景色优美恬静，森林氧吧健身好去處，有小張家界之呢稱，唯景区尚在建設中，有些不調適，出入交通不便，唯自駕首選，從平南縣城來回足矣!
2021-08-21,未知,5,【景色】广西小张家界，非常棒的风味，一路而上，站在不同的位置您会看到不同的景色，山顶座双从山小，绝美无比！ 【性价比】收取门票，还算合理，如果能在山腰或定点设些售卖东西会合适些，去的时候只有山顶才有，就这些蛮不便利的
