date,ip 属地,评分,comments
2016-12-24,未知,5,十八水，一个非常精致的瀑布景点，围绕一条瀑布，引申出多个落点，很值得一游。 山清水秀，空气清新，潺潺流水，总在你耳边响起，游完大概需时一个半小时，那是十分适合拍照和游玩。 山不会太高，走半圈到山顶，然后下山，不觉得很累。 游完十八水，可以到玉石山玩，然后在姑婆山或附近温泉住，也可到贺州市住，非常方便。
2016-03-14,未知,5,如果太白的“飞流直下三千尺，疑是银河落九天。”让你感叹大自然的鬼斧神工，感受到壮观豪迈，那么这里的纤溪细流和蜿蜒柔绵的瀑布则让你有更多和大自然亲近的机会并感受它的温柔与慈爱。这就像是“大漠孤烟直，长河落日圆”的壮丽与“古藤老树昏鸦，小桥流水人家”的静柔，都是别具一格的美。
2016-08-24,未知,4,这是我们的第一站，带着泳衣而无用武之地，一是天公不作美、二是女同胞的不凑巧，整个景点只看了两处瀑布，因为雨下的有点孟，雨水夹着汗水，路又滑，只好提前结束旅程，回上郡酒店，豪双也只不过148元，够宽敞，唯一差评是他们的厕所。在网上好不容易找到一家说是吃正宗广西菜的，但白白走了十几分钟，去到竟然易主了，后来去吃螺丝粉，大乡里的我们以为米粉像螺丝钉而得名，咋知道原来是用螺蛳熬制的汤底，真是乡姑出城笑大人家的口，羞
2017-08-02,未知,4,單論瀑布景觀，這裡不及姑婆山，只是比較集中，不足兩小時的遊程可以看到幾個瀑布；有些山澗小潭可以玩水，腳一放進去便有小魚來咬你，幫你做免費魚療。 另外，景區口的山水泳池是另一賣點，帶備泳具來這裡游泳也蠻寫意。只是旁邊的燒烤場味道也太大了，被迫吸「二手煙」，較煞風景。 另外，交通也實在太坑爹了，若非自駕，便要從姑婆山分汊路口行過來，總有2到3公里吧。遊玩完畢如要往姑婆山，車子難找，只有步行超過1小時。 另外就是門票太貴，性價比遠不及姑婆山。
2016-03-21,未知,4,贺州十八水景区是国家4A级景区，景区内原始森林覆盖率达92.3%，空气中负氧离子每立方厘米含量达6.5万个以上，是城市的一百多倍。6张学生证，半价门票不算贵。山不算太高，一圈转下来花了两个小时，景色还算美丽，空气很清新，瀑布水也很大，是一条瀑布分为几段呈现不同的样子。山下的湖水很清，能免费划竹排，也是蛮有意思的。
2016-01-26,未知,5,非常好，整个景区就我们一家人，景色漂亮，就是上山没有护栏，有点危险，妈妈有些害怕，看原来都有不过现在只剩基座了，希望改进
2017-05-26,未知,4,十八水景区以水奇、石奇、树奇之“三奇宝地”著称。水景以“大佛水”、“一口水”、“黄绸瀑布”、“二毫半”为主体，形成落差近300米、最宽处60米的十级跌水瀑布群，犹如群龙天降，踏雾腾云，震撼人心。是广西第一瀑布群。
2020-08-23,未知,5,景色不错，瀑布很多哈，超喜欢看瀑布的，水质也很不错，夏天站在瀑布前真是太凉快了，，然后丛林密布，石阶也很多，有很多小桥，就是感觉没逛完，沿着路线图走完一圈就花了差不多两小时，有点意犹未尽，然后性价比一般吧，感觉五十还是挺贵的，除了瀑布其他没什么特别的，花了五十来爬山看水，山也不高，在广州很多都是免费的或者没这么高价。
2019-12-02,未知,5,十八水，一个非常精致的瀑布景点，围绕一条瀑布，引申出多个落点，很值得一游。 山清水秀，空气清新，潺潺流水，总在你耳边响起，游完大概需时一个半小时，那是十分适合拍照和游玩。 山不会太高，走半圈到山顶，然后下山，不觉得很累。 游完十八水，可以到玉石山玩，然后在姑婆山或附近温泉住，也可到贺州市住，非常方便。
2021-08-04,未知,4,【景色】景色优美！瀑布群景观漂亮！溪流潺潺清泉叮咚！ 【趣味】入口山泉瀑瀑布潭可以游泳戏水！在山顶可以坐玻璃滑道下山，刺激，有惊无险！可以自主控制快慢，小时候滑滑梯的乐趣！ 【性价比】门票不贵，60岁以上有半价。
2019-04-13,未知,5,十八水原生态景区距离贺州市区仅20多公里，是4A级风景名胜区，夏天是避暑的好去处，景区内空气清新宜人，有二十多个景点，瀑布有十个，水湾有十八处，故名十八水。
2017-07-08,未知,4,对老年人有优惠，山路的高程也不算是太高，可以应付。瀑布区里的空气优良，值得进入，至于负离子是否多寡是否有益，只有专家才能予以回答。
2018-07-30,未知,5,贺州第三站，一直期待的景点，真的很赞。进门就看到山泉水泳池，爬山过程较轻松，瀑布很美，水汽非常凉爽。下山之后还去了泳池戏水，泳池上有竹排。总之这是一场很赞的旅行！PS:游客要注意防蚊虫！
2018-06-19,未知,4,十八水原生态景区距离贺州市中心仅21公里，因景区内有飞瀑十道、水湾十八处，故得名＂十八水＂。 景区内山高林深，瀑布成群，原始森林覆盖率达到92.3％，年平均气温18.2度，空气中负离子含量丰富，是华南地区最富足的原生态天然大氧吧。 门票60元／人，稍微有点小贵了些，若是能再下调点就好了。
2019-06-21,未知,4,贺州是一个美丽城市，这几年来发展也是很快速的，城市建设越来越好，马路越来越宽大，高楼大厦越来越多，城市的绿化面积也是越来越大，有此绿水青山便好安居乐业，景色宜人，空气清新，人们的健康生活也就有保障了。
2017-08-14,未知,5,暑假值得去。可烧烤，游泳，爬山，冰雪世界，是游山玩水的好地方。
2018-07-22,未知,5,网上订了门票，下午三点半驾车到达景点，门前车位很多，大概可停七八十台车。办理取票手续也很便捷，进入景区仰望，森林茂密，沿着行山径走了一周，只见瀑布众多，水流急促;空气清新，心旷神怡，心情舒畅，整个景区游览大约用时两小时，有游水兴趣的朋友也可以到潭中一游。来贺州旅游，十八水景点值得一游。
