date,ip 属地,评分,comments
2017-02-23,未知,5,首先，指出关于千家峒几个误区携程上千家峒景点的首页图片，其实是上甘棠村，不在一个地方；2.千家峒是个地名，范围很广，不是指某个景点；3.千家峒内的景点只有一个，即千家峒大水泊。千家峒地标，只是路边一个小牛角雕塑。盘王广场，只有节庆才有活动，算不上景点。4.千家峒里，无想象中的瑶寨，要看少数民族去勾蓝瑶寨，那不是这个地方。其次，千家峒大水泊确实值得一游，瀑布很高，很壮观！夏季游览，还可以到溪水中戏水。
2016-11-21,未知,5,今年年初去的，并不是很热闹，交通比较方便，但是有好几个车站，都不太起眼，出发之前要先打听好在哪个车站搭车。去千家峒我是一路走过去的，沿途的风景还可以，有条件的建议一路玩过去会比搭车直接到看到的更多
2021-05-24,未知,5,江永县位于位于湘南边陲，东与江华县、南分别与广西富川、西与广西灌阳、北与道县接壤。江永县上江圩乡、城关镇、黄甲岭乡、铜山岭农场等地，历史上流传着一种记录当地土话的特殊文字，流行地域以上江圩为中心，波及毗邻的道县下蒋乡、新车乡。女书的使用者主要是汉族妇女，也有当地一些放弃瑶语只用汉语的平地瑶，是世界上唯一的女性专用文字，是汉语方言的音节文字。
2015-11-05,未知,5,这里是瑶族聚居地，非常有特色的一个地方。千家峒北依都庞岭，地势险要，山深林密，红军长征曾经过此地，在海拔1528米的三峰山石壁上还刻有“中国工农红军万岁”的大字；山上有原始次森林8万亩，有国家保护的一、二级林木27种，珍稀动物28种，称为“南方动植物资源基因库”。景色非常好，推荐大家去玩。
2018-04-28,未知,5,景色秀丽，负离子丰富，溯溪而上，时见小溪穿石而过，又见“遥看瀑布挂前川，飞流直下三千尺”，水质清澈见底，植被茂盛如林。作为有氧运动的行程，性价比是非常高的。
2017-09-25,未知,4,在唐宋时期，这里叫永明，盘、奉、包、沈、唐、黄、李、邓、任、赵、周、廖等十二姓瑶民就生活在千家峒这片乐土上，他们自耕自足，与世无争，只有一条“穿岩”与外界相通。这就是千家峒。
2019-11-08,未知,5,四面环山，云雾缭绕，此乃人间仙境，这就是瑶族古都，千家峒！此生若草人余年有所做为，定回到这里建寺供养三宝，立盘王庙让盘王之后人每年都能回到这里相聚供养参拜，香火万代不熄！
2017-09-14,未知,4,沿千家峒路往北，很快就驶出了城区，雨中的田野山峦，都蒙上了一层水幕。经过一处山岩，外表嶙峋，颜色黝黑，呈现被外力撕裂后的恐怖状。隐隐觉得此地应是一处遗迹。停车细看，果然崖壁上隐约有“穿岩”二字，哦，这里就是当年千家峒的唯一入口，瑶族祖先的故事，就从这里开始。
2015-11-30,未知,5,盘王广场就一大石像，倒是里面的大泊水瀑布很棒，瀑布越来越壮观，最后的瀑布像是从天而降，让你欢叫出来。交通太不方便，没有车，就别去了。
2019-05-05,未知,4,千家峒是千家峒瑶族乡，现在的千家峒坐标就在江永县城5_6公里的地方。看了简介才知千家峒是道县、江永和广西灌阳之间二百平方公里的地界，是瑶族的发源地。这里群山环抱，风景宜人，田里种满了香芋，看上去一片宁静祥和。
2016-08-01,未知,5,休闲养生的好地方，吃的都是正宗的农家菜。
2020-07-01,未知,5,千家峒景色不错，风景优美，风光无限美，感受大自然带来的乐趣，趣味性强，令人耳目一新的感觉，心旷神怡，魅力无穷，棒棒的哦！
2017-02-14,未知,4,瑶族故里，神秘桃源；全世界瑶族人民的精神家园
2018-10-11,未知,4,千家峒原生态的自然风景，植被丰富，感觉舒适，天然氧吧，水清澈透明，趣味性强，值得推荐给大家，性价比超高的，人也非常的好客。
2017-04-24,未知,4,江永县当时天气很差，冷风冷雨。游览了郊外的千家峒瑶族乡（瑶族的祖居地），但现在已几乎没有如何遗迹可寻了，只剩下平常的田园风光，徒有虚名了。
2016-09-06,未知,5,瑶族发源地湖南省江永县千家洞国家级森林公园来了让你和你的家人流连忘返。
2019-01-19,未知,5,到千家峒先到盘王广场转转，然后去开发景点大泊水瀑布，没开发的景点还有马山、温泉、天女洒花，景色都非常好！
2017-12-04,未知,5,全天然尚末开发出的景色，像天女散花、温泉之类的，自驾游推荐
2016-07-21,未知,5,环境美，一条河流围绕，女书园里有女书传人
2017-05-27,未知,5,山水美如画，让人震撼也让人满意！
2016-10-20,未知,5,景色优美，山清水秀，森林大氧吧
2023-06-18,湖南,5,千家峒大泊水一瀑布山清水秀，空气清新，夏天适合避暑胜地。
2022-03-25,未知,5,千家峒瑶族乡大泊水瀑布山青水秀，空气好，真的值得去玩玩。
2021-10-23,未知,5,景色宜人，山清水秀，值得去玩玩。
2023-01-19,湖南,5,千家峒风景很不错的，特别是大泊水瀑布景色宜人。
2016-04-18,未知,5,千年的韵味、山清水秀、给人一种大自然的魅力气息
2017-02-13,未知,5,边陲古建民居，座落于田野之中，独具风格。
2023-03-17,湖南,5,江永县千家峒风景宜人，景色很不错哦。
2022-12-06,湖南,5,江永县千家峒山清水秀，风光无限好。
2016-11-23,未知,5,很有民族特色的地方！很美得风景！
2022-06-06,未知,4,非常漂亮，人文景观交相辉映，值得去看看
2022-07-12,未知,4,千家峒特别是大泊水瀑布山清水秀，空气好，夏天的避暑胜地。
2018-03-16,未知,5,非常好地方，
2022-08-26,湖南,4,江永县千家峒瑶族发源地，一个山清水秀的美丽的地方。
2022-10-15,湖南,4,江永县千家峒山清水秀，空气清新，很值得去的地方。
2022-05-24,未知,4,江永县千家峒瑶族发源地，山清水秀，景色宜人。
2016-10-22,未知,4,值得一去，有园林的感觉，山水建筑
2018-02-23,未知,2,是我找错了地方吗？我至看到一块写着千家峒三个字的大石头，然后就是各种被挖开的山
2021-02-16,未知,1,本人也属于千家峒，这个旅游区就好比广东的一个公园，就是山路走半小时，看一个瀑布就没有了
2017-10-26,未知,2,我想说，是地图指错了地方吗？为什么我只看到一块写着千家峒的石头？！
2018-06-16,未知,1,就一个瀑布，不值得去，一点不值得去。景色一般般，服务更谈不去，私人搞的，很差。
