date,ip 属地,评分,comments
2019-05-05,未知,4,千家峒大泊水瀑布离江永县城十来公里，车行路况较好。门票40元，有点小贵。沿着山路迂回，一路上形态各异的瀑布有看点，水流清激，空气清新，最大的瀑布落差有三四十米。山里的雨说来就来，好在一路上有几座风雨桥可避避雨。
2018-07-30,未知,5,这里的景色还是不错的，沿着山路往里走，有许多的瀑布群，或大或小，最美丽、落差最大的瀑布在最里面。仰头而望，会不由得想起李白那句名句：飞流直下三千尺，疑是银河落九天。
2016-09-08,未知,4,大泊水瀑布风景区位于江永县城北11公里的千家峒瑶族乡，不仅在98年被命名为省级风景各胜区，同时也是全世界瑶胞寻根访祖的圣地，称为瑶族古都千家峒。千家峒由上、中、下峒三个盆地组成，总面积200平方公里。四周崇山峻岭，平均海拔千米以上，有8万亩原始次生林，仅有“穿岸”唯一通道；境内山幽、林深、洞奇、瀑美、泉温，瑶族风情浓厚。这里至今保存着“盘王庙”、“盘宅妹墓”、“平王庙”等瑶族历史文化古迹，流传着神奇动人的民间传说。鸟山、白鹅山、白鹅洞、双塘映月、马山、狗头岩、大泊水瀑布、金童放牧、天女散花、三峰霁雪、仙人桥等自然景观更是迷人，宛若仙境，被喻为瑶族的“桃花源”。 大泊水瀑布位于霸王祖村后，距千家峒乡政府11.5公里，大泊水瀑布是一组瀑布群，一条山谷深达2公里，沿途有七级倾泄的姐妹瀑，一瀑一形、一瀑一潭、一瀑一景，段落分明，自成首尾。到终端就是大泊水瀑布。此瀑布高100余米，宽30米，四季不涸，颇为壮观。远看，从上而下笔直，如一条白链悬挂天空；近观，丝丝银线，白雾茫茫。瀑布下有一水潭，宽约100米。瀑布从上而下冲击水潭，浪花飞溅。若身临其境，则感凉风习习，泌人肌骨。瀑布两边各有一石台伸出，形如两个小平台，可供游人观赏，如若将瀑布与两边的石壁组合起来观赏，有如一只巨大的山鹰，展翅飞翔。
2019-06-29,未知,5,有水的地方即有灵性，这点在千家峒大泊水瀑布得到很好佐证，因为高低错落有致的地形结构形式，致使这些由高向低唱着欢歌的水流，向游人展示出来无限的动感神韵。
2021-05-06,未知,5,千家峒大泊水瀑布景色宜人，很美很漂亮，趣味性强，原生态自然风景，令人心旷神怡，流连忘返，天然氧吧，避暑胜地，不错的选择，棒棒的。
2020-02-12,未知,4,从景区入口进山，都是上坡路，坡度相对较缓，步行40分钟左右可到达景区最里面的大瀑布。沿途一路伴着溪水而行，整个峡谷很深，湿度较高。瀑布前有一座桥梁，瀑布底下是一深潭，这里的水质清澈，入口甘甜。
2018-10-03,未知,5,空气比较清新，大自然气息较浓，就是上上下下爬山有些辛苦，得有好体力，穿平底鞋。爬到山顶大瀑布处很清凉，水气随风扑脸而来。
2022-02-17,未知,3,从景区入口进山，都是上坡路，坡度相对较缓，步行四五十分钟左右可到达景区最里面的大瀑布。沿途一路伴着溪水而行，整个峡谷很深，湿度较高。瀑布前有一座桥梁，瀑布底下是一深潭，这里的水质清澈，入口甘甜。
2017-08-10,未知,5,千家峒森林公园位于湖南省江永县高泽源林场，规划总面积4430 93公顷，它保存了较为完整的低海拔常绿阔叶林：千家峒森林公园从最低海拔300米
2023-03-23,湖南,5,千家峒大泊水瀑布景色怡人，风景秀丽，一瀑一形，一瀑一景，一瀑一潭，美极了。
2023-08-15,湖南,4,青山绿水，适合避暑游玩，门票价格稍贵，瀑布壮观
2018-06-11,未知,4,千家峒森林公园位于湖南省江永县高泽源林场，规划总面积4430 93公顷，它保存了较为完整的低海拔常绿阔叶林：千家峒森林公园从最低海拔300米
2016-11-12,未知,4,大泊水瀑布位于霸王祖村后，是一组瀑布群，一条山谷深达2公里，沿途有七级倾泄的姐妹瀑，一瀑一形、一瀑一潭、一瀑一景，段落分明，自成首尾
2018-11-07,未知,5,永州文化旅游广告都已经做到北京来了，非常美，山山水水都在云雾缭绕中，真好！
2018-12-02,未知,5,这里的空气特别好，到这里来散散步，走走很好，瀑布也很好看，很舒服
2015-11-08,未知,4.6,取票简单，登记后当场付现，行程大概要1个小时，去时正好下小雨，路面有些湿滑，但瀑布非常壮观，很值得一看。
2023-03-18,湖南,5,千家峒大泊水瀑布有水的时候还是蛮漂亮的，值得去的地方。
2023-07-19,湖南,5,千家峒大泊水瀑布山清水秀，景色宜人，值得去玩玩。
2023-04-13,湖南,5,千家峒大泊水瀑布风景秀丽，空气清新，值得去玩玩。
2019-03-09,未知,5,这里的瀑布非常壮观，周边的景色也很好，值得一看！
2023-06-19,湖南,5,千家峒大泊水瀑布山清水秀，空气清新，避暑胜地。
2022-06-26,未知,4,千家峒大泊水瀑布有水的季节很是壮观，空气又好，真的值得去玩玩。
2016-09-06,未知,5,永州南6县最漂亮的瀑布江永千家洞大泊水瀑布
2022-12-25,湖南,5,【景色】很好 【趣味】棒棒哒 【性价比】很高
2022-09-24,湖南,5,【景色】棒棒哒 【趣味】很好 【性价比】很高
2022-10-25,湖南,5,风景秀丽， 【景色】迷人，让人流连忘返。
2022-12-09,湖南,5,千家峒大泊水瀑布风景秀丽，山清水秀。
2020-10-03,未知,5,大自然美丽的风景，值得大家去看一看！
2019-11-29,未知,5,自然风光无限，呼吸一下负氧离子
2018-05-19,未知,4,千家峒大白水景区，赵家客栈风景优美乡村美食，大众消费
2017-10-26,未知,4,比起景区，更喜欢景区门口的农家，天然的竹林后院！
2016-10-22,未知,4,瀑布不大，但是水很清甜，水流婉转
2019-08-08,未知,5,大瀑布极其壮观，飞流直下三千尺，美不胜收
