date,ip 属地,评分,comments
2021-01-10,未知,5,我是元旦过后去的，现在外地身份证免票，广西省内的60块钱一个人，我们2成人2小孩。只有我是外地身份证所以免费一个，双龙沟➕梦鸣苗寨总共一起是203块。性价比我觉得还是不错的。 刚进去就是各种拍照的地方，然后进去就是爬山，每次感觉自己累了就有休息的地方，途中还有小食和水卖，而且收费便宜，一瓶水才2块钱。 唯一不足的就是，还没到玻璃桥对于爱拍照的我来说手机就没电了，也没有充电宝借，所以需要自带充电宝或者在服务中心提前借。 我们去几乎没什么人，到了玻璃桥玻璃太脏了看不清下面，天空之城真的可以体验下，因为带孩子没办法体验，看起来很刺激。那个丛林飞鼠感觉没必要玩，性价比不高，时间也很短。 梦鸣苗寨就是一个苗寨，本来我以为只是看一下风景，但是后来参与他们的活动倒是感觉别有一番体验，一起做游戏什么的。可以在里面住民宿和吃饭。
2018-10-03,未知,3,国庆第二天去的，在现场买的票108元，说真的，就是爬山，最大的看点就是玻璃桥，同行十个人这样，真心不值，门票太贵，里面其他玩的都要另外收费。大家都觉得60左右会比较合理。
2021-06-10,未知,5,双龙沟是以广西“首座悬索玻璃桥”著称的双龙沟景区，游览原始森林、走玻璃桥成为游客的首选之地👏。它在苗寨的山🏔上面，是一处以原始深山野林🏞探险为特色的旅游胜地。景色多以大自然为主，可以从地面、林间、空中三个维度感受“飞悦”森林之美。。——————————————————
2019-12-05,未知,5,最近非常火的玻璃栈道，在融安县大良镇，我们是从柳州出发，走二级路过去的，不是周末，道路不拥堵，不到两个钟头就到景区了。 景区内的环境相当好，空气非常清新，山青水净，非常适合洗眼睛。景区真的很大，我想如果人多只要不去玻璃栈道挤，应该也不会觉得拥挤。 玻璃栈道比想象的惊险，喜欢冒险的不要错过了。 门票价格感觉还是比较适中的，之前没有玻璃栈道就已经要90了，现在团购不到80，算非常划算了。
2020-01-27,未知,5,在融水这边，我们是从三江玩回来的，到达双龙沟景区，门票要128元，我们淡季来，直接把车开到最里面的停车场，不用走那么多路，也可以把车停在大门，坐观光车到景区里面的帐篷酒店那里，景区内里面都是步行的，没有观光车。
2018-02-22,未知,5,景色很美，可惜是冬天，水都干涸了，最好选在夏季来玩，这里有个玻璃栈桥，又叫表白桥。上桥之前，先爬左边的阶梯去看瀑布，否则过了玻璃桥就不能回头了，我就是这样白白错过看其它景点的机会。门票稍贵，在携程买，可以便宜点。
2018-08-08,未知,4,需要爬山，不太适合老人。景区比较不厚道。其实玻璃桥就在入口处不远，景区非要设置成绕远路才能到，累趴。一定要做好防晒，擦汗准备。
2021-01-24,未知,5,广西的融水双龙沟，是一个自然森林风景区，山顶的高空栈道惊险刺激，走在中间感受身下漫山遍野的绿色，融水双龙沟景区是个森林级公园天然氧吧，晚上还可以到苗寨看大型实景演出《苗魅》感觉寨子里无论男女老少都能歌善舞，通过他们的演出能了解当地的风土文化很有趣！这次旅程很有意义！
2018-02-07,未知,5,慕名而来，没有让我们失望！玩的很开心^_^
2019-10-06,未知,5,双龙沟的原始森林就是一个天然氧吧，空气太爽了！收费的游玩项目天空之城和索道很刺激！还有帐篷酒店住一晚有一种奇妙的感觉，下面的梦呜苗寨听说是从山里面整体搬迁来的，晚上还有表演。价格有点小贵，不过出来玩得高兴，不在乎那几百元钱了
2021-10-01,未知,5,融水双龙沟景区还是不错的，玻璃桥也蛮刺激的。去的时候，刚好是下午遇到太阳，加上他们打了一些仙气。光影效果还是蛮不错的。反正小朋友很开心就行了。
2024-07-05,甘肃,5,景区位于县城外，打车约20分钟，到达景区门口（苗寨口），然后乘坐景交车前往双龙沟。里面的景色超棒，山清水秀，游玩约2.5小时到3小时，然后在门口坐景交车返回苗寨口，进苗寨游玩，固定时间有免费的演出可以看，参观约2小时。
2024-12-26,新疆,5,这里是一个避暑的好去处，风景如一幅山水画。
2021-04-06,未知,4,我们是朋友一行四人出行，在县城住一晚，第二天早上起来就直奔双龙沟去的，景色空气都超棒，其实主要是想挑战一下空中之城😃😃景区的设施都挺到位的，一路爬上去路边都有水卖，2元一瓶良心价格，诚信水，游客需要自愿放钱到箱子里。就是索道距离稍微长一些就好了，滑过去都还没尽兴😁😁在玻璃桥上拍拍照片景色也美，梦呜苗寨还原了苗族人民的生活，表演也很有特色，好看，总体来说还是不错的一个景点。总体超赞，景色不错，有趣好玩，性价比高，
2024-12-27,新疆,5,风景美好，费用少。是一个穷游的好去处。
2021-08-06,未知,5,在河南卢氏有个叫双龙湾的景点，风景如画，很美，想不到在这里也有个叫双龙的旅游景点，风景虽然不同，但是，景色同样很美，是众多旅客向往的地方。
2021-01-24,未知,5,景色宜人，活动项目多，整体不错！
2020-11-11,未知,3,性价比低，买了门票后会赠送船票+电瓶车或者是空中索道二选一。我选了前者，结果发现园子很小，电瓶车入园、坐船去山脚总共不超过三分钟，屁股都没坐热。最后上山玩项目还是重新花了一百多块钱自费玩的。玻璃桥也好脏 都看不到下面，好失望。除了坑还是坑 张家界十分之一都比不上 收费水准却不相上下景色一般，可玩性低，
2020-10-15,未知,5,我们是国庆节进的双龙沟，景色非常好，景区很干净，有自取的水，顾客自觉扫2元即可，不需要背很多水上山，山上有食街，卖玉米红薯茶叶蛋等食物，也不贵。玻璃桥和山顶观景平台都不错，小孩子很开心。带了小孩没有走钢丝索道，这个比较惊险，挺刺激的。山下的梦鸣苗寨旁边是一条食街，好多餐厅，逛的人也挺多，在餐厅吃晚饭的话，一般要提前订，好多都已经订满了的。晚上苗寨的节目也不错，很多演员参与，场面宏大。这次国庆之行来双龙沟没有选错。
2018-03-10,未知,5,不错，空气清新。有三段路径选择，走4公里那条可免费玩玻璃滑道。玻璃桥差不多有200米长，有滑索玩。
2018-07-30,未知,4,里面很有森林特色，溪流，参天大树，还有厚厚的青苔，一条很高的瀑布，爬山特别累，风景还是不错的，还有一些游乐设施
2024-12-15,广西,5,广西柳州融水苗族自治县的双龙沟景区，原始森林葱郁，溪流蜿蜒相伴。高空滑索刺激，玻璃栈道惊险，民族风情浓郁，是自然与人文共融的胜地。
2022-10-04,广西,4,景区沟边景色挺美的，但树叶背喷漆的做法实在不可工业国，为了营造秋季到氛围破坏了原有的自然生态，门票100多其实真的贵了，丛林飞鼠40元一个人，如果不想下半山推荐可以有
2024-12-29,广西,5,因是冬天，又非节假日，双龙沟游人稀少。溪边红叶在蓝天映衬下十分美丽。童话世界虽是人工打造，镜头下倒很出片。虽然年届60，我还是大胆尝试了一下丛林飞鼠、玻璃滑梯，有趣。 梦呜苗寨我们赶上了下午4点开始的打同年活动，感受到苗年的热闹气氛，首次看到两马相斗（斗马），确实稀奇。但如果没有打同年活动，特地购买梦呜苗寨门票游览的价值不大（主要是饭店、卖东西的，而且小）。
2022-08-11,广西,4,除了125元的门票外，大部分人还得再支付观光电梯（20元/人）、玻璃滑道（20元/人）、丛林飞鼠（50元/人），因为若不支付，下山得累死。所以，游玩一次成本价约为215元。双龙沟缘来栈道旁边的水得治理下了，混得跟臭水塘一般。
2019-10-02,未知,1,9月28日到双龙沟游玩，非常不舒服的游玩。在携程订购门票，换纸质门票跟很顺利。于是坐景区景观车到景区门口，在检票的时候工作人员説门票少了附券，不让进门。跟工作人员出示携程订购门票信息及换票之后的信息，证明门票已经买了，且未使用，并向其说明从游客服务中心上车到景区门口就几分钟，有可能掉在车上了，让其帮忙联系游客服务中心看看是否有掉落的附券或者怎么解决问题，工作人员直接拒绝联系游客服务中心，说没有客服电话，让我自己去找附券或者重新购票，态度生硬。在门票上找到客服电话，客服也是一个劲往外推。我就跟客服建议，这事你们自己解决不了，可以向负责人汇报，游客寻求帮助没有想过为游客服务一个劲往外推。更可气的是旁边的科普馆工作人员跟景区门口工作人员一起嘲笑我，说林子大了什么鸟都有，是一朵奇葩！真是无语，景区门口有摄像头，好吗？我有没有进去，调摄像来看不就知道了。这么简单的问题，这么粗暴拒绝，游玩的心情都没有了。客服一直没有回电话，我往山下走试试能不能找到附券，还好找到了。于是跟客服回电话，附券找到了，事情发生到找到票将近半小时时间，没有一个工作人员联系我或者説解决之道，只有拒绝，要得负责人的电话也是打不通，2小时之后自称负责人的回了电话，言语间也没有诚意！抛开这事，客观的説，景区风景不咋地，基础设施差，收费与景区不想等，128元，实在有点坑，沟里面的水脏脏的，瀑布就那几缕水，没有看点，除了呼吸新鲜空气没有什么值得的。一次性景点，不会再去了！套票包括梦呜苗寨，人工造景，全国一体化的小商品，又贵，苗妹子的表演也是无精打采，好敷衍！不来可能会遗憾，来了真的后悔！
2018-02-18,未知,5,挺好玩的，就是人太多了，有机会再去。
2018-03-17,未知,5,很好玩，玻璃桥值得一去，回味无穷
2022-07-23,未知,4,本来是一片极为适合亲子探幽或户外散步的原始森林，莫名被增加很多不伦不类的农家乐风十足的塑料装饰，十分失败。之前的清澈小河已变成黄水塘，竹筏也破败不堪无人打理。好在丛林飞鼠项目一如既往的好玩，总体还算不错
2021-05-02,未知,5,景色不错，性价比高，总体超赞，有趣好玩，
2018-05-02,未知,5,在城市呆久了，偶尔亲近原始森林，感受大自然，我个人觉得很不错，其实并不是在乎去哪里，主要的是自己本身的感受，绿水青山。我在这顺便劝一些娇贵的年轻人和恐高的老人就别去了，如果平常缺少锻炼，你就会爬得一点就上气不接下气咯，先别说好不好玩，主要的就是爬山还有一个玻璃桥，我抱着小孩直攻上山顶，然后走下半山玩玻璃桥，这主要是感受乐趣！
2018-02-12,未知,5,爬山有点累，里面另外收费的项目多了点，玻璃桥还行，有这么长，已经不错了。再加上是淡季，没什么游客，我们玩得很舒服。
2023-08-10,广西,5,今天是立夏，再次打卡融水双龙沟，不为什么，因为娃喜欢，现在新增加了童话小剧场，孩子们都挺开心，简简单单的真人白雪公主和七个小矮人，还和白雪公主演员合影了
2018-08-05,未知,3,不好玩，累得要死，反正就是花钱爬山，就是最后一个项目还好。反正就是累死。
2018-05-18,未知,5,玻璃栈道穿过山林还是蛮有特色，虽然没其他玻璃桥惊险……不是周末或节假日去，人少，随便拍照
2018-02-22,未知,5,同行的七个大人两个小孩都玩儿的挺开心，就是爬山对于4岁多的小外甥而言有点儿吃力，过玻璃桥的时候很开心啊
2018-03-05,未知,3,和我家屋背岭一样样，感觉没什么
2019-10-03,未知,3,没水，沟见底了。瀑布一滴水也没有，就是爬山，号称原始森林，一只鸟也没见着，山中鸟飞绝啊。只有那玻璃桥能走走，其它几个项目另收费的。
2019-05-18,未知,5,哈哈，过年去的，人超级多，从下面就有敞篷旅游车专门接游客到售票点，里面的玻璃桥，嗯，特别棒，还有滑索，刺激！！
2024-10-08,北京,5,不是很出名，去之前没有太多期待，但去了以后才发现很美，不比我以前去过的地方差。甚至更美。
2018-03-10,未知,5,女神节这几天女士半价，很不错，很适合小两口玩。
2018-01-14,未知,5,总的来说还可以，空气清晰，游玩项目多但非常安全，景区里到处都有共享雨伞，这点做得很好，且里面的东西全部和外面一样，难得，美中不足之处是面积太小，游玩地方不多，希望再开发多点地方。
2021-08-20,未知,4,体验一般 马马虎虎 玻璃桥很长 属于大工程，其他体验一般。
2019-09-29,未知,1,谁去谁后悔，没有水还很臭，杂草丛生，地图上的路线很多都封闭了，一些烂木头就是一个景点，一百多块钱买鸡腿它不香吗？
2018-04-29,未知,5,景色还不错，去的时候人不多……
2021-10-07,未知,3,挺好的，唯独就是景区里其他玩的项目收费贵
2019-04-06,未知,5,空气清新舒适，漫步在树林上空的感觉不错
2023-05-04,广西,5,风景宜人，景区是懂网红营销的，除了网红玻璃桥之外，整个游览路线设计了很多拍照的景点道具，甚至还有拍照模板告诉游客怎么拍好看。很喜欢景区里的风景，声音很好听。
2021-05-17,未知,3,是一个自然森林风景区，山顶的高空栈道惊险刺激，走在中间感受身下漫山遍野的绿色，融水双龙沟景区是个森林级公园天然氧吧，晚上还可以到苗寨看大型实景演出《苗魅
2019-01-08,未知,5,还行吧，附近居民闲着没事想出去走走的话也还可以选择
2017-12-19,未知,4,这里的原始森林是最大的看点，空气清新，风光旖旎，休闲度假的好地方。
2023-03-10,广西,5,门票只能进去，里面的项目都要额外收费，比较好玩的是上山的魔毯电梯和下山的过山车，孩子玩了一次还要玩第二次，要是有方便点的返回路线就好了。
2023-03-10,广西,5,门票只能进去，里面的项目都要额外收费，比较好玩的是上山的魔毯电梯和下山的过山车，孩子玩了一次还要玩第二次，要是有方便点的返回路线就好了。
2018-12-30,未知,5,就一个爬山的景区，体力要跟得上才行，
2024-02-11,广西,3,双龙沟如果不消费游玩项目就是徒步森林公园，空气清新。梦呜苗寨就是饭店民宿商业街，居然要买门票进去消费真是坑。景区停车场10元，外面的村道停车村民收20元。
2019-10-06,未知,3,景区太过商业化。一路全是体验项目，景区人员骗着玩，旱季过去就是一条臭水沟，空气不错，门票有点贵，白天的梦鸣苗寨民族表演也是商业化。也许我的要求太高了……
2024-08-28,中国澳门,5,挺值得去的
2023-04-25,印度尼西亚,4,门票偏贵，但总体来说景色只能说勉强过的去，最经典的景色就是在瀑布以及水潭，景区内都是些人为修建的景点，在全国各地市来说都随处可见，总体来说，性价比偏低
2018-08-03,未知,5,出行方便，出票快捷，真心不错哦
2021-11-02,未知,5,风景非常优美，尤其是山峰的风景，非常独特。
2018-08-13,未知,5,风景不错，荫凉清新，服务周到，特别感谢保安人员，建有保安微信群，及时为游客解决力所能及的困准，超赞
2023-05-02,广西,5,值得一去游玩，空气清新，性价比高
2020-08-19,未知,5,景色非常不错，空气清新，适合度假
2020-07-14,未知,5,环境不错，疫情原因，关了一些地方
2018-04-09,未知,3,不值票价的钱。很多还在装修。山里空气还是很不错的。
2020-09-20,未知,4,景点感觉一般  ，价钱有点贵了！要爬大山  带小一点小孩估计不方便。山上有个索道和吊索一个苗寨是不收费的，但门票都包括在里面不管进不进去。
2018-04-29,未知,4,还行吧，景区空气好。植被森林多
2018-04-29,未知,5,人少的时候去，整座桥都是你的，想怎么拍就怎么拍
