date,ip 属地,评分,comments
2019-07-20,未知,5,太值了，仅花300多元，吃住玩一天一晚！关键是山美水美人更美！！特赋诗一首以赞巴勒山: 云遮雾罩，飘渺若仙。 深壑幽谷，别有洞天。 雄峰奇诡，秘径探险。 夜宿山巅，摘星览月！
2021-05-08,未知,4,景区风景不错，不过入景区前有十公里左右烂路。小车不过有拖底风险。我是四驱问题不大。保持4至5十公里行驶。景色不错，性价比高，
2017-10-16,未知,5,景区属于大瑶山国家级自然保护区的一部分，国家级森林公园，景区自然幽静，森林景观苍翠宜人。
2019-10-05,未知,3,风景很好，景点售票处不正规，像个小卖部坐个人在卖东西，而且态度非常不好，没有服务行业该有的服务素质，好像游客欠了她的一样，提示在网上买了一张老人票，她的回答就是你们买的老人票与她无关等等，就因为这张老人票有二张订单，查看订单时又很不耐烦的讲你把订单找出来啊，我怎么好随便翻你们的手机，实际上作为游客我当时的手机状态一直都是显示出那2个订单，作为老人票与你们景区无关，就不能好好和顾客解释清楚吗，她很有自知之明说她没文化，正规景区哪会有这种现象，售票处不像售票处，卖票的这么厉害，来游玩的心情已经一下子打了5折
2023-05-01,广西,4,在大瑶山的腹地，景色宜人，旅游的人数不多，山清水秀，空气非常好，但是，景区比较分散点、旅游设施有待完善
2020-01-09,未知,5,有玻璃栈道，但是不是很惊险的那种
2021-10-14,未知,5,总的来说还可以，不错不错的好好
2018-10-06,未知,5,网上订票怎么比现场买票还要贵，打完了折扣还要108，到那里买才100块
2019-10-15,未知,3,本来满怀欣喜的去玩，结果从换票开始心情一落千丈，换票大姐服务态度一般，拖拖拉拉，业务不熟。风景不错。
2020-01-25,未知,4,去景区的路太烂了，颠的我的骨头差点散架。景区风景还是不错的，特别是玻璃栈道很惊险
2019-02-26,未知,5,方便快捷比景区便宜，配套设施还有待完善
2021-08-26,未知,1,景点小，玻璃栈道一分钟走完，整个栈道半个钟走完，景区内可供休息地方少，厕所也没有，收费100元，实在不值，做得去有卵现，难怪没有人来，学学人家北帝山吧。 【性价比】太低。
2023-06-28,广东,1,确实是不值得，景区销售特牛，说给了这个旅行社这个地区，其他旅行社连常规价格都不能做。
