date,ip 属地,评分,comments
2024-11-25,上海,5,虽然不是最美的季节，但是遇到了一个非常晴朗的天气，拍照片真的太美了。 肇兴侗寨有去堂安的直达车，20元往返。开过去大概单程20分钟。下来后坐3元的区间车直接给拉到堂安侗寨门口。大门口就是观景台，非常值得去看看的。建议上午10点就去，太阳刚刚好。
2018-04-02,未知,5,（1）肇兴侗寨位于山谷，在山腰上有一个堂安侗寨，是免费的，可以坐景区内的小客车上去看看，往返20元，单程20分钟左右，不卖单程的。最好坐车，自驾就不要了，一是不熟悉路，二是路很窄，错车都难，路面很好。上面有梯田，因为去的时候不是季节，所以没什么感觉，可以逛1个多小时吧。客车是定时发车的，1小时一班，在肇兴侗寨里坐车。 （2）堂安侗寨比肇兴侗寨规模要小的多，开发程度要低很多，上去的游客并不多。 （3）堂安侗寨，一个计划之外的景点，一种猝不及防的相遇，春天，最美不在山间，而在田园。阡陌纵横勾勒出一幅画卷。一袭薄雾，一场烟雨，山水画中迷朦着淡雅、清新和飘逸。群山深处，原始的风貌，连空气里都是自由的味道。
2017-05-14,未知,5,堂安侗寨位于肇兴侗寨后面的大山上（被称为山顶上的侗寨），相距约20公里，和肇兴侗寨有旅游班车相通，非常自然古朴，它是中国和挪威合作保护的项目，限制商业开发（山下的肇兴侗寨已经有点开发过头了）。
2017-02-19,未知,5,去肇兴侗寨就一定要去堂安看梯田！堂安比肇兴更为古朴，站在上山望着层层的梯田加上侗族鼓楼和风雨桥，仿佛时空穿越！堂安是要登山上去的，当然也有车，但是活动一下筋骨还是很舒服的！
2024-12-15,浙江,5,很多人来到肇兴侗寨，其实最主要的目的是想去堂安，因为他就在侗寨的里面必须得买门票才能进入，但是进入的方式有两种，一种就是在里面接着做接驳车。这是需要费用的，另外一种呢则是徒步我更喜欢徒步的路线的方式过去一路上的风景真的很好。
2017-08-18,未知,5,静谧、悠闲、淳朴的寨子，不大，3个小时左右可以走一圈。交通便利，肇兴侗寨往返20元车费。8月中下旬，空气中充满了稻香，寨民虽和游人有交集，但并不刻意讨好。看看我拍的照片，谈不上技巧，是景美，适宜慢生活！
2020-05-31,未知,5,堂安侗寨是个坐落于山坳中的原始侗族村寨，当地人靠山吃山靠水吃水，盖房子就去少林里伐木，吃米自己种，吃肉自己养。寨中很多老人听不懂汉语，一辈子的路程就是从家到田里，再从田里回家，日出而作，日落而息。村中家家都是夜不闭户，这里最美的不是建筑，也不是梯田，而是人。
2017-12-20,未知,5,肇兴侗寨仁团鼓楼附近有条步行小路可直达堂安侗寨（堂安村），沿途有指示牌（字比较小），石板路只有一条，大胆沿路前行即可。地图显示的堂安侗寨是错误的。2个多小时的山路，一路风景不错，春秋季节一定更好。侗寨在山上，建筑与肇兴大同小异，规模较小，更原生态。也可乘车上下山，20元一人往返。
2016-07-26,未知,4,我是徒步走山路去的，带着孩子走了7公里！天气很热，非常累，但我们坚持下来了！沿途都是一片片绿油油的稻田，原始的乡村美景，梯田、古朴的寨子，纯朴的村民，值得行走七公里
2016-06-25,未知,5,从肇兴村后爬山到堂安，一路上坡。可能反过来走能省力气。路上遍布梯田。山间青石小路。中间路过一个庙，厦格村。从厦格村爬上一个大坡，就到堂安的一个寨门。花桥在另外一个寨门。边走边休息，走了2个多小时。年轻人可以1.5小时。有时间有体力建议起爬上去。在坐车下来。
2016-06-23,未知,5,堂安，山顶上的一个侗寨。不需要门票。更多保留了侗寨的风俗。在这里， 可以看日出，日落。梯田。一般都是包车上来，如果自己爬上来，村里有包车下去的60元一趟。 去的一天，正好村里有人过世。全寨子里的人聚集在鼓楼下吃饭。旁边有一个山泉水，可以直接饮用。鼓楼旁有戏台，有庆祝六一活动字样。如果想听侗族大歌，可以找节日过来。 如果住堂安，可以叫人接送高铁站，就不晕买肇兴侗寨的门票了。现在有7.8家客栈的样子。
2016-04-26,未知,5,很漂亮的一个原生态侗族古老村寨，风景优美，村民非常淳朴，壮美的梯田层层叠叠，山间的云雾如诗如画，晚上还能看到满天星星。
2018-02-02,未知,5,肇兴侗寨有专线小巴20元包来回，十五分钟就到山上的堂安，冬天的梯田景色虽没秋天美，但也壮观，两天前才因道路结冰而封了上山的路，今天仍能见到屋顶和田间的冰块。进寨不需门票，一个小时可以逛完，寨内都是自住的村民，商业气氛很小，值得顺带一游！
2016-09-20,未知,4,从肇兴包车100来回，拼车的话会值的多。脚力不好的不建议徒步，早晨8：30从肇兴出发。到达目的地玩一小时就够了，回肇兴赶上吃午饭。走近梯田，随比不上龙脊，但也依然保留着原始风味。
2017-06-21,未知,5,堂安侗寨绝对的原生态，如果从肇兴侗寨过去建议徒步过去，大约五公里左右两个小时可以到达，寨里有博物馆也可以找家饭馆品尝一下当地的美食。
2023-07-20,河南,5,如果我给大家说肇兴侗寨，各位一定会知道他在哪里，毕竟是我中央电视台春节联欢晚会，这个东站一下子在全国人民心中落下了深刻的印象。但是你是否听说过深藏在肇兴侗寨里面的堂安侗寨呢？ 我原以为自己不去肇兴侗寨就能够到达堂安侗寨的，但是我错了，进入堂安的大门就位于肇兴侗寨之外，这门票是不得不出了，好在现在也都有贵州旅行半价的优惠，所以这个门票也是相当的值得 之所以不想去肇兴侗寨，是不想看那么多的人山人海，所以堂安给我的印象就是格外的安静，不过随着今年暑假的来临，我想任何一个知名的景点都不会有安静两字 虽然现在这里多少有些人流，但是我个人认为，开着车自驾来这里还是很值得的，车子是不能进入景区的，需要在景区内行走，从肇兴到达堂安，大家可以选择搭乘景区内的班车，但是这班车的价格可并不便宜，仅仅只有8公里的路程却要30大洋，但是如果你走上去又会非常的累，毕竟一路都是盘山上坡，不过大家可以选择徒步的方式走下来，这条徒步路线还是在这里较为经典的
2017-08-28,未知,5,肇兴在山谷中，堂安在半山腰。一样是木房、鼓楼、风雨桥等侗族特色的建筑。堂安背靠着大山，村子周围，全是层层叠叠的梯田。 人与自然和谐发展，堂安作为一个侗族文化社区，一种文化体，而呈现在游客的面前。
2015-12-29,未知,5,堂安是世界上唯一的侗族生态博物馆，和所有的博物馆不同整个村寨都是博物馆，真正的原生态，从肇兴到堂安有一条徒步路线，走走停停3个小时左右，如果有时间一定要去走走，可以感受侗寨的原始和美丽
