date,ip 属地,评分,comments
2017-07-21,未知,5,金秀大瑶山集黄山、庐山、张家界之美于一身，雄奇而且灵秀，令人赏心悦目，流连忘返。大瑶山位于广西中部偏东，因主体部分在金秀瑶族自治县境内，故又叫金秀大瑶山。历史上还被称为大藤瑶山、大藤山，是桂江、柳江的分水岭
2016-11-18,未知,5,"集""雄、奇、幽、秀""于一体的大瑶山风景区,景区内的圣塘山莲花山等,千峰挺秀,处处是奇丽壮观的景色,是度假避暑的好地方。在这进而游人还可领略瑶族独有的民俗、村寨、歌舞、佳肴,感受风情万种的瑶族风情"
2016-08-24,未知,4,我70～80年代在金秀度过童年，一直想回去看看，满天的星星、满街的瑶族同胞和梯田是我最美好的记忆。终于今年有机会回到故地，只是相见不如怀念。一旦一个地方大力发展旅游，结果往往是毁灭比建设更多，各地弄的大同小异。谁要看人造湖九曲桥，谁喜欢爬山看一个姜太公钓鱼，经济发展可以理解，旅游业需要有品味有眼界的人来规划。
2020-03-12,未知,5,瑶天下旅游度假区  距离柳州118公里2个小时车程即可到达沿途更是 小溪流水， 群山环扰景如十里画廊 一般别致美感~
2024-10-10,广东,5,太值得了，难度有点大，把握好时间，下午 6 点为最后一班车，登山口离大门 16 公里
2017-02-14,未知,5,桂中地区海拔最高的山，空气清新，富含氧粒子，每年4～5月山上大片杜鹃花开，非常美丽
2018-02-15,未知,5,负氧离子超级高，这里比巴马山水更好，清泉煮水无干净清甜，长寿老人132岁比比皆是
2016-06-09,未知,4,建造很美，景色很漂亮，适合情侣旅游，里面的瑶族文化底蕴很深，一个与世隔离的小城市
2017-03-08,未知,5,少数民族特色很浓，这里的土特产不错，每次来这都会带些回去给家人和朋友。
2018-12-30,未知,5,风景是优秀的风景，就是外人很少知道。广西人自己知道。
2016-01-22,未知,4,金秀大瑶山，是24座高达1500米以上山峰组成，最高峰圣塘山海拨1979米，为桂中第一峰。
2017-12-06,未知,4,这里是个综合性的景区，以自然环境的山水为主体，加入少数民族的文化特色，值得游览
2017-12-20,未知,5,广西群山的精华 俊秀壮丽 风光无限
2023-05-07,广西,3,【景色】景色不错 【趣味】还行 【性价比】高
2022-10-21,广西,4,风景秀丽，环境优美，性价比超高
