date,ip 属地,评分,comments
2022-02-27,未知,4,✨✨✨✨✨ 忙碌了一周 终于迎来了期待的温泉之旅♨️ 没有做太多攻略 随性出发🛣️ 还是有些点值得注意的 有计划出行前往的小伙伴可以看一下喔♥ 🚉强烈推荐大家自驾行 ☞桂林市区前往度假村 百度导航路途2小时(高速通行费💰70) 时耗不长～ ☞景区比较大 虽然有摆渡车 自己随行的东西比较多～还想烧烤的话 肯定是自驾游方便 🏨酒店选择 在阡陌居 汤屋 房车三项选择中 我们果断选择了房车呀 出行尽可能尝试不同的体验是我们一致的想法💡 这里拥有多种房车营地 车内空调 卧具沙发等一应俱全 晚上伴着星空和小伙伴一起火锅🥘烧烤🍢唱歌🎤 早上听着虫鸣鸟叫自然醒来 想想就很美[害羞R][害羞R] 📣房车入住是在云田养生酒店这里 但是六点下班后呢就得到阡陌居(进园区第一站）办理入住 所以如果比较晚才能check in的话一定记得是去阡陌居 以免往返走两趟就很气🥴 ♨️云田养生温泉共有二十多个天然山地户外温泉泡池，泡汤同时可以俯瞰大地景观园区 真的好美♥ 室内水疗馆和泳池是小盆友的天堂 营业时间：9：00-22：00(周六晚上延迟到23：00）泡温泉入场凭房卡 入住购买住店套餐会更划算一些 入场券只有一次噢～ 大地景观乐园 大草坪活动区蛮多儿童游乐设施 定点时间可以喂小鹿 骑马 射箭🏹等～园区拍照📸打卡的点还挺多的 粉黛长势喜人 特别好出片 营业时间：9：00-17：30 📣园区适合步行 自行车啥的就别租了 骑得我好累呀[笑哭R] 注意防晒及时补水～ 📝tips ✨记得带上防蚊装备 山上带水的地方蚊虫较多 ✨进入温泉需要带房卡 手环只能使用一次 ✨建议自带浴袍 汤池只提供浴巾(不介意的可以租温泉的浴袍） ✨泳衣可以选浅色一些的 好出片 差不多就酱啦 祝大家快乐出游♥ #自驾游 #全州大碧头 #房车营地 #周末去哪儿浪 #短途旅行 #走走薯 #小长假怎么玩 #桂林旅行
2020-05-03,未知,5,漂亮吧！这是一个历史悠久的古村！！这雕刻的图案没见过吧！！ 【性价比】非常高！风景优美！宁静！度假的好出处！远离城市的喧哗！
2020-04-21,未知,5,携家人一起挑战大碧头景区丛林穿越项目，非常好的锻炼了孩子的勇敢，自信，坚持不懈的品质，陪同孩子穿过每一个障碍，就如人生度过每一个坎坷，为项目点赞，为人生加油。
2020-06-12,未知,5,广西大碧头国际旅游度假区位于桂北全州县庙头镇大碧头村，离全州城近30公里，有养生温泉、野奢酒店、夏日城市里烈日炎炎，这里习习。
2020-05-12,未知,5,2020.5.13打卡 有幸参观半山居度假汤院，该建筑位于山峦之间，除了别致的中庭、花园，还有私人厨房定制化的餐饮服务，贴心的菲律宾管家，英文有限不然真得好好聊两句。主卧、次卧、书房古朴的中式风格配备现代化智能家居，与时俱进。夕阳西下，余晖洒落配上脚下温泉星罗棋布的灯光闪烁如同漫步浩瀚星空，感受自然风光。
2020-04-20,未知,5,周边有这样的温泉很赞，功能区比较齐中药池，大泳池，休闲大厅，温泉区外是上百亩的花田，植物园，可以体验农耕文化，休闲度假不二之选。大碧头村落里还有古村，可以感受历史文化。
2020-03-10,未知,5,景区疫情防控做的很好，每处都有消毒，入园的时候做了体温和实名登记，有个细节必须鼓励一下，停车场都用锥桶将车位隔离防止密集接触，赞。开园抢购的优惠票，在油菜花海拍了许多照片，又可以大晒朋友圈，羡煞家里蹲，小屁孩在熊乐园和梅花鹿玩的不亦悦乎。
2021-04-18,未知,5,景区内的天然温泉非常舒服，服务体帖周到，景区山水环绕，环境好，特别是空气非常好，负氧离子浓郁，适合亲子、团建、居家休闲、养生的好地方！
2022-01-01,未知,4,元旦当天去的，园区里有活动，有舞龙。小鹿出来放风是有时间的，早上是到十一点半，我们去的时候小鹿刚回家，可以买十块钱一袋的胡萝卜喂小鹿，小羊，还有鸽子和孔雀。如果过来泡温泉可以顺道转转吧，不值得专程来打卡。
2023-03-13,广西,5,很漂亮的地方，可以休闲度假的项目也很多，适合全龄段。
2020-05-15,未知,5,打卡大碧头房车营地，道路没有过多的修饰，铺垫着棕垫，是椰丝编制而成，很符合户外营地，房车外贴着大头儿子小头爸爸还挺可爱，房间内有沙发电视空调冰箱非常适合一家人一起，旁边有露天的烧烤台需要跟餐厅提前预订，整体还行。
2020-05-13,未知,5,2020.05.13打卡大碧头丛林秘境 一行人至游客中心购票后通过登山步道，大约登山15分钟便可抵达丛林穿越项目，工作人员验票后给我们热情的讲解着游玩规则，穿好安全设备便开始了挑战之旅，过木桶、轮胎、攀爬、穿插、滑翔、溜索，大约耗时30分钟，适合团建拓展。
2020-06-11,未知,5,“云游”大碧头~“有美人兮，见之不忘”，这里景色宜人，郁郁葱葱，非常养眼，是避暑的好地方。加上可萌可御，可盐可甜，领略自然之美！美极了。
2020-08-03,未知,5,梅花鹿超可爱，景色也非常的小清新。非常适合情侣和亲子家庭旅游度假。赞，下次还要去看梅花鹿。
2020-10-05,未知,4,这个地方不错，门票也不贵。管理一般般，但是适合带小朋友来玩。挺好的！体验很好，景色不错，有趣好玩，值得推荐，下次可以尝试泡温泉看看。
2021-12-29,未知,4,一般吧，设施比较老旧，胜在有梅花鹿，不过特意去一趟没必要，
2020-11-14,未知,4,景区就一个餐厅只卖套餐，有个穿着厨师服的服务员态度特别恶劣特别差～跟后厨有矛盾直接不管顾客了，说爱炒不炒，反正又不是我吃～最后祝你早日倒闭
2020-08-03,未知,5,风景很不错！温泉也挺干净舒服的！主要就是能玩的景区项目少了点！希望多开发些有趣好玩儿的
2020-03-10,未知,5,成片的油菜花看起来很有感觉，闷了这么久的心情舒畅多了。感觉非常适合闺蜜组团带宝宝来玩，大宝宝们在草坪玩游戏，小宝贝们在熊乐园玩，看小孩特方便
2020-03-11,未知,5,哈哈，猪八戒吃西瓜、蔬菜大战僵尸、光头强偷菜、园区里好多有意思的小品，笑的合不拢嘴。期待温泉恢复开放，再来到此一游。
2021-02-16,未知,3,所买门票是不含温泉，园内项目都是室外儿童游乐场项目。虽然雨天玩不了，但是与非雨天的门票价格一样！下雨天稻田餐厅中午未开，进园也未提示！去一次不会去第二次，如要泡温泉、游玩，建议去临桂罗山湖！性价比低，有待改进，可玩性低，
2020-10-03,未知,4,景色不错，值得推荐，
2020-10-03,未知,4,值得推荐，有趣好玩，
2020-03-10,未知,5,来的正是好时候，天气很好，连片的油菜花，适合出来踏青，服务都很热情，开心。
2020-03-10,未知,5,闲在家里长出了蘑菇，吃了好想出去丸，按耐不住带着家人出来透透气，本想吟诗赠景区，奈何自己。。。只能感叹真好玩。
2019-10-07,未知,5,全州的新景点，很期待，三江口原来一直是当地人游玩的地方呢
2020-07-13,未知,4,田园风格，设施比较新，服务态度不错，池子比较多，可以自由切换，值得一游。景色不错，体验很好，
2020-05-11,未知,5,五一穿着汉服去旅游可以免门票挺好的，医护人员也可以。
