date,ip 属地,评分,comments
2016-10-13,未知,4,还没有开发，值得去。但有人太不文明，一路上有人在烧烤，野炊，甚至是大便，太恶心了。这可是水源保护区哦，应该严格禁止用火，在山里用火，那是找死嘛
2020-10-29,未知,5,天书峡谷风景区是国家AAAA级旅游景区，位于广西梧州市。[1] 旅游信息 2020年，景区重新开放运营之日起至12月31日，全国医务工作者及其父母、配偶、子女，凭有效证件（医师证、护士证或与医务工作相关的其他资格证件）免费入园。医务工作者团体参观游览，可与景区提前预约。此外，景区会在旅游旺季为医务工作者开设优待窗口和绿色通道。[1]
2019-10-14,未知,3,本地蒙山县人5块，其他一律25。关键是这25块，还真的不太值回票价。路都是石碎，尖尖的，超难走，去到八部天书，我以为是天龙八部的八部，其实就是一个石头像有八部天书。还属于半开发状态，我感觉不应该收钱咯。
2019-11-06,未知,4,除了比较冷之外，这边的风景还是挺好的，这边的人是比较多一点，但是可以坐缆车，可以在这边走到比较少人的地方，有一些地方的山还是没有什么树木绿化，覆盖率不算特别高。
2019-06-23,未知,1,就是一条小山冲，从景区（姑且叫景区吧）门口走到尽头，走快一点都不用5分钟，就是人工起了一个山寨门和一栋用来表演的房子，和有十几个穿着古装拿着剑在装模作样的村民，实际情况跟宣传照片天壤之别，主要是靠旅行社带些老人家去，每当有旅行社车来了，停车场的保安马上对讲机通知有一车人来了，然后里面有十几个男女的村民穿着古装拿着剑在那里挥舞一下。门票更是坑爹，当地人5元，外地人50元，宰一次算一次吧。反正没想着有下次了。这些照片还是我用最唯美的视觉拍的。那个门楼就是一进景区门口，那个水是景区尽头，你看我的照片已经看到全部了……我的评论：坑爹，谁去谁后悔！
2019-07-11,未知,5,休闲，散步的好地方，夏季适合游泳
2016-12-13,未知,4,谷口那巨大的“天”字和谷内清潭上的“天书奇石”而得名。峡谷蜿蜒于倮倮峰、观音山、古朗寨、旗号岭等群山之中，全长10多公里，葫芦江和三叉江的两道清溪绕谷流淌。
2017-12-14,未知,5,来到这里，无法不敬畏大自然的鬼斧神工
2016-11-28,未知,5,风景优美，流连忘返，值得去旅游
2021-01-14,未知,5,喜欢山水风情的值得一去！游览观光好地方！
2018-12-12,未知,5,仙境天书峡，人间逍遥谷，旅游好去处！
2022-06-04,未知,5,非常不错的亲近大自然的气息，爱了
2019-11-08,未知,5,孔子云:登蒙山而小鲁。来看看吧！
2024-08-26,广西,5,夏天游泳不错
2016-10-04,未知,2,很多人在这里游泳，烧烤。枯水期，并没有看见玉梦胜景，失望。不值得专门跑去玩。
2021-02-16,未知,1,没东西看垃圾。买票的还歧视外地人，梧州还是外地人吗？蒙山不是梧州的县还说要50元，垃圾景点。
2024-08-13,广西,2,景色还可以，但是不值门票
