date,ip 属地,评分,comments
2022-01-22,未知,5,柳州鹿寨拉勾五家，需自驾到达。里边设有民宿，汽车，帐篷营地。干净卫生，价格实惠。露营条件特别好，每个营地位都有电插座和水管，可以自带插排电扇和各种电厨具烧烤野炊，看满天繁星，不亦乐乎。特别适合几个家庭带小孩去玩水，撒欢。营地边就有从山里流出的小溪，特别清澈。顺着小溪往山里走，右边二拦沟瀑布的下一级瀑布可以玩滑梯，可以徒手攀岩，爬到顶，再从瀑布滑下，直接冲到水潭里太刺激了！但一定要注意安全，要有大人保护，不要单独行动。右边水帘洞瀑布，一路有好多深浅不一的潭水，阳光下碧波荡漾，金光闪闪，蝴蝶齐舞，可以在这里泡水游泳玩上一整天。友情提示，需要里边太凉爽了，如果没做好准备，半夜会被冻醒[囧]，提前预订哦
2018-12-21,未知,5,好美好美的地方，去了舍不得走的地方
2017-12-01,未知,5,拉溝的魚特別鮮美，口感好 還可以邊上遊泳。
2017-11-09,未知,4,这个原始森林属于两个保护区，一个是鸟类自然保护区，一个是生态公益林保护区，值得游览。
2021-12-11,未知,5,位于鹿寨拉沟乡，最早该屯仅有五家人故而得名，居住的周边有山、水环绕，植被茂盛，很适合休闲、游玩、养生。住宿有带民俗特色的房子、类似蒙古包似的房型帐篷，里面设施齐全，还有水电配备齐全的可自带帐篷或是租帐篷休憩地，总的来说这是一处大人小孩都可玩嗨的地方。
2018-02-22,未知,4,这原始森林才是真正的原始森林，原生态的美
2017-12-15,未知,4,懂得拍照的人来这里可以出片的了，不错
2021-02-01,未知,4,这里这里山青水绿，气温适宜，民宿非常有特色，空气非常好，适合休闲度假👍👍👍👍
2021-11-16,未知,5,一个原始森林。各种小动物，只有你想象的到。
2023-01-27,广东,5,【景色】 【性价比】 【趣味】好
