date,ip 属地,评分,comments
2020-08-02,未知,5,湖南道县月岩，一座顶腹皆空的大石山，依据遗留下来的岩石结构和自然走势，天造地化，鬼斧神工，自然地形成东、中、西三个岩洞。月岩洞门，高大巍峨，宛如城阙。岩口恰如月形，远远望去，阳光照射，宛如一轮明月悬挂在半山腰中。三个洞口，相互对峙，三点成一直线。因此，月岩又名“穿岩”。月岩几乎全然裸露在大自然之中，呈开放态势。这种开放性的岩，在国内，乃至全世界都是少见的。
2023-01-25,湖南,5,县城最著名的景点，外地游客一定要过来打卡
2022-12-20,湖南,5,【景色】非常喜欢这边的岩石景观，找出特色开发出来。吸引人来玩。
2023-01-16,湖南,5,月岩最好看，特别好看，欢迎大家克看看 。
2022-12-08,湖南,5,道县最著名的景区，外地游客一定要打卡
2022-12-20,湖南,5,【景色】很有特色的石头哦，还是需要多多发现美的东西。
2022-10-28,湖南,5,道县最著名的景点，外地游客一定要来打卡
2023-01-05,湖南,5,千万年前，大自然的鬼虎神功，值得一看
2022-10-17,湖南,5,道县最著名的景点，国家文物保护单位！
2022-10-16,湖南,5,中秋节的月亮最圆时，最美丽！！
