date,ip 属地,评分,comments
2016-05-19,未知,4,位于柳侯公园的西南角，相比于免费开放的公园，要收费10元而且规模不大，里面是一个以仿清代建筑围成的小院，有贤良祠、讲堂、一些碑文，以及图文展览。而其实公园内柑香亭、罗池、山长住房等，也属于武侯祠的附属建筑，是免费开放的。
2024-12-05,河南,5,柳州的景点几乎很少有收费的，柳侯祠是其中的一个，要想好好逛这里还得需要交门票，不过来到来了为什么不来转一圈呢？这里是我们了解柳宗元非常好的一个地方。也可以感受一下柳宗元和柳州的联系。
2017-04-04,未知,5,柳侯祠位于柳州市中心柳侯公园内的西隅，原名罗池庙，是柳州人民为纪念唐代著名的政治家、思想家、文学家柳宗元而建造的庙。 现在的柳侯祠是按照清代建筑物重建的，祠内陈列有许多文物及史料，反映了柳宗元的生平和政绩。
2018-03-25,未知,5,柳侯祠位于柳侯公园旁，是纪念柳宗元在柳州任刺史而修建，面积不大，几进小院对柳宗元的生平，柳州刺史任上的政绩等作了详尽展示，园中还藏有苏东坡手书荔子碑民国拓本，字体俊健、挺拔，很具气势。柳侯祠旁边还建有贤良祠，是柳州人为纪念唐文宗时期御史大夫刘去华而建。
2019-04-28,未知,5,我和春天有个约会——“柳侯祠”（二十四）， “柳侯祠”，位于柳州柳候公园内，国家重点文物保护单位，是柳州人民为纪念柳宗元而建立的祠堂。柳宗元，唐代著名文学家、思想家、政治家 ，公元805年，加入王叔文主张革新的集团，官至礼部员外郎，革新失败后，被贬为永州司马，815年迁任柳州刺史，819年病逝于柳州，世称柳河东、柳柳州、柳候等，为唐宋八大家之一。柳侯祠，始建于唐长庆二年（822年），附属建筑有柳宗元衣冠墓、柑香亭、罗池和思柳轩，历代屡有修葺，门额“柳侯祠”三字为郭沫若手书，祠内珍藏有历代柳宗元石刻像等历代珍贵石刻，其中集韩诗苏书柳事于一碑的宋刻“荔子碑”最为著名，更被誉为“三绝碑”……，
2019-04-07,未知,5,祠分前、中、大殿三进，内有柳宗元石刻像、柳宗元塑像以及“荔子碑”等历代珍贵石刻40余方。“荔子碑”是宋代大文豪苏轼的书法，写的是韩愈《柳州罗池庙碑》中供祭祀柳宗元吟唱的《迎颂享神诗》，因唐宋三大文豪的文采神韵凝于一碑，故有“三绝碑”之称。祠后有柳宗元衣冠墓，东侧有纪念与柳宗元同称为唐二贤的政治家、柳州司户参军事刘蕡的贤良祠，并有柑香亭、罗池、讲堂、山长住房、斋房、回廊、院门等附属建筑。
2016-04-22,未知,4,柳侯祠位于公园内的西隅，是柳宗元的衣冠墓。园内这块石碑上刻的是毛泽东手书柳宗元的《别舍弟宗一》。碑文曰：建国初期，毛泽东同志在阅读《旧唐书·柳宗元》后感慨万分，手书此诗。
2021-07-07,未知,5,柳侯祠，为全国重点文保单位，位于柳侯公园内，旁边就是柳宗元的衣冠冢。遗憾的是，我特意去拜访的时候正好遇上景点修缮施工，竣工日期要6月底，颇为遗憾。于是白天和夜里都在门口转悠一圈，以作留念。
2017-11-17,未知,5,柳侯祠真心不错，里面很大，有两个景点需要花十块钱通票，园子里植被相当好，园子还很大，很漂亮呢，柳宗元是一个非常单纯又非常执着的人，生于永济死于柳州，短暂的一生啊！
2017-02-22,未知,5,柳公祠位于柳州市柳侯公园内，与贤良祠同院。柳公祠是为了纪念柳宗元而建，祠内有诸多历史遗迹，正殿内有柳宗元坐像，还有一口古井，祠后有柳宗元衣冠冢。柳公祠门票10元。
2021-10-02,未知,5,柳侯祠位于柳侯公园内，是为了纪念唐代著名的政治家、思想家、文学家柳宗元而建的，柳宗元被贬到柳州做官，政绩卓著，深得民心，因此柳州百姓为他建祠纪念。柳侯祠景点不算大，但可以从次了解柳宗元生平事迹，还可以看到著名的荔子碑，因此还是值得一观的。
2021-05-18,未知,4,柳侯公园是人民的公园，超多入口随便进，各种中老年在这里开启自己的高分贝艺术人生。真希望国家给所有60以上老年人每人发一个蓝牙耳机，能不能不要在公共空间里打扰别人啊！ 公园绿化真是不错，负氧离子肯定很高，城中一片绿地甚为不易。 柳侯祠因为消防整修暂时不开放，太郁闷了，有一点小遗憾。
2019-07-02,未知,5,柳侯祠位于柳州市中心柳侯公园内，原名罗石庙，据说当时是因为鉴于如此期盼而得名，现改名为柳侯祠，是柳州人民为纪念唐代著名政治家思想家文学家柳宗元而建造的庙，成人票价10元，还是蛮便宜的，可以进去看一看。
2017-10-06,未知,5,来柳州第一站就选择了柳候公园 ，可能是因为同为唐宋八大家的韩愈被贬到潮州的缘故，对柳柳州有一种特别的感情，我甚至在柳宗元像前想到“韩柳”二字，于是把柳州跟我们潮汕连在一起。从柳候祠能看出柳州人对柳老先生的敬畏爱戴之情，而柳宗元也为柳州做出了不少的好事。
2018-12-14,未知,5,柳侯祠，位于柳州市中心柳侯公园内，始建于 1906 年，原名罗池庙(因建于罗池西畔得名)，现改名为柳侯祠，是柳州人民为纪念唐代著名的政治家、思想家、文学家柳宗元而建造的庙。 祠分前、中、大殿三进，内有柳宗元石刻像、柳宗元塑像以及“荔子碑”等历代珍贵石刻40余方。““荔子碑”是宋代大文豪苏轼的书法，写的是韩愈《柳州罗池庙碑》。
2018-02-20,未知,4,命运真是会给人开玩笑，柳宗元被贬永州又被贬柳州最后客死柳州，可谓命途多舛，仕途不顺。但被当世抛弃的柳宗元却在后世被永久纪念，幸邪？痛邪？
2020-08-01,未知,4,柳侯祠位于柳侯公园内，整个柳侯公园内只有此处收10元门票。柳侯祠也是柳宗元纪念馆所在地，祠内有柳宗元衣冠冢以及纪念他的各种时代的石刻，尤以荔子碑最有名。
2021-05-06,未知,4,柳侯祠位于柳州市城中区文惠路60号，就在柳侯公园的东南侧区，是专门为了纪念柳宗元而设立的一座衣冠墓和祠堂。里面有一些关于柳宗元的文物和史料。
2017-04-24,未知,5,柳宗元是柳州的代表人物，他做为一种文化延续至今，有历史的人文，柳宗元唐宋八大家之一！
2019-05-16,未知,5,千山鸟飞绝，万径人踪灭。 孤舟蓑笠翁，独钓寒江雪。 柳侯祠门前这份篆刻相当醒目，字如其景，展现出诗词的意境。这一对小狮子也有历史年代，神态生动，似乎也在诉说着什么
2018-04-20,未知,5,超级喜欢柳柳州，所以就去拜访了他，公园很大，在城区了，离商业街很近
2018-01-23,未知,3,柳侯祠就藏在柳州市中心最大的绿肺-柳侯公园南侧的大门附近，虽然整个公园是对外免费的，但是这里不大面积的祠堂风格建筑却是要另外收费，即使门票不算太贵也总让人感觉不是很舒服。事实上为了纪念柳宗元先生的建筑里面甚至连文物陈列都屈指可数，还是比较遗憾的感觉
2018-01-31,未知,3,柳侯祠坐落于柳州市中心柳侯公园内，是柳州人民为纪念柳宗元而建造的庙，祠内有许多文物及史料，反映了柳宗元的生平和政绩。到达柳侯祠的交通便利，但是柳侯祠需要额外购买门票，对历史感兴趣的可以去下。
2018-04-02,未知,4,柳州祠位于柳侯公园内，主要是枊宗元的纪念馆，他当年曾在柳州当过刺史。但入场需要另外付 10元才可以进去，个人认为有点坑。
2018-10-10,未知,4,柳侯公园是柳州标志性景区，柳州之名正是来自于唐宋八大家之一的唐柳宗元，当然每次都前来拜会。柳侯词就在这里，可惜要收费的。宁静清幽之地。
2017-12-27,未知,3,在柳侯公园内，从南二入口进去就是，纪念曾被贬到此的柳宗元。公园免费，但入祠参观需十元，七十岁以上老人免票，每周一闭馆。内部很小，主要是些介绍性资料，祠的背后有柳宗元衣冠塚（这个无须凭票）。
2017-08-11,未知,5,带小朋友去近距离接触八大家之一，也是学习教育的一种方式
2018-02-22,未知,5,柳侯祠位于柳州市中心柳侯公园内的西隅，[1]原名罗池庙（因建于罗池西畔得名），现改名为柳侯祠，是柳州人民为纪念唐代著名的政治家、思想家、文学家柳宗元而建造的庙。现在的柳侯祠是按照清代建筑物重建的，祠内陈列有许多文物及史料，反映了柳宗元的生平和政绩。
2018-04-10,未知,4,免费柳侯公园门口就是柳侯祠，离五星步行街很近，散步发呆的好去处，安静悠闲。
2018-02-12,未知,3,在柳侯公园内，有个边门一进去就是祠的正门，需收费参观，周一不开放。这是柳州人为纪念柳宗元而建的，祠的后门外就是其衣冠塚。
2018-04-20,未知,5,超级喜欢柳柳州，所以就去拜访了他，公园很大，在城区了，离商业街很近
