date,ip 属地,评分,comments
2020-06-27,未知,5,柳子庙坐落在永州潇水之西的柳子街上，始建于北宋仁宗至和三年（公元1056年），南宋时期和清朝光绪三年重建，是永州人民为纪念唐宋八大家之一的柳宗元而筑建。 柳宗元出生官宦家庭，少年成名，考中进士，入朝为官，后因参与革新失败，被贬为永州司马，在永州嫡住的10年期间，写下了著名的《永州八记》、《江雪》、《捕蛇者说》等诗文，达到了文学史上的高峰，为传播永州作出了巨大贡献。 柳子庙不大，面积约2千平方米，但殿内堪称文物珍品的碑碣甚多，如严嵩的“寻愚溪碣柳子庙”碑，真迹现存世仅三块，北京、及严家乡江西分宜各一块，还有著名的“荔子碑”，由苏轼书写、韩愈撰文，内容颂扬柳宗元，因此又叫三绝碑。喜欢的朋友真值得好好看看。 柳子庙门票25元，65岁以上老人、学生等可以半票，现因为疫情参观要预约。柳子庙就在柳子商业街，商铺餐馆很多，价廉物美。
2017-04-23,未知,5,很早就倾慕柳宗元，说来也怪，读书时并不喜欢文科的我却非常喜欢那篇《黔之驴》，同时想起那位摇头晃脑的语文老师，即使三十多年后的今天对《黔之驴》依然倒背如流，就为此只身一人不远千里来到永州，来到柳子庙。淅淅沥沥的小雨，柳子街上空无一人，走在寂静的石板路上思绪万千...柳宗元的一生想必大家都十分了解本人不必多说，一个思想上绝不屈服的文人在中国历史上绝不多见，也许正因为如此，即便千年之后依然有人千里迢迢为他而来吧！
2017-02-23,未知,5,柳子庙，其实是柳子街的一部分，位于其中段。无论是古街，还是古庙都保存得很好。柳子庙里的碑廊是柳子庙的精华所在，值得仔细看看。最让我吃惊的是大奸臣严崇的字，还真写得不错！从古街入口对着的桥洞穿过去，其实有一个黄叶古渡，浮桥上的景颇美。一般人不知道！
2017-05-24,未知,4,为纪念柳宗元而建，庙中有戏台，中殿和后殿，中殿有介绍他的生平故事，后殿有大量石碑刻字。看完庙沿着石板路走过一条老街，有一种老镇的味道，转一圈可以回到庙前小桥，很是惬意。自驾游可以把车停在里面的停车场，会近很多，下次就是柳子庙。
2016-11-08,未知,5,柳子街——这条并不平坦的石板路，还有街两旁的陈腐阁楼，只有小家碧玉似的内敛与含蓄，石狮子守护着柳子庙的千年秘密。柳子街：爱上你，和美丽无关。
2024-11-05,江苏,4,柳子庙，是为纪念唐代著名文学家、思想家柳宗元而建的寺庙。建筑风格独特，古朴典雅，是游客了解柳宗元文化的重要场所。这里还保存着大量碑刻和文物，是研究古代文化和历史的重要资料。 带孩子来学习，补充知识的，可能会有点无聊！
2016-09-09,未知,5,柳子庙在永州市潇水西岸上柳子街。公元八百一十四年，人们为纪念唐代著名文学家、永州司马柳宗元而建。 　　古老的永州城外，西山脚下的柳子庙总是那样安详自得。青砖砌就而鎏金耀彩；红墙绿瓦而又典雅端庄；紫色青烟而肃穆庄严；描凤绘龙而气势非凡。这不正像子厚先生的人品一样?他既给你—种高深莫测的哲人之感，又令你可敬可亲。 　　这就是柳子庙，不，这就是柳先生。是被韩退之称之为“少精敏，无不通达”二十岁中举进士的柳河东；是勇于“永贞革新”力倡改革而不坠青云之志的柳子厚；是因“文以载道”而力主古文运动方有“韩柳”之称，而又四十七岁英年早逝于异土他乡的柳柳州；是以文章闻名天下而有“唐宋八大家”之称的柳宗元了。 　　韩重儒学，柳重现实；韩重道统，柳重“明道”；一为复古，一为重今。同为古文运动的倡导者，又都重“道”，但主张有异，可一篇《柳子厚墓志铭》却让后人深谙柳的为人与不朽功绩，感到了柳的人生坎坷与怀才不遇。 　　作为一个思想家，天人相分不迷信之朴素唯物主义无神论思想委实让我们懂得了人的历史进化论作用，也让我们了解了他的文学见解完全服从于其哲学与政治主张。凡读过《答韦中立论师道书》等文章的后辈学子们，谁也不会忘记他的谆谆教诲：“文以明道”乃为文之目的；“为文不以取名誉，意欲施之事实以辅时及物为道”，好一种有益于生民的思想。“辞令褒贬，导杨讽喻”告诉我们：文章的作用是分清是非善恶，有所讽喻，劝戒。有人称“辅时及物”是他伟大思想之价值所在，这确实是恰如其分。 　　读他的寓言小品吧，我们会明白无论是古是今均少不了狐假虎威，外强中干，恃宠而骄的帮凶小人。他告诫我们：立身处世免不了要多长个心眼儿以明辨是非曲直。 　　而他那将诗情画意及个人怨愤融于一炉的山水游记之作，却让后人感悟到：祖国河山之优美壮观同人世间的恩恩怨怨与不平相辅相成，美与丑，善与恶辩证而立。 　　柳先生呵，你走得太匆忙，四十七年屈指可数，可你的思想浩气长存，你的不朽杰作名芳千古!
2021-03-01,未知,5,柳子庙 来永州必来“柳子庙”，宋代为纪念柳宗元而建，这里有盛名甚笃的三绝碑、严嵩碑…。永州的山水美景成就了柳大哥，他的许多佳作名篇都是永州触景情生而作，同时他传世之作也成就了永州。“永州产异蛇”，“永州八记”…篇篇大作，永州声名大彰！
2016-09-16,未知,3,柳子庙为纪念柳宗元而建，在柳子街中。内有镇庙之宝“三绝碑”及严嵩谒柳子庙碑等，较珍贵。门前还有柳子桥相连。不过规模小，门票25元太贵。
2020-10-19,未知,5,湖南永州柳子庙，门票25元，60以上半价13元。柳宗元的《捕蛇者说》是中学语文课的名篇，能亲身体验一下柳宗元被贬永州十年的地方，也算是中学语文课的实践环节。柳子庙始建于北宋仁宗至和三年（1056）。南宋始兴十四年（公元1144年），清朝光绪三年（公元1877年）重建。柳子庙布局结构为三进三开，首先一座双檐八柱戏台，顶部有八仙和他们的老师太上老君的雕像。后行至二进中殿，悬挂有牌匾“都是文章”；再后为三进正殿、殿中有中央工艺美术学院教授、著名石雕艺术家李葆年先生雕刻的柳宗元塑像供人祭祀，形神兼备，栩栩如生。后面的碑廊存有历代碑碣，其中《茘子碑》被称为三绝碑，碑文为韩愈所撰，由苏轼书写，内容却是颂扬柳宗元的事迹，此碑首句为“荔枝丹兮焦黄”，故又名荔枝碑。
2019-02-09,未知,5,说起永州，很多人首先想到的就是唐宋八大家之一的柳宗元。这次终于来到永州的零陵，得以一观纪念柳宗元的柳子庙。我们在游览过零陵古城后，在柳子街上找到了这个庙。入内参观需购买门票。里面的展品展示了柳宗元的生平和事迹，让我们印象深刻的是碑林和碑刻。
2018-12-09,未知,5,十二月五日下午，从零陵古城走到柳子街柳子庙，柳子庙门票二十五块，既然来了进去看看，柳宗元唐宋八大家人物，当然拜访一下，柳子街也挺长，环境不错，可惜柳子街街口霞客渡口被拆，可惜惋惜，
2017-10-03,未知,4,柳子庙是纪念柳宗元的地方。有点像一个大祠堂。柳宗元曾被贬在永州任司马，写下了《永州八记》、《捕蛇者说》等流传甚广的作品，他在任期间的民本理念，为百姓乐道。不过25元的门票太贵了。
2016-09-21,未知,4,古色古香的一条街。安静，祥和。小桥，流水，人家。散步还可以
2024-12-18,山东,5,纪念柳宗元的庙宇，古朴大气，仿佛穿越时间能和柳子对话
2019-03-30,未知,4,从永州坐的的过去用了差不多一个小时，庙的外观颇老，已经有一段历史。收25元的门票也算合理，其实里面看的东西并不多，但作为历史参考是有点价值的。
2016-11-10,未知,4,"满满古意柳子庙位于湘南，与广西毗邻。这是一处历史悠久、山青水秀的好地方，景胜众多，古迹昭昭。说起永州，人们首先会想到柳宗元。柳宗元（公元773-819年）,唐代著名文学家，唐宋八大家之一。柳宗元因参与王叔文改革失败遭贬至永州谪居10年"
2018-06-01,未知,5,柳子庙因柳宗元而得名，位于零陵柳子街。柳子街是一条古老的街，青石板路，两边是木制板楼。走在青石街上，有一种穿越的感觉。柳子庙前是一条小溪一一愚溪，柳宗元的《小石潭记》就出自小溪的上游。
2015-11-05,未知,5,我在这里生活了4年，对这个景点颇有感情，非常喜欢这个景点。柳宗元因参与王叔文改革失败遭贬至永州谪居10年，写下了《永州八记》、《江雪》、《捕蛇者说》等大量诗文，同时因心系民众而广受百姓爱戴。永州虽有胜景恐亦在闺中人不识，但柳宗元在永州写下那么多关于永州的华文诗赋，为永州传播声名作出了贡献。柳子庙就是永州人民为纪念他而筑建的。
2016-08-04,未知,4,街道古风保存较好，因为没什么游客所以没怎么发展商业，挺安静的。进入柳子庙需要门票25元，学生半价，想了解柳宗元的生平可以进去逛逛。
2021-11-17,未知,5,柳子庙坐落在永州潇水之西的柳子街上，有特色的国家重点文物保护单位，了解相关历史知识，挺好的，不错的选择，有历史文化底蕴，挺好。
2023-12-14,广东,5,永州人民为纪念柳宗元而修的庙，占地面积大，建筑气势恢宏，文字介绍的非常详细，柳宗元永州八记配有名人木刻，严嵩碑是现存严嵩所刻三块石碑保存最完好的，荔枝碑集柳韩苏三人于一体，非常值得看！
2016-09-06,未知,4,柳子庙坐落在永州潇水之西的柳子街上，始建于北宋仁宗至和三年（1056）。南宋始兴十四年（公元1144年），清朝光绪三年（公元1877年）重建。柳子庙占地面积达2000多平方米，砖木结构，面对愚溪，背靠青山。庙门上镌有柳子庙三字石刻，两边有联。进入大门可见庙为三进三开，首先一座双檐八柱戏台。后行至二进中殿，再后为三进，是正殿、殿中有柳宗元塑像供人祭祀。 历代碑碣甚多，其中《荔子碑》、《捕蛇歌》、《寻愚溪谒柳子庙》等堪称文物珍品。正殿后墙的石碑，亦是三绝碑，碑文为韩愈所撰，由苏轼书写，内容却是颂扬柳宗元的事迹，此碑首句为“荔枝丹兮焦黄”，故又名荔枝碑。2001年06月25日，柳子庙作为清代古建筑，被国务院批准列入第五批全国重点文物保护单位名单。
2023-05-09,浙江,4,柳子庙也称为柳宗元纪念馆，位于永州零陵区零陵古城的柳子街上，是国家重点文物保护单位。柳子庙是砖木结构的古建筑物，整体比较精致，也是保护的比较好的。
