date,ip 属地,评分,comments
2021-03-04,未知,5,很容易让外地人认为是地王大厦，然后导航就…直接步步高广场还好找些。我是白天去的，停车方便，消费空中栈道可免几个小时停车费。风景是真不错。恐高的朋友可以在下午茶套餐在室内就能一享美食与美景。空中栈道穿自己的运动鞋就不用换鞋，戴眼镜的朋友佩戴一根绳子就好，不怕看不清。教练会教摆动作姿势，拍出成品很不错。只是相片需要单独付费20元，按人头收费，大概20几张相片。是一个会让人心跳加速的特色体验，不是严重恐高的朋友可以尝试一下，就是在边上看着脚下远方突然吹来一阵风不免还是有点慌。下午茶点心味道也不错。游玩后去顶层看看柳州美景，可以望远镜看一下，收费就是了。
2019-12-29,未知,5,有兄弟家人陪着上去。刚刚出去有点紧张，教练指导，慢慢就习惯了。 一开始感觉还好，一下来以后有点没有过瘾的感觉。 价格也相对来说比较合理，还发了个勇士证书，全部图片才20快钱。性价比还可以 个人建议如果白天上去，出大太阳买上去风景比较舒服
2019-08-31,未知,5,值得尝试，走上玻璃栈道克服自己，相信自己，就会感觉到力量，不是绳索给你安全感，是你相信了，才有安全感。信任既力量！ 【景色】在上面有点怕，下来了，会感觉还不过瘾！哈哈哈！
2019-02-07,未知,5,专程带全家远道而来的，能看到整个柳州全景，整体不错，白天顶楼风很大的，如果是晚上应更加好看，唯一是楼层高坐电梯耳朵不舒服
2021-03-05,未知,5,站在此地可以俯瞰整个城市景色 将柳州美景尽收眼底 是众多游客打卡之地 内部装修奢华高端 每个细节都透露出满满的品质 全落地玻璃窗，白天蓝天和阳光流淌进餐厅 傍晚，能欣赏到落日美景 夜晚，半个城市的唯美夜景乱花入眼
2018-03-19,未知,3,柳州是一个工业城市，但这里的环境并不差，山清水秀。柳州的夜景也是非常的出名，而位于柳州城中区的云顶观光则可以一览柳州的山山水水，门票48块。但76楼可以看，不过不是很值得去看，隔着玻璃看非常不爽！
2021-07-06,未知,5,柳州 是一座美丽的人文古城。西汉（公元前111年）建城，唐贞观八年（公元634年）更名为柳州。相对来说，想要拍照发朋友圈的最佳地点，我觉得应该是柳州地王大厦的云顶空中玻璃栈道！
2022-10-05,广东,5,如果不想费钱也可以牺牲体力去马鞍山，据说那个环形更好看，而云顶观光在我感觉里则是处在中心，四面观赏柳州和百里柳江。 建议去的话六点多吧，黄昏的时候，冬天上去感觉比较苍茫，当夜晚来临回头发现万家灯火亮起，真的挺震撼的。 云顶观光还有一个室外的玻璃栈道，走完会发一个小小的证书，比起上海的东方明珠，算是白菜价了 我只留了半天左右的时间给柳州，其实她值得更多，而且周边非常好玩
2021-07-20,未知,5,"大柳州的制高點，下午上去的頂層停機坪沒有人，特別適合拍照。一層換票完後就直接搭電梯到75層。換電梯到76層。到頂層的話需要搭乘滾梯。76層有下午茶和簡餐可以供選擇。室外走廊沒有嘗試感覺有點恐怖，白天和晚上的景色各有不同。在網路或者一層都可以購票。門票分三種可以選擇。包含下午茶和室外走廊的。門票相對於廣州的不算貴。推薦。The vantage point of Daliuzhou, the top landing area in the afternoon was empty, which was particularly suitable for taking photos. After the ticket is changed on the first floor, take the elevator directly to the 75th floor. Change the elevator to the 76th floor. To get to the top floor, you need to take an escalator. Afternoon tea and c"
2019-02-04,未知,5,玻璃栈道价格非常实惠，这个类似澳门塔上面的漫步云端，那里的玩一次要500块左右。摄影师很不错就是叫拍的动作好多我都不敢嘿嘿，有点遗憾当天去的是阴天，还想拍下日落逆光大片看来是不行了，只能选择拍夜景，柳州的夜景是非常出名的，好美。77层的景色晚上应该也很不错，但是晚上没有上去，白天上去非常大风哈哈哈
2022-02-15,未知,5,「柳州云顶观光」到柳州来玩一天，云顶观光是一个不错的选择，可以在柳州最高的楼俯瞰全柳州的全景风光。这个地方浪漫又文艺，真的很适合来感受氛围，太适合假日放松了第一次体验就觉得非常满意，确实是来放松的好地方
2018-09-06,未知,4,敢于挑战自我的可以去，比玻璃栈道刺激，虽然也是玻璃栈道但不同于其它，吃饭观赏都是很好的，先说坐电梯几秒钟就可以到300米的高空这个就好多人没做过吧，不说了反正很刺激的！
2021-08-16,未知,5,柳州最高点，在这景观很好，一览众山小，可以鸟瞰柳州全城，买个一百多的套餐，有牛排、小食、甜品、饮料、水果，够一家三口饱餐一顿了。
2019-11-05,未知,5,坐电梯登上山顶，也可以步行爬上山顶，看柳州市全景，柳江像马蹄U型穿过柳州，非常好看！
2021-02-23,未知,5,完美完美完美
2021-05-02,未知,4,柳州云顶观光位于柳州市柳找区广场路6一2号的柳州地王大厦第76层，有303高，是一个集光与娱乐为一体的综合服务项目，其据高望下的景观视野还是不错的。
2019-10-09,未知,5,订票方便又快捷。小朋友玩玻璃栈道很开心！顶楼的风景也很好，可惜空气质量不太给力。下次改傍晚去看看夕阳，应该也很好。特别赞一下玻璃栈道的工作人员，服务热心又专业
2020-08-29,未知,5,柳州没什么玩的 这个云顶观光还是值得的 顶层人不是很多 也没有排队 很刺激 教练们很专业也很帅气 有机会再来柳州还会再来玩
2019-06-03,未知,5,柳州第一高楼观光，哈哈。 不错电梯很快。 腿都被吓软了 小姐姐服务很好， 俯瞰整个柳州很不错晚上 过来看，可能还要更加。
2024-08-05,广东,4,夜景是挺好看的，也不贵，但就是户外观景台有一边围蔽了，只看得到一边的夜景，而且能打卡的点、活动几乎没有，就单纯看夜景，有点单调，10分钟就下楼了。
2023-08-13,广东,5,对于老人和孩子来说是比较方便的观光柳州全景的好地方，不用爬山直接电梯上来，柳州最高了。西餐出品只能说中规中矩，可能因为暑假，出餐特别慢，而且不是按照西餐顺序来的，问工作人员就是答复说人多。然后就是空调冷度不够，非常热。景色还是满好的。
2022-07-18,未知,4,打卡：马鞍山公园，隔壁是鱼峰公园，也是可以上山的，真的是远看山是很矮的，建议出行之前先拍地图，毕竟上山的路和下山的路还是有区别的，我恰恰是相反，所以上山的路是又陡又累，真的是一把鼻涕一把泪，白天是有电梯上去的，但是柳州的夜景绝对是晚上比较有亮点，虽高，但是爬上去了，还是很有成就感的，顺便纪念下我们家小屁股自己上山下山，耶
2019-07-23,未知,5,上去观光一定要试高空玻璃栈道，不然就亏了
2021-02-17,未知,5,想看一下柳州全景非云顶莫属了，没有事约上几个好友上来喝杯下午茶也是个不错的选择
2018-03-09,未知,5,环境很不错，很漂亮，值得观赏的地方
2023-02-25,广西,3,柳州二线城市，有高楼可以观光，挺不错的。观光在七十多层，电梯很快。但上面还是low了点，就是个观光餐厅，还有个平台，但有护栏，拍片不是很好。玻璃栈道体验不错，有意思，教练态度好。照片30元打包拿走，还送勇士证书，不错。
2019-10-06,未知,5,还行吧，云顶观光四十元，还挺值得的，柳州夜景很漂亮，就是搭电梯的时候有点耳鸣，七十多层，上去的时候有点难受(╯﹏╰)，但是爬上去之后还挺不错，适合拍照，风景也很漂亮，来过柳州很多次，以前都没发现这个地方总之，值得推荐
2021-10-31,未知,5,目前柳州的最高点，看市区全景的绝佳地。胆子够大的话欢迎挑战玻璃栈道，应该会是非常难忘的体验。餐食方面不算太丰富哦，不过经常有特价套餐活动，
2018-03-04,未知,5,上去时天气还不错，风蛮大吹着蛮舒服的，还可以看见柳州全景
2019-05-13,未知,4,非常值得打卡的地方，电梯直达非常快，站在观景台柳州夜景尽收眼底！
2024-08-28,广东,5,环境‌：这家餐厅的环境非常优雅，干净整洁，宽敞明亮，装饰温馨，让人感觉就像在家一样舒适。‌12 ‌服务‌：服务员态度非常好，热情周到，耐心解答问题，让人感觉宾至如归。‌34 ‌食物质量‌：食物新鲜美味，摆盘精致，色香味俱佳，性价比非常高。‌12 ‌总体评价‌：总的来说，这家餐厅给我留下了深刻的印象。无论是环境、服务还是美食，都让人感到满意和愉悦。‌
2020-08-04,未知,5,景色不错，风景这边独好，有露天的天台，建议找个晴天来。就是没体验玻璃栈道，有点可惜。点了一份吃的，不知道是忘了还是怎么样，快一个小时没上菜，别人后面点的都有了。
2020-01-26,未知,5,「柳州云顶观光」一直喜欢高空刺激的项目，所以傍晚一到柳州就买了云顶观光的门票。晚上先吃了许多当地人推荐的五星螺狮粉，就直接导航步行过去，过去路上很热闹，吃的很多，走过去十几分钟。大楼是和酒店连在一起的，酒店也很不错。总之位置很好找。先在一楼换票，然后就可以坐电梯到75楼，再换电梯到76楼。接着教练来接你，一定要把口袋所有东西存起来，手机也不能带，为了楼底下路人安全考虑。因为观光有300+米教练是一个帅小伙，而且很健谈，但是在安全措施检查阶段不会分心，非常谨慎，帮我检查好一切。因为不害怕，所以就直接站上去了。建议大家白天去，因为晚上真的很冷！很冷！！非常冷！！很庆幸自己没有脱外套！风大的好像要把自己吹走，很多高难度动作都做不起来[笑哭]不过全程真的更安全，卡的死死的，大家可以不用害怕。当然，教练会耐心帮你摆拍，有专门的单反，全部底片二十，不用担心没有手机不能拍照。结束之后还有暖心姜茶，一个证书，关注公众号免费上膜。推荐喜欢刺激，挑战自己的人尝试哦[胜利]柳州夜景真的很美啊！！[加油]
2021-03-04,未知,5,景色很好，值得体验
