date,ip 属地,评分,comments
2019-04-06,未知,5,柳州动物园，门票很便宜，10块钱一个人，120以下免费。还是很不错的。反正价格实惠。是个值得游玩的地方。只是动物们的生存环境不那么好。动物养得都不太漂亮。孔雀还不错哦！小朋友可以喂鸽子️，小兔子……
2016-08-03,未知,4,柳州的动物园相比广西其他的动物园，最大的特色就是有国宝。同时，动物园里有大象、老虎、孔雀还有干脆面君。动物园的外面，有游乐场，有鬼屋。可以玩碰碰车，可以玩空中飞椅，还有小火车，不敢坐过山车的朋友，可以考虑在这玩。重要的是，柳州动物园的门票不贵，动物园里面还有海底世界，有昆虫标本馆。2年前去的，不知道现在还有吗？休息的时候，可以带着你的爱人，或者你的家人，更或者朋友一起来这里旅游观光一下，散散步的同时，可以看到可爱的大熊猫哦。
2017-04-14,未知,5,动物园中动物种类很多，性价比还是可以，虽然一般情况下都是大人们带着自已的儿孙去逛动物园，但此次动物园之行使我受益非浅，许多动物我也是第一次见过。
2024-10-27,广西,4,动物挺多，带孩子去挺好的，假期去门票会贵一点，地理位置有点偏远，附近有一个军事博物馆
2018-08-27,未知,4,柳州动物园是个比较开放的动物园，说他开放，是因为有很多散养的动物，比如孔雀就随地乱跑，不怕人的，很过瘾的，另外，有柳州也可以看到大熊猫，真的很吸引人，好多小孩子围着～～
2017-03-10,未知,5,好多动物，带孩子去，孩子们都乐坏了
2016-11-22,未知,5,宝贝儿一直想看熊猫，终于如愿以偿了。还有恐龙园，鸵鸟，老虎，梅花鹿等等。就是在里面吃的东西有点小贵而且服务态度不咋滴。
2021-12-30,未知,5,柳州动物园交通很方便，停车场很大，来柳州办事情顺路带女儿来动物园看看小动物，一进大门马上就看到海洋馆，进口地方有几只大乌龟，里面就是很多种类的鱼展示，柳州动物园孔雀特别多，进里面一点点到处都是孔雀，豹子偷懒睡觉完全不理游客，大熊猫住在空调房间，大熊猫很可爱，都吃得肚子圆圆的！
2021-06-19,未知,4,柳州动物园位于柳州市区西南部，我参观旁边的柳州军博园顺便进来逛了一小圈。进门并不收费，因为公园是分成动物观赏区和游乐休闲区两部分，后者免费开放。我觉得这点非常人性化！
2016-04-17,未知,5,空气清新。陪陪孩子玩乐的一个好地方。
