date,ip 属地,评分,comments
2017-02-22,未知,5,柳州市博物馆位于江北区解放路上，人民广场的东侧，柳州市人民医院的对面，这里交通方便。这里馆藏文物丰富，大约有3万六千多件主要的文物展出。展馆分为历史馆，民族馆，青铜馆，博物馆，古生物化石馆，茶文化馆等多个展馆。
2024-12-02,河南,5,哪里最能看出柳州的特色和文化的那一定就是柳州博物馆了，柳州博物馆虽然在外表看起来并不是很惊艳，但是走到里头你会发现无论是布展还是管。内的设计都是非常的用心的，它都体现着柳州少数民族人的特色。
2024-12-27,云南,5,非常值得观看学习的博物馆，地理位置不错，展览布置好，内容有特色，形式新颖有趣，值得到此一游学习的好地方！
2018-02-20,未知,5,在广西，去了广西民族博物馆，广西壮族自治区博物馆，都不如柳州博物馆。博物馆分古生物馆、民族馆、古代馆、书画扇面馆、青铜器馆等，馆藏比较丰富，尤其是古生物馆和扇面馆，值得慢慢学习和欣赏。另外还有瓷器和砚台特展，大约用时2小时。看完博物馆，过马路就是柳侯公园了。
2016-07-11,未知,4,古风古色的博物馆别具花样，各式各样的民族特色，精彩绝伦，非常有历史和纪念价值，让人深敢回味，不仅能了解柳州各民族的文化历史，联想她们之间的风俗习惯，还能增长见识，丰富自己的阅历
2017-11-02,未知,5,一个三线城市有这么规模的博物馆，非常不错，这是属于平民的消费娱乐也是外地游客了解当地历史文化风俗民情的好地方，而某些地区只有市府大楼高大上，而柳州市府却相对低调，形成反差！
2016-11-13,未知,4,免费的博物馆，内部环境很不错，用了蜡像和大量实物除了展示柳州的历史人文风俗，还有一个史前恐龙的展示区，很生动，小朋友很感兴趣！
2021-05-18,未知,5,柳州博物馆设计很走心，注重细节，柳州的历史文化介绍的也非常详尽，值得花时间好好看看。 正好赶着518国际博物馆日来的，还有现场做拓片活动。 柳州博物馆有好多古代化石啊，恐龙家族的，海百合，还有小螃蟹，大部分都是一位地质工作者老先生爱心捐赠的，看到它们能在博物馆好好的被安放被保存被维护以及发挥传播知识的功能，真是感到欣慰和开心。 还有一座风雨桥，是找侗族工匠专门按照古法做的，全部使用榫卯结构，没有用钉子。
2019-05-02,未知,5,我和春天有个约会——“柳州博物馆”（三十）， “柳州博物馆”，位于广西柳州市人民广场东侧，是一座拥有先进设施与现代化功能的综合性国家级重点博物馆，是柳州市标志性建筑之一，国家AAAA级文物旅游景区，始建于1959年，建筑主体采用花岗岩风暴石砌筑，为古城阙样式，典雅厚重，外廊21面浮雕，寓意21世纪的柳州和2100年的厚重历史，反映柳州史前文明、民族民俗文化、现代文化等内容，馆藏文物丰富，基本陈列有《历史馆》、《民族馆》、《青铜馆》、《扇面书画馆》、《古生物化石馆》等，许多馆藏文物颇具地方特色，因其精美罕见而成为国之瑰宝……，镇馆之宝：西周的云雷纹青铜角（西周，约公元前1066年——前771年）；西汉的虎钮錞于（西汉，公元前206年——公元23年）；战国时期的人面纹銅剑（战国，公元前475年——前221年）；汉代的铺首衔环弦纹铜蒸馏器（汉，公元前206年——公元220年）。柳州，一座历史悠久的文化名城，风光秀丽，人文鼎盛，民族风情浓郁 ，种类、数量众多的精美藏品，展示了柳州丰厚的文化沉淀，亦如浩瀚柳江，千古流芳……，
2018-02-20,未知,5,虽然面积不大但低调用心的博物馆。有古生物，有少数民族民俗，有瓷器陶器。没有想到广西有一个这样低调安静有历史有文化的城市。
2019-02-14,未知,5,免费参观的博物馆，车位在旺季有点小堵，位置很好找，对面就是柳侯公园。博物馆虽然不大，但也很有特色，过年去的，除了临摹恐龙，还有过年的一些小手工。馆藏对于小朋友也还有些吸引力，特别是恐龙部分。
2019-04-06,未知,5,场馆一共三层楼！生物化石区，小朋友们都还蛮喜欢的。今天是搞三月三的活动。运气不错哦！小朋友很开心图中手上拿的小袋子是现场制作的。用小锤子把叶子或者花打进小布袋里。形成自然的图片。很漂亮哦。
2023-05-30,河南,5,来柳州的第2天，原本是进行户外的行走的，但是因为下雨而改成了参观柳州博物馆，在没进入博物馆之前，对他的期待值并不是很高，因为在市中心博物馆相对较老，或许这里仅仅是一个陈列柳州历史的地方。 但是当我真正走进柳州博物馆之后，却被这里的精心设计所震惊了，博物馆的布展非常的用心，他们将光现代科技和文物做了很好的结合，并且充分体现出了柳州这个地方少数民族的特色，我最喜欢的是柳州博物馆的大厅，抬起头来便可看到一个又一个粉红色的雨伞，这些粉红色的雨伞似乎就代表着柳州最知名的紫荆花。大家走累了，可以坐在大厅的椅子上面发呆，或者是做一些文创的用品，这在现在很多的博物馆是欠缺的。 沿着参观的游览路线一直向上走，便可以看到柳州博物馆的镇馆之宝，虽然这里的，珍奇异宝并不是很多，但是完全可以代表柳州特色。 所以如果你有机会来到柳州，无论是下雨还是晴天，都可以花上1~2个小时，在柳州的市中心打卡一下这个特别用心的博物馆，只有这样可以让我们更深入的了解柳州这个城市
2021-10-03,未知,5,一个地级市的博物馆可以评到4A级别，其实并不多见，可见柳州博物馆还是具有特色的。博物馆的建筑还是老式风格，看外观没什么特别之处，主要特点在里面。博物馆不大，有三层，展厅不算多，古生物、历史、民族、青铜器、还一个书法展厅，内容比较优质，知识性也高，并有一定的趣味性。尤其是民族展厅，真的复制了少数民族民居等建筑，充分展现出了民族特色，十分值得一观。
2021-03-26,未知,4,柳州博物馆位于柳侯公园旁边，是一座新建筑，可以免费参观。共有三层展厅，馆藏文物虽然不算很多，但也值得一去，特别是扇面书画馆，颇有特色。
2018-08-06,未知,5,柳州博物馆馆藏各类文物36000多件，主要陈列有《柳州历史文化陈列》、《柳州少数民族风情展》、《古代青铜陈列》、《古代书画扇面陈列》等，向观众展示出柳州的民族文化和历史。
2017-11-23,未知,5,这里是柳州市政府精心打造的城市名片之一，馆内分有历史馆和民俗风情馆，是一个快捷了解城市历史发展、风土人情等等的好地方，经常有书画或文物展览，也是文人墨客的好去处。
2020-04-25,未知,5,2003年柳州博物馆从五一路搬迁到这里，博物馆的外型给人一种沉稳、大气的感觉，是柳州市的标志性建筑。馆内陈列着广西柳州的少数民族服饰、古代书画扇面、青铜、陶瓷系列，值得去看看。
2024-12-29,湖北,5,这里真的很好，博物馆收藏的文物丰富珍贵，历史内容量大，学习意义重大，各种年代都有文物展示，值得参观游览！
2021-04-11,未知,4,有五个常设馆，其中“民族馆”有很多关于壮族，侗族的相关介绍，比较特别。 青铜器里有“云雷纹青铜角”，造型奇巧，纹饰精美，在别的地方从未见过。还有很多“羊角钮铜钟”。
2022-10-07,广东,5,龙城玉带古城寻芳柳州因相传“八龙见于江中”有龙城之称，又因一条宛若玉带的柳江婉转穿越而过，又有“壶城”之说。这座古兰而美丽的城市，是古代文明的发祥地之一。悠悠的历史长河带给我们无限的力量，启迪和思考。柳州博物馆内的古生化石馆陈列的古生物化石种类丰富，时间跨度大。博物馆还是当地学生的研学基地。藏品丰富通过参观能对柳州有更深刻的了解。
2020-07-29,未知,4,柳州博物馆是我此次柳州之行的最后一站。柳州博物馆坐落在柳州人民广场，是全国重点博物馆。博物馆内馆藏丰富，详细介绍了柳州的历史及风土人情，还有古化石和青铜器。
2016-02-17,未知,5,博物馆陈列着远古时代的化石，以及详解在广西生活着的少数民族的习俗和文化
2021-06-01,未知,4,博物馆就在人民广场旁边过一条马路就是了，一共有两个门，疫情期间只开放一个门在门口先要手机扫码预约一下，里面一共有三层楼，半个小时可以走马观花。
2023-04-18,广西,5,古生物非常值得一看，巨大的恐龙、各种化石都不错，这里就在柳侯公园非常近，一起安排比较好。 顺便说一下，这里免费停车，真不错，大家比较方便。
2021-05-04,未知,4,柳州博物馆位于柳州市柳北区解放北路37号，是一座建筑规模不小的房屋，外观设计也是不错的，其主要是对柳州地区民族风情进行陈列与展示。
2023-04-16,北京,4,第一次来到广西，第一次体验柳州的风土人情，柳州博物馆必须要开打卡，从这里开始了解柳州的历史，风土人情都可以领略。柳州人民自古以来就是各民族融合发展，互相理解包容，造就了现在繁荣昌盛的景象。
2021-01-26,未知,5,在古生物化石馆中了解古生物演变和进化过程，在历史馆中掌握一段完整的柳州历史， 在民族馆中认识到民族风情，在青铜馆中获知过去的青铜冶炼技术，在书画扇面馆中学习书画艺术。
2022-08-02,四川,4,天气特别热的时候去参观的，展馆还是很大，有室外也有室内参观。能看见柳州汽车、工业的发展、还有小时候玩的小霸王、还有五菱的发展，总之能学习到很多的东西。解说员也很棒，每个人都自己带个耳麦，边看边听解说。
2022-07-16,未知,5,柳州博物馆面积不大，参观完2小时左右，藏品也不多，但是有一座实物风雨桥，还是值得一看的。工作日人不多，可以现场预约参观。
2021-06-17,未知,3,柳州博物馆周二到周五免费对公众开放参观，目前因为疫情，需要预约扫码参观，可以在微信公众号或者博物馆门口扫码填资料。总的来说，柳州博物馆勉强算是个可以遛娃的景点。
2020-09-26,未知,3,行程没排满，下午还有两小时空档，决定来柳州博物馆。 博物馆共三层。 一层：古生物馆，主要展出恐龙化石。 二层：历史馆，展出柳州历代变迁；还有展当地各民族文化的一个厅。 三层：青铜馆，扇面书画馆，碑刻馆。 整体布局和动线设计不太合理，需要在馆内走重复路线，部分厅展品太满。不太能充分看到当地特色。
2019-10-06,未知,4,10月5号下午来的，展品很丰富。国内去过20多个从南到北的博物馆，但这里的古生物化石让人惊喜连连，我们感谢单勇教授！扇面书画馆里有董其昌，黄宾虹，齐白石等人的真迹。 一楼的纪念品商店，想买个手机套。刚问下有没有合适的型号，营业员就耷拉下眼皮说“这边是苹果6的，那边是苹果7的，其它的都没有”，说完这几句，才把眼皮翻上去。当时我就震惊了。一直柳州给我的印象很好的，从出租车到饭店到酒店，大家都很客气的。却没想到在最该有文化底蕴的博物馆遇到这种人，非常遗憾！！
2018-11-17,未知,4,柳州博物馆――人民广场近旁，无聊闲逛中。想不到馆藏还算丰富，尤其是古海洋生物化石展非常完整与清晰，海葵、三叶虫、鱼龙，简直是珍品啊！附近有柳州地下长廊长达1公里，从城中央的人民广场一直通往柳江大桥头的喷泉广场，可以躲避寒风冷雨，难怪热闹不逊于街面。
2016-10-22,未知,4,出了柳侯祠，对面就是柳州博物馆了。临近闭馆，我们也是匆匆的参观一下。总体感觉似曾相识，回想一下可能跟前一天参观广西民族博物馆有关，很多内容差不多。就算再增加印象吧！比较有特点的是，博物馆将风雨桥建在了两馆之间，即是展品又有使用功能！赞
2016-05-23,未知,4,免费的展览少数民族文物的博物馆。
2016-04-14,未知,5,博物馆是免费的哦~里面有很多少数民族的一些生活、工具展览，有小型的风雨桥，还有化石，还有萌萌哒的恐龙，哈哈~
2021-01-24,未知,5,特殊时期逛博物馆的特殊要求就是带口罩，扫码无异常才能进去。赶上有一个侗乡故事主题的柳州农民原生态创作画展，对这个民族的发展状态有了新的认识。
2023-02-23,湖北,4,这个博物馆一共有三层，个人比较感兴趣的是民俗馆。介绍广西主要民族的文化，主要有壮族，侗族，瑶族…….等，包括侗族的典型建筑，浏览半天应该够了，还有一个古化石馆也值得看一看
2021-01-23,未知,5,柳州博物馆的大厅有点儿酒馆式的模样，进门有一个柳州的编年史很有意思，大名鼎鼎的柳宗元就是柳州的代表，而且是我们的一个美好的向往。
2020-12-26,未知,5,到了柳州，柳州博物馆当然少不了，了解了很多历史知识，历史文化底蕴深厚，也感受到了当地的风土人情和民俗文化，不错的选择，棒棒的。
2023-07-11,上海,5,讲真来散步乘凉的才进来的，较小内容不多，但是从整体门面，内容深度上，展现形式上，服务上都可圈可点，建议旅行者们选做一站
2020-08-13,未知,4,展品多样，介绍也详细。楼里面还修了过少数民族的木楼。免费参观 缺少近现代的一些介绍，还是有很多地方空出。可以介绍介绍解放前，明清时期的发展情况。这部分好像没看到
2016-10-15,未知,5,很喜欢 面对那些坦克 战斗机总感觉很威严
2020-06-26,未知,4,柳州博物馆位于人民广场东侧，交通便利，馆藏各类文物以壮族、瑶族、苗族、侗族民俗文物较为突出，颇具地方特色，其中西周云雷王纹青铜角形器、战国扁钟等较为珍贵。
2022-07-23,四川,4,4 A 景点，不用门票。博物馆场路线设计非常棒，因为不会让你多走一步弯路。这个博物馆主要是记录柳州工业的发展史，有兴趣还是可以来看看。
2016-03-03,未知,4,有时间去了柳州博物馆，里面展出的少数民族生活介绍展品值得看看。
2020-01-26,未知,5,就住在步步高，过来超级近，就是这个红灯还分两段，真的要把人等崩溃，过个马路大概要5分钟吧。我们去的时候只有二楼和三楼开放。师妹去三楼看扇面书画，我去二楼看民俗。感觉还是二楼有趣一些，可以看到各种少数民族的生活习惯。早上人很少。展品也不算丰富，跟之前大家的感受一样，比较无聊，不过也没其他可逛的，就当打发时间。
2018-02-22,未知,5,柳州博物馆位于广西柳州市人民广场东侧，是一座拥有先进设施与现代化功能的综合性国家级重点博物馆。柳州博物馆馆藏各类文物36000多件，主要陈列有《柳州历史文化陈列》、《柳州少数民族风情展》、《古代青铜陈列》、《古代书画扇面陈列》、《古代陶瓷陈列》，向观众展示出柳州的民族文化和历史。柳州博物馆是国家AAAA级文物旅游景区，占地面积39亩，建筑面积16600平方米，展示区面积8000平方米，辖柳侯祠文物景区、东门城楼文物景区
2023-08-15,山东,5,1959年1月14日，柳州市博物馆成立，馆址设于文惠路54号，博物馆反映柳州史前文明、民族民俗文化、现代文化等内容。常设陈列有《历史馆》、《民族馆》、《青铜馆》、《扇面书画馆》、《古生物化石馆》、一个多功能活动厅和学术报告厅等，通过布景方式和不同历史时期的文物实体，再现柳州历史风貌，展示古城风采。
2023-05-12,陕西,5,柳州博物馆位于广西柳州市人民广场东侧，是一座拥有先进设施与现代化功能的综合性国家级重点博物馆。 柳州博物馆馆藏各类文物36000多件，主要陈列有《柳州历史文化陈列》、《柳州少数民族风情展》、《古代青铜陈列》、《古代书画扇面陈列》、《古代陶瓷陈列》，向观众展示出柳州的民族文化和历史。 柳州博物馆是国家AAAA级文物旅游景区，占地面积39亩，建筑面积16600平方米，展示区面积8000平方米，辖柳侯祠文物景区、东门城楼文物景区。
2023-05-11,海南,5,柳州博物馆位于广西柳州市人民广场东侧，是一座拥有先进设施与现代化功能的综合性国家级重点博物馆。 柳州博物馆馆藏各类文物36000多件，主要陈列有《柳州历史文化陈列》、《柳州少数民族风情展》、《古代青铜陈列》、《古代书画扇面陈列》、《古代陶瓷陈列》，向观众展示出柳州的民族文化和历史。[1]
