date,ip 属地,评分,comments
2016-02-17,未知,5,对于理工类和对机械有兴趣的人是一个好去处，能了解部分机械发展的历史以及支撑起柳州各有名企业的发展历程，比如：两面针、金嗓子、柳钢……陈设着难以理解运作原理和用途的众多机械设备和零件，可是里面有着推动一个城市工业的重要历史和三次工业革命；改革开放后，毛爷爷的思想带领着大家，激励起工人们的斗志昂扬，以致让我们的物质、生活条件在很长、很长的岁月里攀登在逐层式的阶梯上，奠定了更为坚实的基础！
2019-05-02,未知,5,我和春天有个约会——“柳州工业博物馆”（三十一）， “柳州工业博物馆”，坐落于柳州市鱼峰区文昌大桥东侧南面，与窑埠古镇隔街相望，是国家AAAA级旅游景区。柳州，早在清朝末年传统手工业、近代机器制造业就已经相当发达，20世纪三四十年代成为了广西的工业中心，50年代至今是汽车、机械、化工、冶金等多个具有全国影响力的重要生产基地，展馆有“工业历史馆”，“企业风采馆”和“生态宜居馆”三大展馆，生动的展示了柳州100多年工业的历史，发展及远景……，更新颖的是由两节内燃机车车厢改造而成的列车书吧，是一处值得参观、游览的博物馆，
2016-04-14,未知,5,博物馆很大，我在里面迷路了……好丢脸…… 博物馆里面是根据时间顺序来展览的，在里面学习到很多关于机械、工业的知识！里面的知识、细节可以让人逛上一整天~还想再去一次！
2021-05-19,未知,5,柳州工业博物馆是特别棒的工业博物馆，简直就是一部新中国工业发展史，建议对这方面感兴趣的人来看，不然只看到一些陈旧的设备可能会觉得无聊。 柳州基本上各大企业都给这个博物馆捐赠了设备或者产品，也挺有意思的，有点像个低配版德意志科技博物馆，当然德国的是创造性牛B，我们都是从欧洲苏联日本引入的当时的领先技术。 另外最后有个柳州城市宣传片，拍得特别走心，绝对值得一看！一江一花一车一粉，说的是柳江，紫荆花，五菱，螺蛳粉。
2017-05-02,未知,4,柳州市区公交很方便 景点也相对集中 博物馆免费参观 连身份证都不用 呈列的柳州工业发展内容很多不过比较单一 还有其他两个展馆 园区很大 可以逛一两个钟
2021-04-29,未知,5,想要更好地了解一座城市，就去它的博物馆逛逛吧。作为一座工业城市，柳州的博物馆也很好地展现了这座城市的发展轨迹。关注公众号就可以免费预约，一共两层，逛下来大概40~50分钟，也有室外的地方可以拍照，很推荐的景点。
2020-08-11,未知,5,到每个城市都想去他们的博物馆参观一下。知道在柳州有一个工业博物馆以后，也趁着这个机会，了解一下工业历史。。。我觉得这个主题很有趣。一般博物馆都是看历史文物，而这个博物馆，就是看的百年历史，讲述柳州百年工业发展史。在这里看到了1939年柳州第一辆木炭汽车。
2019-04-07,未知,5,还不错，之前听当地人说没什么看头。要看什么心情吧！免费的。然后特别是男孩子。增长一下知识。反正比逛街购物好一些。而且很多自然风景小朋友也不太感兴趣。这个有实物又有说明。确实还不错
2017-04-14,未知,5,这里还是值得来逛逛的，很多柳州的牌子！比如五菱汽车，两面针，红花牌，知道柳州的工业历史文化！免费的地方还有很多人来拍婚纱照！周围环境很好！推荐来此处逛逛！
2023-09-28,广东,5,去柳州出差，顺便到柳州工业博物馆走走，博物馆位于鱼峰区文昌大桥附近，包括了柳州工业历史馆、柳州企业风采馆和生态宜居馆，馆内的所有展品都是企业捐赠的，小件的商品是市民自发赠与的，都是来自社会大众，每一件的展品都有记录它的历程，都是历史的见证，也代表着柳州的发展。
