date,ip 属地,评分,comments
2020-04-12,未知,4,两三块钱的船票，对游客来说很高性价比。码头有路线图，班次不太频密大约20-30分钟/班，船员挺热情的，就算没有什么客人，都会照开，应该属于政府补贴的民生项目。每船能坐20人左右，速度适中，可一览柳江两岸的奇峰和建筑，景色很棒，但近看江水，有些回旋处会较多垃圾，多少影响了观瞻。
2019-05-04,未知,5,我和春天有个约会——“柳州水上公交”（三十六）， “柳州水上公交”——超级棒，可能是全世界最便宜的游船，也是柳州市政府造福人民的一项工程，绝对是到柳州一定要乘坐的，3元钱的船票，在风光旖旎柳江上游览近一个小时，观赏柳江两岸美景，上、下行终点站正点发船，中间会有停靠点，一定要准备好零钱呦，
2018-04-10,未知,5,不得不说这个性价比超高，虽然没有夜航看不到夜景，但白天能花三块钱舒舒服服坐在船舱中兜一程，看着沿岸的紫荆花开，简直就是赚翻。
2018-04-18,未知,5,30分钟一班船，船干净，我们下巡线，上巡线都坐船游玩，每人下巡线3元，上巡线3元非常不错，白天感觉一下柳江两岸的风景，晚上再看看夜景。非常非常值得坐一坐很有特色又便宜的水上交公交船。
2024-11-27,北京,5,【景色】挺有地方特点，可以游览城市美景
2017-08-19,未知,5,记得在柳州刚开始有水上公交的是几年前，那时候人山人海，那时候根本就等不了，于是放弃了，直到去年夏天带着同学去做，刚好，做了全程的来回路线，满足了的我的小小愿望，柳江河上风景还是很优美的，大家想要去做，可以选择在人少的时候去，不然有的等啰，水上公交半车半程线是3元，这是最值得的一次坐船
2022-10-06,广东,5,水上公交这个神奇的交通工具我还是第一次坐，真的非常有柳州特色！ 3块钱单程票价真的非常感人，比花钱去坐观光船合算多了，因为美丽的柳江风景是一样的，但是唯一要吐槽的就是中间间隔时间太长了，我大中午在码头等了一个多小时才等到
2022-07-28,四川,4,上一次乘坐水上公交还在18年的曼谷。这次带小朋友来柳州玩，想不到的是柳州也有水上公交。半个小时一般，一条船大概能坐30个人左右，所以建议直接起点站开始坐，船票三块钱，非常便宜，过来坐船的除了游客还有很多以旅行观光为目的的当地人，一路风光不错，值得一来。
2018-08-11,未知,5,性价比高，虽没有夜景可以看，不过白天这么做一趟也很好，船干净
2022-07-11,未知,4,"水上公交运行那么多年，才第一次去打卡。我们是在东堤码头上的船，坐的是10.30点这一趟，等船半个小时一趟。需要自备口罩和身份证,上船可以微信支付宝支付。一趙算下来也要1个小时。回来到出发地就只要半个小时。在船上沿途看着江边美景，吹着河风，感叹一下柳州变化真的是蛮大的。上看下日落，放空一下还是很不错的"
