date,ip 属地,评分,comments
2022-12-07,北京,5,柳州市柳南区太阳村镇。柳南区是“桂中商埠”发源地、柳来河一体化的交汇区，柳州高铁站、西鹅铁路货运中心和柳州汽车总站、汽车南站坐落在辖区
2023-09-01,山东,5,可以吃美味的螺蛳粉，当地的螺蛳粉果然与之前吃过的完全不一样呢！被油浸泡过得炸蛋与猪脚真的超级诱人，一嗦便脱骨，真的超级喜欢！
2023-08-16,山东,5,螺蛳粉特色小镇，位于柳州市柳南区太阳村镇。柳南区是“桂中商埠”发源地、柳来河一体化的交汇区，柳州高铁站、西鹅铁路货运中心和柳州汽车总站、汽车南站坐落在辖区，交通便利，工业基础雄厚，商贸物流业发达，农业特色产业优势明显。柳南区不仅是螺蛳粉的发源地也是预包装螺蛳粉产业的发源地，更是米粉、螺蛳、酸笋等螺蛳粉主要原材料的主产区和集散地，已基本形成螺蛳粉全产业链。
2023-05-18,河南,5,柳州螺蛳粉小镇将文化展示融入到了小镇建设中，建设成为滨水休闲、田园生态、生产体验等适合居住、旅游、观光、度假的景观小镇------依山傍水，空气清新，自然生态，休闲乐园！
2023-03-21,湖北,4,柳州螺丝粉特色小镇位于柳州市柳南区太阳村镇。柳南区是“桂中商埠”发源地、柳来河一体化的交汇区，柳州高铁站、西鹅铁路货运中心和柳州汽车总站、汽车南站坐落在辖区，交通便利，工业基础雄厚，商贸物流业发达，农业特色产业优势明显。柳南区不仅是螺蛳粉的发源地也是预包装螺蛳粉产业的发源地，更是米粉、螺蛳、酸笋等螺蛳粉主要原材料的主产区和集散地，已基本形成螺蛳粉全产业链。
2023-02-21,山东,5,广西的螺蛳粉是中国非常有名气的小吃。味道有点异味，不过，大部分女孩子喜欢螺蛳粉。柳州螺蛳粉小镇经营了有些年了，很不错的。
2023-05-27,天津,5,这家店其实最让我惊喜的是服务，虽然是遇到点小问题，但是工作人员一直道歉并帮忙解决，真的是客户至上啊
2023-04-24,天津,5,借着假期过来打卡📍，果然没有让我失望，首先很喜欢这里的环境，其次服务也很到位，总之就是很满意啦
2021-10-06,未知,1,这就是一个骗局好吧，真的千万千万千万！！！别来！！刚到上面就要下去 就是跟你老家的大山而已，不说了，反正别来就对了，车费的钱那去给乞丐吧！
2023-06-18,重庆,5,这个镇上的螺蛳粉的商家好多呀，琳琅满目的。
2023-04-21,天津,5,最近连吃两次了，口味确实赞，而且价格非常公道，肯定还会再找机会来第三次的
2023-08-29,中国香港,5,还没到这里就已经能从空气中漂浮的臭笋味知道起码在这里有一片螺蛳粉店
2021-02-11,未知,5,这里号称柳州螺蛳粉小镇，还真是名副其实啊！
2023-05-08,江苏,5,环境卫生，服务态度好，真的真的知道好吃。
2023-07-11,广西,5,螺蛳粉还是柳州原产地最好吃，物美价廉
2023-03-23,广西,5,【景色】世界一流 【趣味】世界一流 【性价比】世界一流
2023-02-24,河北,5,这个味道真是绝了，喜欢的很喜欢，不喜欢的是不喜欢！
2023-04-10,北京,5,我愿给到五星🌟，因为布景非常用心，太太太棒了！
2023-03-20,北京,5,当地特色景点，也是小镇特色，人气爆棚，非常不错！
2023-05-26,河北,5,这里螺丝粉纯正美味，环境干净卫生，服务热情周到
2023-04-22,福建,5,柳江边上的一个古风小镇，景色宜人，空气清新！
2023-06-10,福建,5,很有意思的一个地方，对螺狮粉有更多的了解！
2023-04-22,北京,5,来这里的人还挺多的呢，到处都是螺狮粉的味道
2023-06-16,上海,5,【性价比】不错的选择【性价比】不错的选择
2023-05-10,上海,5,比较有特色低小镇，闲暇之余逛逛还是不错的
2022-10-02,广东,5,螺蛳粉真是一种魔性的食物，爱的人特别爱。
2023-09-13,浙江,5,广西柳州特产螺蛳粉真好吃😋😋😋
2023-08-25,浙江,5,【景色】可以 【趣味】不错 【性价比】好
2023-06-16,重庆,5,【景色】非常也特色，各种各样螺蛳粉
2023-05-30,北京,4,地点繁华热闹 客流量大 装修的风格不错 味道独特好吃 服务态度很好 价格可以 非常喜欢
2023-07-30,江苏,5,值得一去，环境不错，好吃吃吃。
2021-03-27,未知,5,品牌了，老牌子了，口碑特别好。
2023-09-05,广西,4,【景色】景色还是可以滴 【趣味】趣味也是不错滴 【性价比】性价比还算高啦
2021-09-24,未知,4,以大柳州螺蛳粉产业为主题的特色小镇乐园，还有待进一步开发。
2023-07-07,广西,4,【景色】景色好螺蛳粉不错 【趣味】很好 【性价比】性价比可以
2023-09-04,四川,4,不一样特色，地理位置优越，交通便利
2023-03-09,四川,4,不一样特色，广西壮族自治区特色，价格公道实惠
2023-05-27,加拿大,4,这里的东西真的非常不错，值得推荐给大家。
2023-03-20,广西,4,柳州螺蛳粉味道确实正宗，汤味道跟浓郁！
2023-05-27,上海,4,喜欢螺狮粉的人的天堂，非常值得一去～
2022-12-13,湖北,3,柳州螺蛳粉的聚集地？嗦一次粉才明白。
2023-05-02,黑龙江,3,值得一去古镇环境不错小吃种类也不少能吃上正宗的螺蛳粉
