date,ip 属地,评分,comments
2020-01-26,未知,5,音乐喷泉是柳州的地标性建筑，位于柳州大桥和文惠桥之间的北侧江面上，长315米，宽40米，设有832套喷头，喷出的水景高达100米，休喷时喷头潜入水下2米深处，是目前世界上江面最大升降浮式喷泉。每晚八点和九点音乐喷泉都会开放，可以在河堤、江滨公园观看，也可以乘坐柳江游轮观看，还可以在柳江大桥与文慧桥上观看。伴着音乐的律动，喷泉的灯光、频率、造型都会有变化。与柳江沿岸的江景还有游船，汇聚成一副美丽的夜景。
2021-01-28,未知,5,柳州的柳江，建设的还是很好的，周边的商圈建造的很好的，还有柳江喷泉真是太好看了，就是时间有点晚要八点和九点，如果早一点六点多七点多就好啦。
2020-03-21,未知,5,“柳江明珠”水上大舞台。 柳州人活用山水元素，在柳江江面上建造了一座涵盖实景演出、观光体验、露天电影、群文活动等文化内容的江中景观大舞台。“柳江明珠”水上大舞台与蟠龙山大型瀑布群、大型升降浮式音乐喷泉一水相连，组成绝妙的柳州“水文化三部曲”。
2021-02-07,未知,5,柳江从各个角度看都是不错的，1月去旅行的三个城市中，我觉得柳州发展的是最好的。柳江风景无限好，而且游船虽然是夜游但是其实白天也是可以去坐船的。
2022-08-11,四川,4,柳州夜游，到了柳州，除了吃吃喝喝之外，旅行的小景点还挺多的，作为一个有江河的城市，夜景还挺漂亮，大概晚上八点左右统一开灯，夜景非常漂亮。
2020-02-10,未知,5,今天一天的行程都丰满无比，傍晚六点之前又赶到游轮码头参加夜游柳江的活动。我们到的比较早，在船上点了六人餐，份量很足，菜式颇具广西特色，大家跑了一天也都很辛苦，胃口很好都吃的干干净净。餐后，许多团队游客开始登船，七点半游船准时出发，一路都有讲解，这两天跑过的主要景点晚上亮化后更是璀璨靓丽，窑埠古镇的人工瀑布据说是亚洲最大。风情广场江边的大型音乐喷泉非常壮观。船在江面上经过柳江上的若干桥梁，夜晚装扮后的大桥依次闪亮登场，各具特色。大家都觉得这趟夜游是除了上海滩之外最棒的。
2024-08-14,广东,5,虽然价格比三元海上公交贵，但很值得一看，而且不用日晒排队，音乐喷泉很宏伟，多条船一起排队出游蛮过瘾的，步步高船身也很大，兑票过程也很速度。
2024-10-14,广西,5,柳江风徐徐吹，江边两岸灯光很美，很值得一游
2024-04-05,上海,5,国内夜游船最好的地方，挺振憾的，值得一看。
2024-04-05,上海,5,国内夜游船最好的地方，挺振憾的，值得一看。
2024-11-13,广西,5,一生必须要去一次的地方。柳州夜景太震撼了
2019-11-03,未知,5,柳州人活用山水元素，在柳江江面上建造了一座涵盖实景演出、观光体验、露天电影、群文活动等文化内容的江中景观大舞台。“ 柳江明珠”水上大舞台与蟠龙山大型瀑布群、大型升降浮式音乐喷泉一水相连，组成绝妙的柳州“水文化三部曲’
2024-03-31,广东,5,东堤码头，我们从酒店打车过去10分钟，整体的管理还是可以的要先在游客中心拿票，游客中心里面有展览和小商店，步行到游船大概5-6分钟。
2020-02-23,未知,4,这一届市领导班子大力改善柳江河水质，沿岸景观美化，感觉不比桂林漓江差。
2023-04-23,广西,5,坐船夜游柳江，真的太爽了，令人心旷神怡
2023-04-13,重庆,5,景色独特，环境不错，值得一去。
2020-01-06,未知,4,两岸灯光还不错，没去过的朋友可以考虑一下
2024-09-05,荷兰,5,非常漂亮的夜景
2024-08-06,云南,5,夜游柳江河，非常的美丽👍柳州螺蛳粉也很好吃😊有机会一定会再来玩的👏
2024-11-23,广西,5,很漂亮，很凉快，孩子很喜欢
2024-11-11,广西,5,金钥匙小姐姐服务特别好！
2024-10-07,广西,5,可以可以，值得去看看
2024-07-22,广西,5,游船豪华漂亮，舒适。
2024-05-14,广西,5,还不错，值得一看
2024-11-15,江苏,5,非常满意 人性化
2024-11-08,广东,5,夜景非常漂亮
2024-04-24,广东,4,没有惊艳，音乐喷泉未开，总体一般。
2024-08-28,广西,3,景好，人太多，服务一般
2023-12-31,广西,1,我根本没去到，但是一分钱都没退到。 睡前买票第二天早上就退不了了……！！ 12月30日20:30才发船，但是早上我有事没法去柳州游船，刚好是10:03点进去，上面显示10:00之后取消扣全款，也就是无法取消！我购买的时候没有这个说明…！！！！（至少商家需要把“10:00”不可取消并扣全款这个“霸王条款”放在最显眼的位置，你要搞特殊就要让顾客提前都清清楚楚地知道，这只是2小时的船票但是价格堪比去卡乐星球？） 12月31日早上显示订单已完成，也就是说我“使用”了。 这是什么霸王条款？？？当天10:00就不可取消，但是最新看到20:00之前都能买票？？😅 没去到也不会再订第二次的玩意儿！！！
