date,ip 属地,评分,comments
2024-10-18,湖南,5,桂林的两江四湖景区是桂林市中心最优美的环城风景带，由榕湖、杉湖、桂湖、木龙湖、漓江、桃花江所构成。这个景区不仅是自然风光的集萃，也是桂林历史文化的缩影，体现了“千峰环野立，一水抱城流”的美妙景致和“城在景中，景在城中”的和谐景观。 主要景点包括： 1. 象山景区：象山是桂林的城徽，酷似一头驻足漓江边饮水的大象。景区内还有水月洞、象眼岩、普贤塔等景点。 2. 叠彩山景区：叠彩山以“江山会景处”著称，登山远眺，桂林山水尽收眼底。 3. 伏波山景区：伏波山因汉代伏波将军马援而得名，是桂林精美的山峰之一。 旅游信息： 开放时间：象山景区旺季（4月-10月）6:30-18:30，淡季（11月-3月）7:00-18:00。 门票价格：两江四湖船票夜游成人210元，儿童125元。象山景区门票55元，叠彩山景区25元，伏波山景区22元。 游览方式：游客可以选择徒步或乘船游览。乘船夜游可欣赏到灯光映衬下的桂林环城水系夜景，体验山水与城市的交相辉映。 游览线路：游客可以游览漓江、桃花江、榕湖景区、杉湖景区、桂湖景区、木龙湖景区，途经多个传统名山和名胜古迹。 两江四湖景区不仅是桂林山水的代表，也是中国山水中人与自然和谐的标志符号，是中外游客游览桂林的首选方式之一。
2023-03-26,山东,5,20230311晚上： 1、“两江四湖•象山”是桂林市闻名于世的地标式山水风光名胜，是来桂林必打卡的网红景点，其水系像血液般贯穿市区，城市与山水融为一体，属于开放式景区，游走于桂林街头便不知不觉徜徉在碧水翠山之间。景区分为“两江四湖”和“象鼻山”两大区块，入园均免费，前者适合夜景，后者适合白天游览。 ①地址：桂林市象山区。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：2小时。 2、步行游览两江四湖免费，但最佳游览方式是乘坐游船，游船分白天和晚上两个时段，白天价格90元比夜游180多元的便宜了一半，当然视觉效果会逊色不少，我在白天和晚上各体验了一次。游船为单层，椅子下方有救生衣，船上配有厕所不过只能上小便。两江具体指“漓江”和“桃花江”；四湖指“杉湖”、“榕湖”、“桂湖”、“木龙湖”；游船路线为：日月湾码头-杉湖-榕湖-桂湖-木龙湖-（原路返回）榕湖-桃花江-文昌桥码头，全程60-70分钟，起点和终点相隔15分钟脚程。日月湾码头位于杉湖东岸，夜幕下可以遥望对岸的桂林地标建筑、中国名塔“日月双塔”，它由“日塔”和“月塔”组成，合起来是“明”，寓意“日月同辉、桂林明天会更好”，是网红打卡点，穿民族服饰的美女们亦是一道靓丽的风景线，排着队等候拍照，观景台上有卖唱歌手，为湖边开启一场视听盛宴。 3、日月双塔原为木制，始建于唐天宝九年（750年），由后来东渡日本弘扬佛法和大唐文化的鉴真大和尚主持兴建，地宫发现于1999年，出土了多个佛教密宗相关文物，眼前的双塔是2001年复建的，靠近湖岸、矮胖的塔是月塔，7层，银白色灯光；靠近湖中心、高瘦的塔是日塔，9层，金黄色灯光，耗铜352吨，号称“世界第一铜塔”，是世界最高的铜制建筑物和最高的水中塔。双塔塔顶都有存放舍利子的法器，并能形成磁场吸收天地灵气。登日月双塔需要买28元门票，有免费讲解，唯一出入通道“心之小路”周围有各种佛教小物件、“十二生肖寿字碑”（十二生肖石柱）、系着红色祈福带的竹林。月塔下有“药师井”（仿制石井）、药师佛金像、“摩尼车”（自唐玄宗时期风靡长达88年的唐密法器，直到唐武宗灭佛运动后消失）、假山山洞（白开放山洞，洞内到处是水）。月塔只能徒步上塔，塔身有双塔的科普介绍，包括结构、历史、出土文物等信息，一楼是一圈仿制佛家文物。双塔的负一层是商铺… 字数超限，在最后一张图片里继续。
2021-03-20,未知,5,桂林两江四湖构成桂林山水美景的重要组成部分，两江四湖说的是漓江，桃花江，榕湖，杉湖，桂湖，木龙湖，这些景点串联起来让桂林城区看起来就像一座青山碧水版的威尼斯水城，而夜晚的桂林和白天是完全不同的景色，这里只想用“梦幻”两个字来形容，缤纷多彩的色调，令人完全陶醉在灯光盛宴里。若想一次性饱览夜景，最好的方法是搭船游，其环城水系全长7.33公里，水面面积38.59万平方米。该工程最早形成于北宋年间（960-1127年），当时榕湖、杉湖、桂湖上舟楫纵横，游人如织，兴盛一时。
2020-05-03,未知,5,兩江四湖景區很大，可以船遊，或是繞著環湖步道瀏覽景緻。兩江四湖景區裏面最知名的是日月雙塔，登塔需要門票，目前疫情期間暫時沒有開放登塔。如果不登塔，圍繞著步道行走，可以體驗不同區域的風景。 兩江四湖景區白天跟夜晚是不同風情，夜晚的燈光秀滿吸引人，傍晚時就看到一堆人在湖邊等待打光。 景區距離象山跟正陽步行街都不遠，走路十幾分鍾可以到達，交通方便。很多桂林的市民都會來這裏散步慢跑，觀光客也都會來打卡拍照，遊客非常多。
2019-06-16,未知,5,桂林的两江四湖包括了桂林市中心区的漓江、桃花江以及杉湖、榕湖、桂湖、木龙湖，是桂林城市中心优美的环城风景带。乘游轮夜游两江四湖，两岸的美景在灯光的辉映下，美轮美奂。游轮在象鼻山码头上船，下船在另外一边。 白天沿湖步行散步，看到的又是另一番景色。
2019-06-07,未知,5,两江四湖游船是桂林市区旅游的重要组成部分，两江四湖指的是漓江、桃花江、杉湖、榕湖、桂湖、木龙湖。桂林的游船分很多种，有一江四湖，日游四湖，夜游四湖，夜游两江四湖等等。既然去了桂林，夜游两江四湖是最值得参与的，夜里游玩可以欣赏到桂林的夜景。我出发的地点是在象山渔人码头，位于象山景区3号门附近。游览过程中，除了经过两江四湖，还会经过独秀峰，叠彩山，日月双塔等等。大致线路为：象山渔人码头——漓江——独秀峰——叠彩山——木龙湖——桂湖——杉湖——日月双塔文化公园——返回杉湖——榕湖——桃花江——文昌桥码头。整个行程游览下来，几乎整个桂林市区内的景点都能看到，夜晚这些景点的灯光非常炫酷。除了灯光，还有两个区域会有表演，票价贵有贵的道理。两江四湖比较有特色的是，有两个区域会有水闸放水，船升降的过程，就像三峡大坝那样，因为三个湖之间会有落差，因此建造了大坝来将这种落差问题解决，还挺有意思的。
2017-09-14,未知,5,桂林的两江四湖，桂林的标志，我和爱人一起来这里观赏夜景，听着美女导游认真的介绍，拍着照片，爱人在90分钟的过程中一直很激动，不停的拍照片，木龙塔，日月双塔，叠彩山，伏波山，真的好看，这次夜游，值大发啦
2017-08-11,未知,5,两江四湖景区是从一个很直观的角度来观赏桂林的市内风光，所谓两江四湖是把桂林市中心区的漓江、桃花江、杉湖、榕湖、桂湖、木龙湖贯通，整个过程需乘船游览，白天和夜晚的船票价格区别挺大，晚上的更贵，但是各有各的韵味，晚上色彩更多，白天视野更好，有时间的话，白天和夜晚个走一趟。登船之前看到码头上有六匹骏马的雕塑，游览开始会经过著名的象鼻山景区，可以在江面上看到象鼻山全貌。比较让人记忆深刻的是除了两江四湖如日月双塔、阳桥、榕溪桥、知音台等等外，在游览过程中能见识到不同类型的船闸也是一大特色，有整体提升式，有传统的抬升式，在船上可以看到整个过程，非常过瘾，本人是白天乘坐游船，夜晚步行游览，感觉真的不一样。
2017-07-10,未知,5,超级喜欢夜游两江四湖这个项目！走了一天的山路之后 轻轻松松地坐在带空调的小船里看两岸江景 看城市华灯初上 看山水与人文的和谐相融 还有船上导游的专业讲解 让我感觉非常好。游程大约一个半小时，基本没有重复的航段 还会过两个船闸（有趣~我们的船3人一座 还算舒适 有两个拍照点给你拍照 但是只免费给你证件照大小的很模糊的照片 如果付30元才有大一点的 要不要买就看各位了
2017-06-08,未知,5,桂林两江四湖夜游船真的是太美了。虽然自己花了200元的船票，但是绝对不虚此行呀。它在漓江大瀑布酒店的旁边，附近还有李宗仁故居。夜晚坐游船看到了非常多美丽的夜景，同时大家还可以在这儿体验独一无二的过船闸的感受。太美了。
