date,ip 属地,评分,comments
2016-02-15,未知,4,由于没有得到保护，古街其实上基本都快拆完了，只剩下路口几间，不过村口那几颗大榕树能记下那沧桑的历史''⋯⋯
2019-06-08,未知,3,整体表现一般，但是算是带有榕树特色的景点，村里十棵带名字的榕树都格具形态，其他保护的古建较少，处于一般开发状态，有点意思但还缺惊喜
2020-05-16,未知,4,今天去的时候还有点下雨呢！华夏第一榕！
2016-03-09,未知,5,千年古榕真的很壮观，有子母榕，树盖如伞，直插苍天，古街很宁静，保存得尚可
2017-05-17,未知,5,我们平乐榕津大榕树是出了名的给力
2016-06-19,未知,5,比阳朔大榕树更漂亮，还不用门票。
2019-04-16,未知,5,不错的，就是小了点，其它的都还不错。
2016-06-09,未知,5,美丽的千年古榕，有连理树，很壮观
2017-04-27,未知,5,不错不错，风景好，空气好！漂亮
2016-06-10,未知,5,榕津古榕拥有很悠久的历史了，是真正村民居住的地方的景色，大得令人惊叹
2017-11-22,未知,4,据说以前这里有很多的古榕树，现在已经很少，能看到的都有几百年的历史了。
2015-12-18,未知,5,还不来吗？这里真是美美嗒！而且现在景区不收费………
2016-12-12,未知,4,榕津是个小乡，里面就那几棵很老的榕树，街好旧。
2016-07-16,未知,5,真的非常好景色优美令人流连忘返啊
2016-09-15,未知,4,这里比较古镇，非常的漂亮，奇特
2018-09-28,未知,2,没有门票是好现象，廖丙坤大房子粤东会馆都没有开门
