date,ip 属地,评分,comments
2023-01-25,广西,5,差评，—个商业街还要收68元门票，表演另外收钱，早点关门得了
2022-11-23,四川,5,民族风情浓厚，非常具有特色，喜欢
2023-12-16,广西,5,有苗族的传统文化和歌唱
2023-05-01,广西,5,值得一游，风景好，空气清新，性价比高。
2022-09-30,四川,5,充满民族特色，具有民族风情，挺好的
2022-10-06,四川,5,具有民族风情，性价比很高，不错
2023-04-24,广东,5,双龙沟挺不错的，梦鸣就比较小了，总体不错，还是值得一去的，双龙沟拍照出片
2023-12-14,广西,5,这么好的地方，值得推广
2021-10-04,未知,5,买票顺畅，取票房产
2022-08-09,广西,3,票价比景区漂亮，都是后期建造的。隔壁双龙沟还比较好看一些，哎
2023-09-05,广西,3,景区很小，没啥逛的，表演还可以，演员都是没怎么用心在表演的，有些随意了
2023-10-22,广西,3,除了翻新房屋什么也没有，没有看头，可游览空间小，活动内容更不用说。
2024-02-19,广西,4,饭不错，其他没啥
2024-02-19,广西,4,看看就行了。
2023-05-01,广西,3,说实话，性价比不高~到此一游
2023-07-22,广西,1,全是仿古建筑和义务批发小商品和批发廉价小零食，做景点全靠意淫，都是油漆味一些地方，没有一点特点
2023-12-19,广西,2,一个空城的商业街，啥都没有。白白浪费了几十块钱的门票
2023-08-21,广西,2,毫无乐趣 一点游玩的都没有
2024-05-29,广西,1,完全商业化了一个新建的建筑群，没有任何性价比可言，质量非常低劣
2023-02-01,广西,1,山寨景点，谁去谁后悔
