date,ip 属地,评分,comments
2017-10-01,未知,5,女书园位于女书博物馆内，不用再买门票，但要查看进景区大门买的门票。园内有几个古色古香的小展厅，展厅的布局合理，展品古朴典雅，给人以强烈的美感。导游会给游客介绍女书的各种知识。最后还请大家到女书课堂听两位年轻漂亮的女书老师教游客读女书文字，唱女书歌。在这里，游客可以学到许多知识，受到传统文化的熏陶。
2023-06-29,上海,5,自古以来，江永县便是瑶族聚集之地，勾蓝瑶寨的称呼来源可追溯至明洪武年间。 永州市江永勾蓝瑶寨景区秦汉时期，瑶族先民“蛮” 便久居在江永县，后被称为“莫徭”。隋唐时期，洞庭、武陵、长沙等地的瑶人往南迁徙至江永，与久居江永的瑶人融合。宋元时期，由于朝廷对瑶族的高压政策，众多瑶民被屠杀导致大量瑶民外逃避难，其中以逃离千家峒事件最为典型。明清时期，受政府招安政策的影响，受动乱影响居住在深山之中的瑶族迁徙至山下的平地，形成了“四大民瑶”和“四岗九源”的分布格局。勾蓝瑶寨现居住有蒋、欧阳、黄、何等13姓，2900多人，已延续了40多代，历经1000多年。2019年12月31日，勾蓝瑶寨被国家民委命名为第三批“中国少数民族特色村寨”。
2015-11-05,未知,5,非常值得去。女书虽然你看不懂，作为人类文明。其实是可以很好的鉴赏。女书靠母亲传给女儿，老人传给少年的自然方式，一代代传下来。“女书”是人类历史上一个独特而神奇的文化现象，也是中国语言生活中的一个奇特现象。
2022-02-17,未知,3,江永女书园的四面潇水环绕，风景秀丽，民风淳朴，主要通过实物、文字、图片、音像等形式，展示女书原件文献、作品、工艺、书法、学术成果与民俗风情，全面介绍厚重的文化内涵和独特的人文魅力。
2019-02-15,未知,3,江永女书博物馆 女书是世界上唯一一个女性性别的文字，妇女专用的文字，只传女！男人看不懂很正常，也不要刻意去学习，必竞它是女人之间沟通交流工具！
2019-10-20,未知,5,江永女书园，景色不错，红色旅游经典景区之一，党员活动的好地方，值得推荐给大家，感觉非常不错，趣味性强，性价比超高的，不错哦！
2017-02-09,未知,5,这几个地方都很好，你们有机会去看看
2016-08-09,未知,4,有一个红色的吊桥，女书园，个人觉得景色一般，现在还没有开发好，关键现在不要门票哦，可以去看看，开发好了估计人就会爆棚
2016-11-27,未知,4,女书已经成为一种文化遗产，这种字迹几乎很少有人能够辨认，在这里来感受女书文化，也是一种体验中华民族精髓的新体验，不愧在世博会上代表演出。
2016-03-23,未知,5,风景美，山清水秀，热情，有文化底蕴
2017-11-25,未知,5,觉得还不错，对女书文化更深层次的了解了。去了之后必须要求导游讲解，这样会感受更深，了解更多。
2022-01-23,未知,5,江永女书园世界上唯一一种女性文字，很不错的。
2016-07-26,未知,4,很漂亮，很有特色，要是再有很多吃的就好了，风景很好，有很多瑶族的特色，更倾向于少数民族的特色与人亲情，
2015-11-12,未知,5,很好看。？。有时间可以在玩玩了……一个人，
2017-05-16,未知,4,这是个非常值得一去的景点，早早对女书有所耳闻，但是百闻不如一见，园中虽小，但是含金确大，非常膜拜。
2016-03-24,未知,5,不错，值得来一趟，毕竟是非物质文化遗产
2016-02-26,未知,5,江永女书…是我国文化多种的其中
2015-10-30,未知,4.6,"作为江永县""三千文化""之一的""女书文化""还是值得去看一看。"
2016-02-18,未知,5,风景好⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯
2022-11-02,湖南,5,江永女书，名扬天下，外地游客一定要过来打卡！
2022-10-22,湖南,5,江永女书，传奇的历史，文化中的一颗璀璨之星。
2021-07-02,未知,4,江永女书园里的女书作品还是值得一看的，世界上唯一的一种女性文字。
2016-01-14,未知,5,好喜欢这里，下次还会来，带家人一起来玩玩。
2017-02-13,未知,5,女书文化的集聚地、传承处，特别值得一游。
2022-07-10,未知,5,世界上唯一的女性文字，很高的艺术价值
2023-01-08,湖南,5,世界上唯一的女性文艺，很高研究价值
2019-12-16,未知,5,永州的历史人文古迹，很有意义的地方
2016-01-30,未知,5,文化传承的圣地，值得我们学习的圣堂
2016-09-20,未知,4,女书园在上江圩普文化村，江永女书是世界文字之奇观，值得一看。
2022-10-05,湖南,4,江永女书园的千古奇字女书还是很神秘的，值得一看。
2022-10-22,湖南,5,江永女书，传奇的历史，文化中的一颗璀璨之星。
2021-07-02,未知,4,江永女书园里的女书作品还是值得一看的，世界上唯一的一种女性文字。
2016-01-14,未知,5,好喜欢这里，下次还会来，带家人一起来玩玩。
2017-02-13,未知,5,女书文化的集聚地、传承处，特别值得一游。
2022-07-10,未知,5,世界上唯一的女性文字，很高的艺术价值
2023-01-08,湖南,5,世界上唯一的女性文艺，很高研究价值
2019-12-16,未知,5,永州的历史人文古迹，很有意义的地方
2016-01-30,未知,5,文化传承的圣地，值得我们学习的圣堂
2016-09-20,未知,4,女书园在上江圩普文化村，江永女书是世界文字之奇观，值得一看。
2022-10-05,湖南,4,江永女书园的千古奇字女书还是很神秘的，值得一看。
