date,ip 属地,评分,comments
2017-10-01,未知,5,这里景色很美，进门不久有条波光粼粼的大河环绕，河上吊桥走起来轻轻摇晃，过了桥，只见路边野花盛开，各种农作物长得特别茂盛。里面的女书园有导游讲解，参观即将结束，还会在女书课堂给女游客上精彩的女书课，会学到许多有关女书的知识，当然男士愿意听也可以。从女书园出来，还可以到附近的浦美村走走。游览时间一小时左右，门票费40元。国庆期间不拥挤。
2016-10-31,未知,4,博物馆在一个小洲上面，永明河从四周流过，河水清澈见底，风景怡人。行人通过一座钢索斜拉桥进入小洲，沿路可见各种果树、农作物，勾起各种回忆。路的尽头便是女书园，里面由一个教室、四个展厅，均是有关女书的历史、文化等的文字及实物展览。紧邻女书园的是一个叫“浦尾村”的村庄，因时间关系没有进去看。
2018-04-28,未知,5,首先女书是民族的，也是世界的，而且是世界唯一的女性书法及语言。她的起源有很多种说法，但是我倾向于王妃的“家书”说法，更贴实际；就是思念，秘密的倾诉，宣泄。有两种说法:一是吟唱，一种是吟诵。
2017-09-16,未知,4,出县城往北，公路连接浦尾村。那是一个有点特别的小村，潇水将村庄团团围住，将小村变成了一个小岛，几栋白墙红柱黑瓦的仿古建筑很显眼，一看就知道不是村里原有的房子，向大门里望去，雪白的照壁上有四个黑色大字，结构很纤细，字形很妖娆，像四个苗条的女人在跳着优美的舞蹈。白读了那么多年书，那四个字就是不认识。那就是江永女书。
2020-04-07,未知,4,【趣味】😏 😏 😏 ，每次回来必去的地方呀。 【性价比】真心不错免费来的地方啊，完美的免费玩耍地方。 【景色】不错呢，也干净，空气好
2020-02-12,未知,4,江永女书生态博物馆四面潇水环绕，风景秀丽，民风淳朴，主要通过实物、文字、图片、音像等形式，展示女书原件文献、作品、工艺、书法、学术成果与民俗风情，全面介绍厚重的文化内涵和独特的人文魅力。
2016-03-20,未知,4,女书名声很大，对于江永这个小县城，能建一座这样规模的博物馆已经很不错了
2023-10-06,湖南,4,挺好的，进门还有迎宾仪式，还有女书课堂体验，更加了解女书的由来，
2016-09-05,未知,5,中国女书 湖南省江永县上江圩镇
2018-04-29,未知,5,景色很美，田园风光！吊桥流水卵石路，休闲好去处！
2023-04-30,湖南,3,景区一般，但女书的神秘值得我们去了解。
2016-09-07,未知,5,规划中的女书河建成后必为女书博物馆添彩
2019-09-09,未知,5,当地乃至世界的女书文字以及文化，可以了解一下
2017-02-19,未知,5,还行就是那字一个都认不得夏天去洗泠水澡蛮好
2022-08-22,湖南,4,江永女书生态博物馆位于上江圩镇浦美村，风景秀丽，还有世界上唯一一种女性文字，还是值得去看看的。
2017-02-13,未知,5,独特的女书文化集聚馆，富有历史感和现场感。
2022-11-13,湖南,5,单独特的女书文化，历史长河中的一颗明珠。
2023-05-03,湖南,4,江永女书生态十字物馆是在一个叫浦美村里，景色不错，博物馆的女书展品蛮多的。
2022-10-06,湖南,4,江永女书生态博物馆里有千古奇字女书，世界上唯一的一种女人文字。
2017-06-20,未知,3,一般，随便看看可以，附带转转，景不多
2023-01-24,湖南,4,江永女书生态博物馆还是不错的，千古之迷女书很值得一看。
2023-01-13,湖南,4,江永女书生态博物馆里展厅的女书很神秘。
2022-04-17,未知,3,主要介绍湖南江永女书生的历史，喜欢历史的亲可以去参观一下哦
