date,ip 属地,评分,comments
2017-11-13,未知,5,非常值得一看的美景，瀑布比音乐喷泉更好看，还会再去看。船是柳江上最大的。
2017-11-20,未知,5,游船来回一小时，感觉不错，沿岸的景色美不胜收，人工瀑布非常壮观，还有柳江上的音乐喷泉也非常壮美，总之是一次愉快的游览。
2019-11-11,未知,5,夜游柳江，在柳江感觉最舒适惬意的时刻。来回一个小时，有讲解人员负责讲解，在船上吹风、与朋友闲聊、欣赏两岸的景色、还看到了音乐喷泉，最后留下一张游客照以作纪念，十分推荐～
2018-04-23,未知,5,亲戚从外地来，陪游柳江，几年没上船游了，此行真心满意。我大柳州的夜景越来越美了。瑞通一号游轮宽敞整洁，带小孩游有活动空间。服务态度很好，有免费矿泉水派送。
2022-07-28,四川,4,去年和家人一起去柳州玩，不仅吃到了各种好吃的粉儿，还来到了美丽的柳江边欣赏美景，畅游一番，感觉不错。百里柳江，景色秀美，白天漫步在江边，感受着江风，欣赏着美景，心情无比惬意。晚上，这里有很好看的音乐喷泉表演，很多当地人都会来这里玩，听着美妙的音乐，看着精彩的表演，心情得到了很好的放松。
2022-07-11,未知,4,之前看到推荐柳州有水上公交，可以浏览到柳江的全部景色，住的酒店楼下，就可以看到这个公交的站台，直接步行就能走到，去的时候正好是下午2:00有一班公交要发车，付了三块钱的费用，浏览了一个多小时，回程也是三块钱，妈妈一路上不停的拍照片下船直接就说这六块钱真的是值了。
2017-04-10,未知,5,取票很方便也很顺利，柳州的夜景挺美的，唯一遗憾的是没看到音乐喷泉，不知道是不是8:30的班次已经错过了喷泉时间。
2018-03-27,未知,4,江景还不错，不要太多期待，反而不会太失望。免费拍照是骗人的，拍免费，取要花钱，都什么时代了！！！真是无语，浪费时间，真的影响心情。
2017-11-20,未知,5,乘坐游船来回一小时，感觉不错，沿岸的景色很美，人工瀑布非常壮观，还有江上音乐喷泉非常壮美。一次愉快的游览。
2019-08-12,未知,5,柳州是个非常美丽的城市，夜游柳江非常值得！
2020-02-10,未知,5,夜游柳江船票六七十游了挺久的船上有小板凳可以早点去晚了可能就没有了整个过程好像四十分钟中间还会伴随着讲解夏天去游觉得很清爽！特别是到一个瀑布的时候很喜欢这种迎着风踩着水往前游的感觉～很舒服[愉快]推荐尝试一哈
2017-05-08,未知,5,一直觉得柳州的夜景很美，人工瀑布，音乐喷泉，灯光等等，坐游船看更美。
2019-03-21,未知,5,柳州真的不是夸，夜景色很美啊。唯一不足的就是船有点旧了！不过看夜景毫不影响啦。用优惠价坐的，蛮不错体验，来柳州可以体验体验。
2020-07-20,未知,3,性价比不高，太贵了，88的船票只给你发了一瓶水，游览途中表演了个变脸，就那么几分钟，然后居然还有推销卖画的，我也是醉了！！这个票价还不如去坐水上公交，路线是一样的，我们也是后来听当地出租车师傅说的！感觉亏大了！！！柳州夜景确实很漂亮，来柳州一定要体验一下这个游船！但是大家还是去坐水上公交吧！毕竟那个才3块钱！！！
