date,ip 属地,评分,comments
2024-12-10,美国,5,湘山寺位于广西全州县，是一座历史悠久、文化底蕴深厚的佛教寺庙，其历史可追溯到唐代。坐落于湘山之巅，依山傍水，风景秀丽，素有“楚南第一名刹”之称。 寺庙最初由唐代僧人创建，是研究中国佛教历史和建筑艺术的重要场所。大雄宝殿是寺内的核心建筑，供奉着庄严的释迦牟尼佛像。此外，寺内还有钟楼、鼓楼、藏经阁等建筑，每一处都蕴含着深厚的宗教和文化意义。寺庙四周绿树成荫，环境清幽，是修身养性、静心祈福的理想之地。 这次来还花了一点体力和时间徒步上山到了四个大字那里。所谓四个大字，是湘山近顶端的一块崖壁上镌刻的清圣祖康熙皇御笔钦赐的“寿世慈荫”四个大字。登山途中可以俯瞰全州县城和湘江河流的壮丽景色，让人心旷神怡。
2016-06-07,未知,5,参观的时候感觉湘山寺香火还是挺旺盛的，有来自南北的香客信士。建议来参观的时候徒步爬山去康熙崖刻“寿世慈荫”景点看看。放生池里的石雕动物也是栩栩如生，只是有一些石雕都因为磨损什么的看不出是什么动物了，感觉不是保护得特别好。妙明塔也是一景，但现在也不能登塔了。湘山寺有“楚南第一禅林”之称， 2014年被评为国家3A级景区。湘山寺的十景是：康熙崖刻、石涛兰花、大雄宝殿、圆通宝殿、天王殿、寿佛殿、妙明塔、放生池、洗钵岩泉、飞来石。
2019-02-14,未知,5,"全州湘山寺位于县城中，历史悠久，距今有一千多年，有楚南第一名刹之美誉。寺前放生池内动物石刻应势而雕，栩栩如生。寺后飞来石处石刻保存完好，石涛的""兰花图""飘逸雅致。沿寺后的山一路向上爬，空气清新，接近山顶处康熙御笔石刻""寿世慈荫""苍劲有力，此处观景台到俯瞰整个县城。"
2017-10-21,未知,5,这是全州较为经典的景色，历史悠久，环境优美，山清水秀。主要是全州美女多 汇集在湘山寺庙内 。欢迎来到我大全州，给你最好的服务 。 全州的文桥醋血鸭 苦瓜圆子 荷花鱼 文秀牛排 粉蒸肉 远近闻名的红油米粉 都是我们全州的一绝 ， 三江口的美丽景色，寝车的江水，飞速的游船。 最好的选择，还在犹豫什么 我们大泉州迫不及待看到你们这些又远光的游客
2016-10-09,未知,5,全州最大的一座寺庙，历史悠久，香火旺盛，每年来这里朝拜的人从多，祈求在一年中家人身体健康，为家人求福等。寺庙内有多处佛像，还有前人在石碑上留下的书画等等。
2020-04-12,未知,5,位于广西壮族自治区桂林市全州县高级中学（老校区）旁边的湘山寺，景色优美宜人！是一个登山的好去处，交通便利，位于桂黄中路上！
2017-08-12,未知,5,湘山寺隐藏在市区中，虽然屹立在山上，但还是不好找。坐车到丁子口，接下来就要问人了。湘山寺不算大，有3层，门票2元，不过在寺下面看就像是直耸云霄，很宏伟。寺里烟火缭绕，在烟火里若隐若现，更增添一份神秘感。寺里还有一片区域供奉了历代住持的宝塔，让人心生敬畏。
2022-01-05,未知,4,环境优美，适合养老，建议春天去，绿树成荫，空气清晰
2022-08-12,广东,5,临湘江之滨，踞湘山之上，有煌煌古刹，耀熠熠华光。这座寺庙，是坐拥喧嚣闹市的一方净土，穿越悠久历史的一座梵刹，积淀厚重文化的一个名寺。她就是遐迩闻名的黔北名刹湘山寺。
2022-06-03,未知,5,明万历年间改湘山寺所在的清湘县为全州，取全真和尚之“全”冠以州名之首。以出家人之号冠地名在中国地名史宝属罕见，足见全真大师和湘山寺在当时文化地位之高。
2017-09-29,未知,3,真心一般般，据说旅游旺季，里面的乞丐成堆
2016-10-09,未知,5,全州湘山寺历史悠久有许多的神秘感！
2017-07-31,未知,3,湘山寺，建于唐代曾经的著名古刹，“兴唐显宋”，“楚南第一名刹”，广西最古老的佛教寺院。抗战期间毁于战火，从此一蹶不振。到处都是正在建设下的场景，几乎所有建筑都是新建的。
2016-10-05,未知,5,值得。人杰地灵，历史悠久，古寺名校，相映成辉。
2021-02-27,未知,4,在全州县老城区，离高铁站不远，总体还不错，门口有个大水池，有很多乌龟，可以买饲料喂乌龟。里面挺安静的，环境挺好，也可以登山。
2016-02-04,未知,4,性价比高，喜欢佛教的朋友可以去看看！还可以爬爬山
2016-12-15,未知,5,很不错。大家以后多去玩玩。？。。。。。
2016-09-26,未知,5,早晚锻炼的好地方，欢乐大家参观。
2023-08-06,广西,5,位置很好找，虽然是周末来的，但🅿️停车位还挺多的，非常方便
2019-06-12,未知,5,空气好！景色怡人！晨练，散步的好去处！
2017-12-08,未知,5,在全州县城，可以进寺庙看看，也可以爬上湘山俯瞰全州县城。
2016-06-04,未知,4,值得去玩的地方，广西的第一道风景……
2016-04-19,未知,3,广场不错，很宽阔，佛教祈福还是很好，但是氛围不是太浓，里面的古迹保护欠缺点，希望加强保护和开发。
2017-01-26,未知,5,新年去拜佛的好地方，值得去的好地方
2021-03-08,未知,5,素有“兴唐显宋”之美誉，“楚南第一名刹”之雅称。
2023-02-20,广东,5,很不错的地方！很适合去游玩的景点！推荐去游玩！
2017-06-29,未知,4,这是一个有文化底蕴的地方，但商业气息稍浓了点
2023-08-23,广东,5,很不错的地方！很漂亮的地方！赞一个！
2016-06-11,未知,5,区去玩过，景色真不错，海还可以爬山。
2023-05-21,广东,5,很不错的地方！佛门圣地！！赞赞赞！
2023-04-25,广西,5,据说非常灵的古刹，很多人慕名而去！
2023-01-07,广西,5,很有名的寺庙，心诚则灵，香火很旺。
