date,ip 属地,评分,comments
2017-07-31,未知,4,池子位于温泉宾馆下方，整个建筑群规模不大，但显得很秀气清雅，这边的一块闲置的空地上，几十只母鸡悠闲地觅食，这是餐厅工作人员自养的土鸡，宾馆的门前，一条路直通停车坪和泳池，路边一侧的草坪绿油油的，几位从南宁来的游客正围坐在一起聊天喝茶。池子里有一家人在高声交谈着体会，从他们的口音可以判断出他们是湖南人。一位南宁来的先生告诉笔者，他来这里玩就是图个清静，这里很适合自驾游旅行者，他下次还要推荐更多的朋友到这里泡温泉。
2019-02-08,未知,3,有点失望，一个大水池人多。环境很差，特别餐厅有点路边排档感觉，正月初四去，环境冷、人也冷，不推荐！
2018-09-30,未知,5,里面空气质量好，冬暖夏凉，泡着温泉♨️很舒服，孩子都不想走，住了一晚上，感觉工作的疲惫都烟消云散，适合团队活动，烧烤，拓展。
2017-12-15,未知,3,酒店设施很差，价格较贵，早餐是一碗米粉加一个鸡蛋，温泉水不错，一张票可以泡2次。
2016-07-05,未知,5,路程有点远，风景好，空气好！棒
2023-02-26,广东,5,很不错的温泉！很漂亮的地方！赞一个！
2017-08-30,未知,4,这个温泉的水真，泡得还比较舒服
2020-01-30,未知,5,值得去泡温泉的地方我很喜欢这里的了在山上看下雪天
2023-08-31,广东,5,很不错的地方！泡泡温泉很舒服！👍
2023-05-26,广东,5,很不错的地方！很不错的温泉！👍
2020-11-07,未知,4,泡温泉还可以，纯天然，不是锅炉水烧热的。
