date,ip 属地,评分,comments
2022-08-06,北京,5,广西贺州玉石山，距市区十几公里，奇峰怪石聚为山，称：玉石林，天造奇观，蔚为壮观，老天爷将巨石巧搭妙配，一步一景，步步皆为大地天然画，令人赞叹！贺州玉石林景区位于八步区黄田镇，距市区18公里，与姑婆山国家森林公园、贺州温泉同在一条旅游线上；贺州石林景区面积25公顷，总游览路程约13公里，观赏景点一百余处。游于林中玉石林，如入仙境，大自然的鬼斧神工令人叹为观止，千百年的故事，传说令人舒坦感慨。玉石林风景区是由罕见的由汉玉石柱、石笋组成的“玉石林”。它大约形成于一亿多年前的侏罗纪时期，由于燕山期地质的断裂隆升和长期的岩溶渗蚀及局部受高温影响，加上自宋朝以来1000多年的锡矿开采业，使区域内地层峰从间石芽裸露、奇峰突兀，石笋石柱、地槽漏斗、狭缝密布，成就了“千年骆驼”、“空中走廊”、“一线天”等众多的奇异自然景观。它独立于四周的石灰岩山中，被游人誉为“人间仙境”，被地学专家称作地质奇迹。石林中的石芽、石柱和石峰，奇形怪状、夺巧天工。景区中的小路四通八达，可以说是移步换景，让你目不暇接。自然的景观众多，“时来运转”“羊回头”“青蛙望月”“一线天”“依偎石”，有的象“孔雀开屏”，有的象“恐龙漫步”正所谓说：三分相像，七分想象，不想不像，越想越像。有句话说得好啊“横看成岭侧成峰，远近高低各不同，不知石林真面目，只缘走在石林中。”
2017-02-20,未知,5,贺州市区的4路公交车到路花村委，2元每人，下车后刚好是十字路口，问下当地人怎么走，距景区将近2公里，是一段上坡的水泥路，尚算好走。玉石林景色不错，千姿百态的石头真的让你感叹大自然的鬼斧神工，一线天和迷宫建议一走，真的很震撼！下山有滑道，30元每人，途经一个寺庙，烧香要香油钱，还是能避则避吧，土豪随意！最后吐槽一句，贺州景点的收费真心贵，建议游客提前两个小时网上预订，便宜不少，我们两个人携程上订了一张双人票，才119元，比全票便宜很多！
2018-06-28,未知,4,自驾来的，从外面的公路进来，路面还是有点差，到了景区后，买的票，刚好遇上景区搞活动，门票价格还可以接受。早上10点进去的，刚好遇到人家的旅游大巴车来了，我们赶紧进去，到了门口，发现好多的油纸伞呀，还有喷雾，天气虽然热，但是有遮阳和降温的雾气，还是有一点点的清凉的。看图吧
2017-02-12,未知,4,先从贺州坐往姑婆山的专线车，在玉石林的路口下车，改乘公共汽车到前面的村子下车后，再步行20分钟的山路才到达景区。里面挺大挺险的，特别是一线天和迷宫。就是门票价格偏高，沒有专车，很不方便。(据说在新世纪酒店门前乘坐贺州至新路的小巴3元/人，可直接到村子，就不用转多1次车了)
2017-01-01,未知,4,玉石林全国独有，景色美，我们去的那天下着毛毛细雨，云很低，在景区里看景犹如在仙境，留连往返美不胜收。就是交通太不方便，据说每天上下午各有一趟公交车，太少了。另外贺州市对玉石林的宣传力度不够，很多人都不知道，就连当地人都不去，出租车司机都不认识路1
2016-08-24,未知,4,玉石林给我最大的亮点并不是他的汉白玉石所形成的图像，而是一线天的长与险，感觉比黄山的一线天还要窄和长，还有一亮点是下山滑道，全长400米，起初以为好刺激，原来它就是我们小时候玩滑滑梯的升级版，人能控制速度，挺新奇的，只可惜没顾上拍张照留念，有点小遗憾
2016-08-13,未知,4,挺值得一去的，细细玩全程花费2个半小时，下山很快的，半小时不用，一定要走南国雪原，一线天这边，上山拍照的地方很多，如果走这边下山就危险点点，山顶的迷宫挺有意思的，会推荐朋友去！
2017-02-08,未知,4,玉石林和昆明的石林有点相似，地貌特别，山不算陡峭，女儿五岁也可以登顶，不错 特别注意的是，导航指的路线是错的，经过狭窄的菜市场最后还是崎岖的山路，太可怕了又绕回去，最终走上姑婆山的路到中间分叉口右拐才到的。
2016-02-25,未知,3,贺州玉石林位于八步区黄田镇，距市区18公里，与姑婆山国家森林公园、贺州温泉同在一条旅游线上；贺州石林景区面积25公顷，总游览路程约13公里，观赏景点一百余处。游于林中，如入仙境，大自然的鬼斧神工令人叹为观止，千百年的故事，传说令人舒坦感慨。 玉石林中有一寺庙，下山必经之路，请诸位不要随便上香。你们懂的。
2016-10-03,未知,4,没去过的值得去一下，石头也很漂亮，山上的风景也不错，建议自己带水去，景区的水是很贵的，下山是有滑梯坐的，要30元一人，滑梯全长420米，也可选择不做
