date,ip 属地,评分,comments
2023-08-20,广西,3,价格贵一点，因为在音乐喷泉那船根本没有停下来很久让游客观看，一直是开着的，很多小朋友都意犹未尽，船在靠近音乐喷泉的地方也没有靠近，其他船都从我们船前面穿过，无法很好的欣赏音乐喷泉。
2020-10-27,未知,5,据说这艘船是柳州饭店的，服务五星，夜景也五星，很好的体验，超棒！
2021-07-14,未知,5,携老带小夜游，夜景超极美！物有所值
2023-10-05,广西,5,百里柳江百里画廊值得一游。
2023-07-31,广东,5,很好，算是很不错的船了，江景也ok
2020-12-02,未知,5,服务很好，船很舒服，夜景很美。
2020-11-07,未知,5,景色不错，
2023-11-27,广西,4,真龙号不能上二楼看风景，没其他游船好玩
2024-01-02,辽宁,5,非常不错，景色很美。
2023-02-19,云南,5,干净舒服开心
2021-06-03,未知,5,景色宜人很美
2023-03-31,北京,5,夜游很美！
2024-08-10,福建,4,还不错👍👍
2024-05-05,广西,4,节假日人很多
2023-08-09,广西,3,室内观光，不建议选择
