date,ip 属地,评分,comments
2018-02-22,未知,5,不错值得一去，刺激好玩，全生态，地下河清凉，天坑最大了，里面的乳石超好看，同伴拍了很多美照大家玩得很开心，就是春节去车太堵了，但是大家走到景区还是累而开心！
2018-02-21,未知,5,我们是在年初五去的，人很多，我们住在柳州市区，从天悦大酒店出发，一个多小时就到啦！景区里面有停车场的。所以需要早点到，我们十点多到停在停车场。但是我们出去发现人太多了，所以车停到距离景点差不多一公里外了，这样走进去很远。我们是在携程订的票，取票窗人很少，但是如果买票就要很多人。里面很多东西吃的。而且不贵，价格很亲民。门口的凉拌鸡脚很好吃。他里面的玻璃桥上有一个拍摄点。有摄影师拍照，建议全家一起拍全家福，也可以自己拍。但是一张照片20。挺好看的。然后下一个景点是溶洞，溶洞一直走就到了景区游船的地方，游船是100元一艘，要自己踩，我们不熟水性，所以没坐。然后沿着路走就是出口了。门口靠近售票处有吃饭的酒楼。我们5菜一汤才249。挺划算的。我们去的比较早，所以玩的很休闲，一点都不会有很多人的感觉，不会人挤人。建议早点去，我们大概一点走的时候。好多人！！总的来说门票还是挺划算的。在携程78。现场买80。都是包玻璃桥的。
2019-08-15,未知,5,#柳州[超话]# 清晨，石门仙湖在一阵阵雷声中醒来，走进景区，迎面而来的是雄伟的关门，再往上就是传说中的玻璃栈道。雨中的栈道有些湿滑，也因为镜面模糊而丧失了些惊险刺激的感觉。仔细往下观望，桥面下几十米深处的地下河以及茂密的植被还是隐约可见。轻手轻脚地走过玻璃栈道后，抬起头来望见一个自然形成的石门，据说这就是石门仙湖名称的由来。图三石门仰拍的效果是不是有点像一颗爱心❤️呢？攀至山顶，一个天蓝色的人工玻璃平台映入眼帘，如果不下雨天气晴好的话，可以走上平台远眺山下的田园风光，顺便拍下网红同款的风光大片哦！拾级而下，进入天然溶洞里面，虽然不是第一次看到，但眼前的钟乳奇观仍然使我们流连忘返。巨大的石柱和石笋，清澈见底的水洼，配合绚丽多彩的灯火，显得光怪陆离，十分新奇。尤其是洞口的那两条小瀑布，激起一阵一阵的水汽，在洞里面升腾出来，宛如人间仙境一般。洞里面的气温比洞外低了好多，骤然离开时，犹如从空调房走到闷热的室外，眼镜上立刻沾满了雾蒙蒙的水汽……仙湖我们不是第一次来了，可每一次都有不同的收获。其实，人生也是如此，不同的人面对同样简单而重复的事情，或者相同的人在不同时期里，都会有不同的感受……。走，再刷一遍大良牛杂，感受一下不同的酸爽感觉，打道回府！
2017-10-19,未知,4,自然风景的底子非常好，配套有些跟不上 后期希望能把它做好，其实跟桂林的有点像却又好像更加好，不要浪费了这样的美景！那里的人真的很热情！
2017-05-29,未知,5,有玻璃桥，高空惊险，有地下河，清泉明澈
2017-09-03,未知,4,如果只是想体验玻璃桥，那可以去因为价格还算不贵，不过现在是在修路和修房，景区内就是脏乱差，希望下次再去的时候别再让我们失望了。
2018-02-25,未知,3,去的路上开满美丽的油菜花，沿途都是，漂亮极了！景区还在修建中，特别是山上景区内厕所的增加，期待它们的进一步完善！在景区买门票80元。网上买优惠一点点！
2020-10-04,未知,5,石门仙湖景区 有小张家界之称，玻璃桥，玻璃栈道，石门，溶洞，地下河全部集中在一起，一路曲折蜿蜒，很有意思，值得来一次，4A景区，没有上5A的原因估计就是太小，我们一路玩下来两三个小时左右，周边要是有更多景点一起的话就不错了
2018-08-22,未知,5,特别感谢景区内的保安，父亲过了玻璃栈道进去溶洞不小心崴脚摔跤了，走在前头的保安立刻过来帮忙并全程陪同，帮找树枝当拐杖，还一直扶着我父亲下台阶又上台阶的到平台出口，特别非常感谢，没要到个人信息所以偷拍了两张照片，非常感谢！也感谢景区其他工作人员一同配合。同时提个小建议，毕竟溶洞台阶比较陡峭，一旦有意外有没有一些急救措施。
2017-10-07,未知,5,换票很快，立马进入。是典型的喀斯特地貌，进入关谷镇，万福（蝠）峽映入眼前，玻璃栈道横挂石门，非常壮观。右行上山下坡，到达玻璃栈道，往下看，地面深邃有暗河流通，走在上面感觉良好。绕着石门由上而下，进入溶洞，凉飕飕的，舒服！游览了近三个小时，非常不错！
