date,ip 属地,评分,comments
2019-05-05,未知,5,富川三大古村之一，不收门票和停车费，保留有大量的明清古建筑，同时也保留有标志的百柱庙，周边散落有小风格的风雨桥，整个古村沿溪流分布，可惜有些祠堂还处于修缮中，建议一个半小时游览
2018-10-09,未知,3,福溪村是富川县旅游的三个重点古村落之一，古村落的保护比较好。明清时候的建筑总的来说还不错，村落也没有被过度的开发，商业味并不浓。
2019-06-20,未知,3,星期天在回江华的路上看到了国家历史名村“福溪村”牌子，我就好奇进去看了一下，感觉没什么商业开发的味道，但是古建筑成群且保护的比较好，青石板和有石笋都保存的很有。 期待福溪村的可贵资源被发现继而在不破坏的前提下进行商业开发，再把秀水村和福溪村用一条旅游专线连起来就完美了。
2022-10-04,广西,5,距离县城还有30多公里，没有直达车，路途相对遥远，不过非常值得一来，民风淳朴，安静自然，属于没有开发过的小众古村镇，人间烟火处处不在
2021-01-30,未知,5,景色不错，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-01-30,未知,5,有趣好玩，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-01-28,未知,5,总体超赞，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2018-10-20,未知,3,福溪村是一个山清水秀的地方，整个村庄只有一条主街道，一条小溪穿过山庄。明清时候的古建筑，依然保存得相对完好。村民们生活也非常的安逸恬静。
2021-01-30,未知,5,总体超赞，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-01-30,未知,5,有趣好玩，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
