date,ip 属地,评分,comments
2019-01-12,未知,4,参观完三江鼓楼，横过大马路可以到达福禄寺。进去会跑一段石级，旁边是公园，空气质量很好。寺庙不算大，大雄宝殿供奉着佛祖，去的时候游客不多，可以慢慢遊览。
2018-08-03,未知,5,来办事情，有时间就在三江随意逛逛，走到福禄寺门口，就想逛逛，位置刚好在鼓楼对面，鸟巢隔壁，比较清幽，下午时间晚了人不多，可休闲
2016-02-19,未知,3,福禄寺位于广西柳州市三江县侗乡大道21号，就在三江鼓楼的对面，个人觉的应该是后修建的，规模不是很大，香客也不是太多，随便走走看看就可以了。
2016-10-19,未知,5,就在鼓楼对面，鸟巢的旁边。寺庙不大，有神则灵。到了三江，应该去拜拜和祈福。
2016-02-07,未知,5,景色很好还可以给家人祈福，适合家人朋友一起去
2018-05-20,未知,5,很不错，蛮好看，值得推荐的去玩玩。
2017-06-22,未知,5,免费，锻炼散步，春天还可以摘蕨菜
2016-02-14,未知,3,还可以吧，就是想抽签没得到抽，没人解签
2018-02-26,未知,4,景色不错，地方很安静。。。赞一个。
2017-10-28,未知,4,没有什么看点，需要进一步开发。
2017-02-15,未知,3,环境挺好的，但是寺庙也没有什么特色
