date,ip 属地,评分,comments
2019-05-02,未知,5,我和春天有个约会——“窑埠古镇”（三十二）， “窑埠古镇”，位于柳州百里柳江东堤南路，蟠龙山下，是一处40万平米的特色仿古风情小镇，游览完柳州工业博物馆，从过街通道走入窑埠古镇，也是柳州古窑埠码头，开发后的古镇，景色优美，很有特色，有地下和地上两个街区，主要是旅游、住宿和美食，被誉为“柳州城市会客厅”，去时，赶上雨天，游人较少，但还是有新人在拍婚纱照……，
2019-03-20,未知,4,并不是原来就有的古镇，只是地产商在这边做了一条仿古的街道，加上一些仿古的建筑，主要就是有很多店铺组成，晚上过来的话，会看到很多不错的灯饰。 占地面积挺大的，也有比较多的潮流元素，不过其实个人对于这种仿古街道，没有什么感觉，只是过来逛了一下就走了。
2021-03-25,未知,5,窑埠古镇是柳州柳江边的一大片仿古建筑，是旧窑埠码头，也是柳州的会客厅。夜晚的景色很有意境，璀璨的灯光、精美的建筑，就是游人稀疏，也许不是周末的原因吧。
2024-12-04,河南,4,可以很负责任的说，这里现在并不能叫一个古镇，而是一个旅拍中心。白天的时候没有太多的游人，到晚上灯光亮起的时候，那简直就是被沦陷了，也不知道大家来这里的目的是什么，其实在家里头就可以拍出这样的照片呀。
2021-10-02,未知,5,还在建设中的一个特色小镇，商用和高档住宅都有，从规划上看，应该是非常完备的，特色街区上店铺不少，而且都是跟本地特产和老字号有关的，等建成了应该十分值得期待。古镇建在江边，可以观赏到壮美的江景，宽广的江面，远处的高楼群，横跨江上的大桥，与古镇相辅相成，相得益彰。
2024-07-14,广东,4,窑埠古镇新实惠的凉拌牛杂、牛杂火锅很还吃😋价钱适中，建议早点去在冷气厅吃，要不大夏天坐外面打火锅真的很难受！如果想拍照的千万不要贪便宜在旁边的小店选衣服，衣服哪里都差不多，重要的是摄影师，难得去一次就从正门进去选大点的店，套餐选贵点的，不要像我贪便宜选择一百多的，拍出来的还不如自己手机拍，浪费了时间浪费了表情🤦‍♀️
2021-02-20,未知,5,不论是柳州人还是外地人都必打卡的圣地：窑埠古镇！不用多说，白天黑夜总相宜，晴天雨雪别有滋味，严寒酷暑各有特色。推荐理由：有好逛的街，全路段步行，而且有各种各样情调的小店。不论是老友相聚，还是小情侣甜蜜蜜，亦或家庭团圆，都是很好的去处，可以满足全年龄段各种不同需求。美食：从早到晚有不同的饮食，有路边小摊，也有宵夜，酒吧甜品，甚至凉茶摊，虽然疫情冲击，但仍有很多选择。
2020-12-12,未知,4,柳州窑埠古镇又扩大，新开了好多的地方，夜色更加漂亮，灯光如此璀璨，走在其中，就是一种美的享受，走的累了，听听旁边的歌手唱的歌，走的渴了，点点边上的饮料，走的饿了，美味烧烤米粉一大堆，这是柳江边上最美的景色之一，需要来再看看
2021-03-26,未知,4,窑埠古镇位于柳州市蹯龙路9号(东堤路南段)，是柳州市精心打造的城市会客室，是在CBD的核心地段，不但周边景色好，而且作为一个特色小镇，也是商业步行区，其看点蛮多的。
2019-07-09,未知,5,这是一个依江而建造的仿古建筑群，其实就是一个给人们饭后散步消遣遛娃的小商业区，多数都是小吃之类，夏天的时候人气还可以的。
2023-09-14,广西,5,柳州的网红打卡地，是在柳江边上一个新建的一个仿古建筑群，有很多美食，也有酒店。晚上人还是很多的。来柳州，推荐来走走看看，品尝一下柳州美食！
2019-06-28,未知,5,这个地方很美的呀！很有古风味，穿汉服去，整条街最靓的仔就是你！还有各种小吃(＊￣︶￣＊)
2019-09-20,未知,4,夜晚才会热闹的一个古镇。在这边早上还是特别的冷清一点。 也是挺漂亮的一个地方来着。 在这边的消费物价也不是特别的高，有很多小摆设。
2022-08-09,四川,4,窑埠古镇-推荐必逛景点，白天有点冷清。周六亦然如此....柳州的城市挺好的，周边一眼能望见的山围着此城，城市许多高楼大厦，中间环绕着柳江。可惜路经此处，不然留多二天可以慢慢再逛逛。再见了....准备出发下一站
2020-08-16,未知,4,夕阳西下，走过窑埠古镇，一片安逸，废弃老爷车制作的小卖部，星星点点的人群，小镇上漫步，感受到夏日太阳落山后的清凉，一切都那么美，值得人们珍视
2020-09-13,未知,4,来窑埠古镇很多次了，今天下到地下城，看到更加多的景色和惊奇，才知道下一层也有不少看点，古镇还在不断完善，相信越来越好越来越靓！
2020-12-28,未知,5,窑埠古镇保存得非常不错，有特色，接地气，逛逛古镇，吃吃当地的美食，感受感受当地的风土人情和民俗风情，挺好的，性价比超高的，趣味性强。
