date,ip 属地,评分,comments
2016-04-01,未知,5,其实一直不喜欢去看溶洞，因为肇庆没有留下好印象，但是，今天下午又没啥事，就去紫云洞逛逛吧。在没有公交车到达的乡下地方，藏着一个如仙境般美丽的紫云洞。很清新的空气，很幽静的环境，真正的鸟语花香。其实溶洞都相似，但他的灯光打的好，介绍的导游妹妹说的也好。
2017-04-26,未知,5,门票四十六一人，空气很清新，里面的景色还可以，如果你没有看过岩洞的话。其实看这种自然景观，需要每个人的想象力。因为我没怎么看过别的地方的岩洞，所以觉得我还不错。其中有一个还是非常有特色的
2019-04-05,未知,5,紫云洞景区 位于广西贺州的一个小村庄——栗木村，感觉很是偏僻，景区没有和其它产品捆绑销售，感觉政府也没有投资一样。村庄的景点离马路边大概有2.5公里左右，不过这几公里也可以开车上去。当时自己订票的时候是40元，不过需提前两小时预定，两小时后出票。最近三月初三有活动，门票就二十来块，性价比很高，比起这个更愿意去桂林的银子岩。属国家3A 级旅游景区，天然的喀斯特地貌。入岩洞时需在洞口等待大约20分钟左右，似乎是为了等人多一些再出发。岩洞里的灯光是人工控制的，需要跟着讲解员走，人走灯灭，需要拍照的得尽快哈！全程讲解步行大概需要一小时多一点，在此期间能看到各种钟乳石，主要的景点有合什迎宾、瑶池天宫、石海天书、石帘飞瀑、雄鹰展翅、南海观音、神龙送客等。讲解员比较耐心，边走边讲解，把各个点都算讲解到位。洞内有拍摄点，为了宣传，拍照有送小照片和钥匙扣，如果需要放大照片带水晶相框，每张需29元。没去过的可以考虑一去，如果去过其它的溶洞，不太建议再去这个。由于是打车上来的，回去时候没有车可叫，呜呜X﹏X 只能和两位小弟弟一起步行走到路边，大概需要35分钟，心塞。建议自驾来~
2022-09-06,山东,5,紫云洞位于贺州市栗木村，这里虽然成型于一亿九千万年前，但由于原来在海平面抬升时，溶洞内的瘀泥在经历了漫长的时间才自然溶蚀形成了溶洞，然后洞中的碳酸钙结晶又经历了漫长的积聚过程，各种钟乳石、石笋、石柱、石幕、滚石坝、穴珠才慢慢地生长和形成。
2018-02-07,未知,5,值得一去，这里的钟乳石形状千变万化，讲解员讲解也唯妙唯肖，小孩也喜欢听，还有免费小照片，制作的相片也精美，要29元工本费。附近有一家十里香的农家乐，天然无污染，老板也热情，喜欢特别的可试试洞里的鱼，鲜美！
2017-05-01,未知,4,远古是海，后来海平面抬升时，溶洞内的瘀泥在经历了漫长的时间才自然溶蚀形成了溶洞，然后洞中的碳酸钙结晶又经历了漫长的积聚过程，形成现在形成千奇百怪的景象，引人入胜。
2017-05-01,未知,3,没有来过的可以来看看，不过实在很偏，回去只能预约滴滴顺风车，否则在村里面没办法叫车，一大早来到，售票员说联网的机子在维修，网上订票的要等一下才可以出票，等了大概20分钟左右才弄好，景点内的设施都比较旧的，紫云洞还是值得去看一看的，景点不是很多，我觉得只值20元左右，大家可以参考一下，景区那边有点凉，小孩老人要多穿件衣服
2017-05-04,未知,3,比较偏，没有人带路根本不知道怎么进去，村里面的景点，开发的不够好，门票不值这个价钱感觉，不过没有看过这种溶洞的可以去看看，景色还是不错的，就是太少，也没有其他的游玩项目
2018-02-17,未知,5,景点在一个村庄进去，门票不算贵，还是值得一看。导游讲解很详尽、很有耐心。景点本来就漂亮，所以照片拍出来效果也很好……
2022-06-05,未知,5,紫云景区位于广西贺州市鹅塘镇栗木村，距市中心4公里，是一个集岩洞观光、儿童娱乐、休闲度假于一体的综合性旅游风景区.紫云洞风景区是八步盆地上一座独立的石灰岩石山溶洞，是株罗纪时期地质裂变时海平面抬升形成的一座长条状石山。该座石山外观高仅一百余米，长约1000米，但经历了几千万年的岩溶浸蚀之后，其地下溶洞全长约6公里，一条地下河在洞中时隐时现， 紫云洞虽然成型于几千万年前，但由于原来在海平面抬升时，溶洞内的瘀泥在经历了漫长的时间才自然溶蚀形成了溶洞。
2018-02-21,未知,5,慕名与家人春节期间前来紫云洞景区，开车开过头了，原来此仙洞竟然在停车场里面。进去并不显眼，附近环境一般般，不知是不知工作人员大都放假了，一地落叶没人扫，植物没打理好，心感沧凉。但是来到景区，洞内确实惊艳，环境干净，而且是我想看的钟乳石壮观，顿感门票还是值了。
2018-02-20,未知,5,紫云洞里面简直是一个色彩缤纷的世界，感叹大自然巧夺天工，鬼斧神工，虽然是春节假期，人也不是太多，正好可以慢慢观赏洞内美景，值得一看。
2017-09-03,未知,4,还好，开发的年头其实不短了，广西北部地区到处都是溶洞，景色都是如此这般，比银子岩差点，不过胜在人少，慢慢看也不怕。还是可以去。
2017-05-12,未知,5,位于姑婆山、玉石林旅游线上，离市区很近。属于石灰岩溶洞景观，石笋林立、石花盛开，瀑布飞流，很不错。洞内旅游开发了一小部分，再往里就不对外开放了，四十分钟就可以逛出来。
2020-12-12,未知,5,贺州紫云洞，离市区不是很远，交通方便，一个解说员带队进洞，游人不多，洞内分区域由解说员控制灯光，创建节约型社会从此刻起，洞内很暖和，棒棒的。
2020-10-16,未知,4,交通： 去那里的交通真心是不方便。从酒店打的过去20块钱。 因为是在一个寨子里面风景区，要不就自己开车去，要不就打的去，要不就跟团去。如果坐公交的话，要走到景区大门口，还要走很远很远很远。 门票： 现场买票是45一张。国庆节期间网上订票40。平日里网上订票也就20多块钱。老人65以上免费。不过到现场无论是大人小孩老人每人还要收10块钱的解说费。 特色体验： 溶洞应该还是蛮大的，不过只开发了全长1000多米。边走边看，走完全程四五十分钟吧。要跟着解说员走，听他说再根据他说的再来看，不然自己看看不出点形象。洞里冬暖夏凉，夏天来玩啊！ 推荐理由： 贺州特色旅游景点之一。外地朋友还是可以来看看的。
2019-07-08,未知,4,景区在一个小山村里，不明显也不是很好找，洞不长，说不上很有特色，本人去过桂林地区的银子岩，七星岩，芦笛岩，罗汉肚岩，说实话要给个排名的话紫云洞我只能排在第五了，不过溶洞都是大同小异，在此只带我我个人的欣赏观点，勿喷
2018-02-20,未知,5,景点不大，就一个岩洞，岩石千奇百怪，挺不错的，导游也很好很耐心讲解，结合当地城市文化讲解，携程上订票有优惠很好。唯一不足的是旅游点很省电，讲解完一个地方很快就关灯了，分段式开灯搞到走后面的老人家有时走得慢就漆黑一片了，这点服务真的不好。
2017-05-26,未知,4,紫云仙境距离市中心4公里，是贺州市旅游圈中的一颗璀璨的明珠。紫云洞是一个美丽的溶洞，洞内有大大小小支洞18条，或宽阔通达，或间隙曲畅。因洞中地下河纵横，冬天或雨过初晴，洞口岚烟缭绕，紫云升腾而得名。
2017-01-28,未知,4,自驾车才方便，一条村道进去，里面不大，50分钟可以走完，导游介绍也不错，旅游团没有。门票也不算贵，携程订票也方便，就是要提前2小时。里面景色也可以，不过就不如桂林银子岩。值得休闲悠游。
2019-05-03,未知,4,洞里的景色确认值得一看，观看过程50分钟左右，全程有导游讲解，只是进洞前需要等一段时间才能一批批进去。不满意的是现场人员帮忙拍的照片，送的照片很小，没有留存的意义，大的需要配套水晶相框29元一张。问题是这些照片都打出来了，也不知道不要的照片是直接丢掉还是怎样处理。如果不买照片的话，最好不要让景区人员帮你牌照。
2018-10-06,未知,4,国庆假期选择人少的喀斯特地貌的熔岩石洞，如果拿它和桂林芦笛岩和地下河比较，那是没法比。但所幸的是它比旁边连州的地下河人要少，景点开发才1年左右，所以游览长度45分钟，比较适合一家大小和带着老人家出行。 至于门票，广西当地居民价格是30，一般人网上买40，60岁以上的和学生都是现场买半价25，没有70岁以上老人家免票。建议携程要更新这个景点优惠门票
2018-02-07,未知,5,紫云洞内名不虚传，形态各异，值得大家到此一游，尤其是导游讲解详细，描述得唯妙唯肖，小孩也爱听导游姐姐的讲解，感谢导游能让孩子爱上认真倾听，也留时间给大家拍照，洞内竟有天然的鱼，这个天气去洞内温暖干燥，行走方便不怕滑。
2018-07-29,未知,5,贺州第一站，入洞之后感觉很凉爽，解说员**姐的讲解非常生动，洞内景象令人感受到大自然的奇妙之处。（进售票处时感觉景区环境有点萧条，但是入洞后真的是令人惊喜）
2018-02-22,未知,4,携程定票取票很方便很快，景点整体不错，洞内天然钟乳石形态万千，景点讲解员讲解很用心很详细，三分形状七分想像挺有意思，不过洞内说免费拍照出来后只给很少相片，大的要29元，比较贵。
2018-02-20,未知,5,仿如置身仙境，洞内温暖，石头给予好多的想象，随着导游姐姐娓娓道来的故事点晴，仿如穿越远古时代。如果多彩的灯光时间能长一点就好了，要拍照的可要抓紧时间，因为是有时间限制的
2018-01-15,未知,4,洞里面景色还不错，就是外面的交通太差了，走路要一个小时，还没有任何交通工具可以乘坐。
2019-04-10,未知,4,景区大门不显眼，直接开过了。就是广西典型的喀斯特地貌了，在门口等了有一会才有导游带进去，没有特别惊艳，但是也不算差的景点。
2023-10-06,广西,4,紫云仙境景区打造的是“元宇宙”概念，就是溶洞 +沉浸式光影艺术效果。除了看钟乳石，还可以感受光影故事，故事共七幕17节，游客化身石一美族人，跟着紫云与贺川开启仙境试练之路，有互动环节，很有趣，适合带孩子体验。
2019-06-21,未知,4,"贺州紫云仙境位于贺州市区西南4公里的紫云洞，于1996年发现和在媒体上披露后，引起了众多投资商的兴趣，其有利条件是距市区近，洞内天然景观多姿多彩，极具旅游开发价值.贺州紫云洞 自然资源 交通指南 贵州紫云洞 旅游信息 民族民俗 杭州紫云洞 山西紫云洞 自然资源 紫云洞 基本信息 紫云洞,是八步盆地上一座独立的石灰岩石山溶洞。"
2018-12-22,未知,4,景点很小，路牌也不明显，导航到了直接错过了又调头回来。停车要收费，收了十元。有朋友有残疾证的，说可以免票，但是要交十五元灯光费。携程买票的没有正规票据，写了个收据让交给山洞门口工作人员。作为广西人来说，因为见太多了，不算太惊艳吧，全程五十分钟左右。去的时候外头很冷，山洞里头很暖和，湿气比较重，真是冬暖夏凉。
2018-01-02,未知,5,有一点点难找的景点，人很少，倒是还是值得一看的，讲解员讲解的挺好，可以慢慢看，会帮你照相，两张小小的是送的，还有钥匙扣，大的水晶相框照片就29一张，事实也不算贵哈，全程一个小时以内可以走完，挺不错的一次游玩。
2017-11-28,未知,4,天公不作美，在冬天下雨又冷又湿，但是进到洞里果然冬暖夏凉，暖到要脱外套了。整个紫云仙境有5点多公里但是目前开发了只有1点多公里。所以就规模来说远远比不上桂林银子岩，但是在里面听着讲解员的详细介绍大概要看40分钟左右，虽然里面看到了有一些人为的怪石，但是老人们玩得开心就好。对了，这个景点在村子深处，打算走路或者骑车进来的游客们要三思。景点停车还要收10块停车费哟。
