date,ip 属地,评分,comments
2019-10-19,未知,5,地方不大，好像就一个坑，我住在山上的悬崖酒店，很不错，车直接能盘上去到酒店，酒店装修装饰也非常好有特色！泳池和天梯都是必须打卡的，岩壁上的栈道也很刺激，不说了，上图
2020-03-12,未知,5,棉花天坑天坑 气势如虹 ，如同一个 大型漏斗 ，十分罕见~景区分天坑奇观观光区、农业观光及仫佬民宿体检区、休闲养生区、古村落保护观光区，眼前深邃幽谷此情此景犹如置身大自然之间令人流连忘返景区大门可徒步到坑底全程0.5公里通过珍木、奇石、古藤的自然结合展现一条始森林形象的“曲径通幽”绿廊途中还有仫佬族建筑风格的桥梁、亭阁
2021-10-06,未知,4,车子可以直接开到景区里面，没有提示，老人小孩在停车场可以乘坐中巴进入景区没有提示，购票也没有提醒。家庭出游，有老人和小孩，不适合走玻璃栈道和爬坡，以上都没有提醒，老人进入景区后看到山太高就直接坐在景区内设的休息区，后来爬到山顶吃东西经过询问店家，才让爸爸妈妈去入口验票处找工作人员交涉，后来才免费搭车进入长生洞景区。但是都要爬坡走路，因为景区路太弯太陡，怕不安全上到长生洞可以免费乘坐一段路，但是排队要半个小时，爬坡上去也要半个小时左右。不适合老人和太小的孩子去玩。
2020-11-03,未知,3,明明市里有政策广东户籍门票有优惠，到那人家说老板没跟她说过，真是小地方不正规 ，很难发展，比起巴马这些成熟的旅游区还是差了一大截，浪费了那里的景色，中间还有一段很长的路必须自己走不适合老人家。
2024-05-08,广西,4,景区集商业和自然为一体，除了有自然天坑景观以外还有挺多体验项目的，但是性价比一般。 住宿也算挺多选择的，晚上还会有一些表演，整体来说活动挺丰富的。 就是去的道路没修好，一路上坑坑洼洼，有点废车。
2020-08-08,未知,3,门票贵了，两个景点。长生洞挺漂亮，但玻璃桥很短30米左右，其他玩的项目全部另收费40元，没见多少人玩。售票处服务不到位，就一个售票员，去的前一天打电话问说15人组团门票是90元/人，组团去时，售票员又说不能自己组团，必须得和旅游社组团，旅行社还得提前一天和景点领导预定门票，呃……挺无语！只能120买票了，就去两个景点，什么项目都没玩！
2019-02-06,未知,4,这个景区里的天坑，这是我玩过最刺激的项目了，一格一格的木板，刚开始真是腿打飘而过啊[大哭]。心里超紧张的了，以上是分享的
2023-05-04,广西,4,如果去玩的都是腿脚不错的有点闲钱的，景区还是不错的。如果是有老年人同行或腿脚不利索的，全程都是各种走路台阶和套路要掏钱，身体累了想掏钱买服务的，这里还没有给老年人和腿脚不利索的花钱的地方！
2020-04-16,未知,5,天然景观，大自然的奥秘，不错的地方。
2021-01-01,未知,5,新开发的景区，总体感觉不错。有点小遗憾的是，刚好降温，山顶泳池不开放，以后有机会一定要游泳。景色不错，洞里面很凉爽，钟乳石很大气。
