date,ip 属地,评分,comments
2019-08-11,未知,4,风景不错，但售票处购票体验够垃圾，售票员业务能力差，态度恶劣到了极致，看起来没什么素质的样子。 隐仙洞很适合夏天去玩，宋城兵工厂之类的还没有完全装修好，玻璃观景台太矮了不够刺激 总体来说，不看售票员一切很美好
2019-12-05,未知,5,在城市呆久了，偶尔亲近原始森林，感受大自然，我个人觉得很不错，其实并不是在乎去哪里，主要的是自己本身的感受，绿水青山。我在这顺便劝一些娇贵的年轻人和恐高的老人就别去了，如果平常缺少锻炼，你就会爬得一点就上气不接下气咯，先别说好不好玩，主要的就是爬山还有一个玻璃桥，我抱着小孩直攻上山顶，然后走下半山玩玻璃桥，这主要是感受乐趣！
2018-12-16,未知,4,唯一吐槽的就是高票价，假如40元左右就算是性价比高啦，隐仙洞十分有意思，之后爬山遇到的修成正果桥也是考验胆量的吊桥，可惜宋城和兵工厂没有翻修好，山顶的老子像观景台也没有弄好，还是就是真仙洞的好景色
2022-08-18,广西,5,从梦呜苗寨景区赶过来，发现这里景色优美，有个隐仙洞里面很凉快，像是在冰箱里，每个地方都适合拍照，上山累，下山也累，下山的时候腿都打抖，天气太热了，全身是汗，像是做了桑拿，不过景色还是很美的，值得一游，游览的同时还能了解一些历史知识，疫情反反复复不敢出柳，周边游到融水也是不错的选择。
2021-05-02,未知,5,景区景色优美、历史悠久、洞内景观美不胜收 主要游揽历史文物、摩崖石刻、真仙洞、 隐仙洞、高空吊桥、悬崖秋千、 玻璃平台、悬崖栈道、玻璃滑道、 宋城、丛林穿越、灵溪码头等
2019-07-11,未知,4,原来我们大广西也有如此自然美的景区！很值得去哦 【景色】 【趣味】 【性价比】
2022-08-07,广西,4,景色不错，路线规划做的很好，进去沿着导览图的线路看就行了。2个岩洞很有特色，隐仙洞参观路线比较长，有很多别具一格的溶岩景观；真仙岩很短，但是出口开阔的水月洞天非常壮观，有很多不同年代的摩崖石刻，是融水八景之首。另外正果桥和山顶玻璃平台也颇具趣味性；悬崖栈道也是惊悚连连；不推荐自费玩玻璃滑道和悬崖秋千，玻璃滑道很短，悬崖秋千也是小型的，性价比不高。景区总体的性价比其实也不算高，景点数量较少。
2018-08-04,未知,5,这里超级天然美景值得一游哦！今天才知道原来美景远在天边 近在眼前！哈哈好评好评！特别适合夏天旅游！大自然鬼斧神工赞啦！
2018-02-16,未知,4,洞里不错的，可以去看一看。拍了些照片。两点半去的，差不多4点就走完了。主要还是去洞里了。
2021-08-06,未知,5,老君洞的名称，让人想起多少点与太上老君扯上关系的味道，所不同的是这里洞中钟乳石千姿百态，造型真是巧夺天工，有很多游客前来观光。
2021-01-29,未知,5,总体超赞，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2019-07-11,未知,5,很美 昨天刚和几个小伙伴一起去吧，洞内很凉爽，导游也很仔细的介绍景区内的景观，确实很很是奇特，非常完美的一次旅行，下次再去
2021-01-24,未知,5,景色不错，性价比高，有趣好玩，总体超赞，溶洞很壮观，山顶玻璃平台很有特色，稍作努力，其实创5A是很有希望的。
