date,ip 属地,评分,comments
2019-06-10,未知,5,阳朔第一日落观景平台 来阳朔前，别人说一定要去老寨山看日落，因为那里是No.1的日落观景平台，登上去以后发现，果然名不虚传。 1.老寨山世传说中的阳朔日落第一观景平台，风景非常美。 2.入口在渡轮码头附近，兴坪古镇牌坊右手边，很容易找到，在兴坪古镇牌坊那里问买水果和饮料的阿姨就行了。 3.登老寨山每个人用的时间不一样，快的话30分钟，慢的话一个小时。我们去的时候，由于快日落了，所以我们走的很快，只用了20分钟就到顶了。 4.老寨山是看日落的地方，阳朔还有另外一个地方叫相公山是看日出的。 5.老寨山离兴坪古镇很近，可以说紧挨着古镇。离20人民币背景图也不远，只差几百米，过一条桥走不远就是了。 6.登老寨山是免费的。 手机拍摄 PHOTO BY HUAWEI MATE 20 X
2017-09-15,未知,5,看了很多老寨山的照片，所以在问路的时候，哪怕很多当地人都说很难爬，很危险，还是决定爬山去，对于普通人来说，老寨山的路还是比较难走的，特别是看日出日落，没有光的时候，我是下午四点去的，想看日落的，爬的就想要是下山黑漆麻乌的怎么下来啊，最后登顶的时候，天气不是很好，所以待了一会就下山了，山顶的凉亭不是风景最好的，最好的哪个位置是真的没路的，
2017-02-25,未知,5,在阳朔兴坪流传着一位日本老人与山的感人故事：日本人林克之是老寨山旅馆的主人，老寨山山道的1066级台阶是他出资建的，年近70的林生，除了修路还义务维护着老寨山。沿着他修建的石道，徒步半小时爬上天梯，看到了漓江大拐弯和众多美丽山峰，还有老寨山的日落，夜宿位于兴坪码头这位老人兴建的客栈。
2024-10-25,河南,5,最早发现老寨山的应该是一群老外，因为在阳朔有非常多的老外来。这里旅游上山的路线其实并不是非常的好，会有很多很陡峭的地方，并且还是人工干预的铁梯子，但是当你登到山上看到整个喀斯特地貌就在脚下的时候，那种感觉真的是棒极了。
2022-05-13,未知,5,老寨山尽管路途陡峭，依然吸引了不少摄影发烧友奋起攀登。老寨山海拔300余米，虽不高，却有一千一百多个阶梯。见到圆拱山门走上圆拱山门过后，接近顶处会见两架铁梯，顺着铁梯往上就能到达山顶。千万别走错路。在山顶远眺，漓江在山脚下拐了个弯，一艘艘游船穿梭而过，远处山峦叠嶂，分外妖娆。 尤其傍晚时分，对岸那几经沧桑形成的“大河背”数千亩冲积小平原，连绵山峦在夕照中一片微红，微红中透出点点绿意，这便是著名画家徐悲鸿盛赞的“兴坪夕照”。 地址：桂林市阳朔县兴坪古镇老街头漓江榕树潭边 开放时间：全天开放 门票：免费开放。
2016-11-06,未知,5,晨曦初露，徒步半小时登上老寨山顶，此为观兴平山水最佳处，漓江大拐弯和众多美丽山峰尽收眼底，清晨傍晚吸引无数远道而来的摄影爱好者捕捉桂林山水最美的画面。到达山顶时，红日初露，云层有点厚，霞光不算美，但整体画面感觉很美，美丽的漓江山水尽收眼底。
2024-08-06,贵州,5,真的太好玩了，又解压又锻炼身体，真是不错的体验📍第一次来，幸好有工作人员的耐心讲解，收获非常美好的回忆我的天哪，感谢遇到这么好的平台，为什么没有早点发现，以后继续冲冲冲！
2017-12-02,未知,5,相信很多人都是因为一张老寨山俯瞰漓江的照片而专门在兴坪停留、攀登老寨山的，没错，老寨山顶往下看，景色真的真的非常棒！特别是老寨山的日落。老寨山登山道入口是在码头位置兴坪古镇大门边上不起眼的位置，登山用时大约30分钟，但有几段真的很陡。到了山顶有一座友好亭，到亭子后，还可以再继续上一点，那才是最顶峰，没有防护，还是有些危险性的，要注意安全。建议看完日落趁天黑前早点下山，山路陡峭，注意安全！
2017-05-25,未知,5,不用门票，但一路上去都有兴坪政府设置的止路牌，大致是说岩石松动栏杆老旧什么的，但爬的话感觉危险系数也不大，就是攀爬难度比较高，上山累下山滑，快到山顶有几处很陡，最就难度的一处九十度的有铁梯和扶手倒也不会很难爬，但其中有一级铁梯有点松动。最好不要穿裙子拖鞋去，上到友好亭还要再爬上一座小峰才能看到漓江才是最漂亮的视野，但是没楼梯可爬的但也不危险。最好不要太晚去山下的xx还是挺恐怖的，怎么恐怖形容不出，只有亲身体验的才会心里发凉。
2017-09-21,未知,5,大寨景色很美很好。特别一号三号观景台观景不错。两处住的旅馆也很好。当地人很友善很热情。特别赞一下大寨去阳朔车（桂C29899）的司机很好。指路引路周到。非常感谢他。
2018-08-22,未知,5,和相公山比确实比较陡，前半程还好，后半程比较难爬，小朋友和老人建议还是不要上去，有一定危险性。两座山景色都不错，但老寨山不要门票，离车站和古镇都很近，交通方便，性价比高。最后一张是在漓江边拍的山，还是挺高的，爬上去有点累
