date,ip 属地,评分,comments
2024-10-13,广东,5,就在窑埠古镇的旁边，景色非常不错，背靠着多姿多彩的蟠龙山，看着美丽的柳江，感觉非常好。
2021-10-22,未知,5,成都周边1.5H的暮光森林🌲 梦幻小众秘境 运气爆棚，本周我们自驾去了成都周边人少景美的“暮光森林”，撞见了一场雨过天晴的奇幻美景！ 神奇的丁达尔光、童话森林步道、一不小心就进入了“侏罗纪公园”丛林中，开启探险之旅！ 成都周边自驾1.5小时，适合拍照、徒步、露营和野餐的小众秘境；国庆不去人挤人，就来这里独享秘境吧！吐血整理记得收藏哟！ . 🌳划重点 ☑ 森林徒步，天然氧吧，拍摄唯美的森系大片。 ☑ 河谷徒步、露营好去处。 . 🌳坐标1：中坝森林 💰门票：免费 📍导航：“中坝保护站”，到达保护站不要停，继续往山上开五分钟，在（道路右手侧）立有广告牌的坝子停好车，一拍平房前的小道进入，穿过一个铁门就是林区。 ⚠️最后5公里山路狭窄，错车困难，弯道提前鸣笛，行车注意安全。 . 🌳栈道很短，往返只需20分钟，但林间土路可以随意的穿行。这里的自然环境无比优越，仰头是成片参天的木杉，低头是各种苔藓和蕨类植物，以及清凉的溪流，组成了一片独一无二的林区，非常适合来拍照和徒步。 . 📷拍照攻略 1️⃣想要拍出“暮光森林”的既视感，光线非常重要，我们拍摄的时间是下午的4点，斜射的阳光在林间，层次感十足，无论顺光还是逆光，都很能出片。 2️⃣因为水汽浓厚，出现了神奇的丁达尔现象，无敌梦幻！注意一定不能过曝，保证亮部细节，暗部可以在后期提亮阴影，来增加层次。 3️⃣这里可以航拍，建议在森林门口或者栈道尽头大平台起飞，林间信号不稳定，谨慎飞行。 . 🌳坐标2：蟠龙谷景区 💰门票：20元（一个车） 📍导航：“蟠龙谷景区”，一直开到立牌拦路处，停好车后，顺着溪流继续步行上山，1小时可抵达两座瀑布。 ⚠️注意：全程碎石子路面，要穿防滑的鞋子。 . OOTD： 衣服：AlphaGym 鞋子：PALLADIUM 帕拉丁 摄影包：Billingham Bags 白金汉 行李箱：TUPLUS途加即刻S系列 . 📌小贴士 1️⃣中坝森林没有小卖部，建议自备干粮和水，林区内不能露营，磐龙谷景区门口可露营。 2️⃣雨后山路非常滑，爬山需注意安全。 3️⃣1月到5月，森林防火会封山，请谨慎前往。
2021-10-02,未知,5,蟠龙山公园就在窑埠古镇旁边，最大的特色是山顶的两座塔，以及壮观宏伟的人工瀑布群。两座塔与旁边的古镇景观遥相呼应，相得益彰；瀑布群气势磅礴，已成为柳江夜景最为靓丽的景观。另外江边的花花树树也太漂亮了，随处一撇就是美景，柳州真的太美了。
2019-02-22,未知,5,蟠龙山介于窑埠古镇与柳州文庙之间，三个景点可以依次游览。登上蟠龙山，即可以俯瞰柳江、窑埠古镇，也可隔江相望柳州城区。山下有大型人造瀑布，晚上从游船上观赏蟠龙山夜景，变幻的景色美轮美奂。
2023-04-22,河南,5,柳州现在俨然已经成为了一个冉冉上升的网红城市，在柳州当中有一个山大家很熟悉，就是马鞍山其实在马鞍山的隔壁还有一座山，值得过来爬一爬那便是蟠龙山。 如果大家是在春天来到柳州的话，你一定会到过蟠龙山公园门口，因为蟠龙山公园门口的水南路是柳州春天紫荆花的打卡地，虽然盘龙山公园里面也有紫荆花盛开，但是我今天要给大家推荐的是蟠龙山上的另外一个特色的花三角梅。 最简单的观赏三角梅的地方就是公园里的瀑布景区，在瀑布周边盛开的三角梅格外的艳丽，但是这里的游人会非常多。 当你登上蟠龙山的时候，你会发现在登山步道上面有一片小小的盛开的三角梅，不过这不是最惊艳的，最惊艳的是当我们登上蟠龙山文光塔的时候，下面有一个寺庙，这里的三角梅盛开的格外艳丽，而且还可以拍到下面的古镇以及柳江的盛景。 在这里要温馨提醒一下各位蟠龙山上有两座塔，一个是我刚才提到的观景角度和三角梅都非常漂亮的文光塔，另外一座塔则是蟠龙塔，两座塔都可以进入并且观光，但是蟠龙塔远观的视线远远不及文光塔
2019-03-20,未知,4,蟠龙山是一个市政公园，进出都是免费的，我是从火车站附近步行过来了，也不是特别的远，大约走一个小时左右就到了，整座山都不是特别的大，在江边，还弄了一个瀑布，不过要从对面看过来才会比较壮观，这座山是可以爬上去的，因为时间关系就没有上去了，下雨后的蟠龙山空气真的很好，一到周五都没有什么人，一般都是周末，人才会比较多。
2018-01-11,未知,4,在文惠桥上往西望就能看到有两座山峰上各有一座塔，整片山并不高，却形如蟠龙。晚上的人造瀑布就在这山上，但白天显得很普通，夕阳下远观的风景比走近了好。沿江的山腰有一座登高亭，看看柳江风光很不错。往北的山脚下就是窑埠古镇，从那个角度拍也挺好看的
2021-03-12,未知,5,柳江在柳州市中的U子型湾形成柳州的江城美景。夜游柳江蟠龙山夜景，灯光幽静，与柳江两岸灯光交相辉映，显得蟠龙山更加神秘。
2020-03-21,未知,5,世界最大的人工瀑布群——蟠龙山人工瀑布群。 该瀑布群已经入选上海吉尼斯世界纪录。蟠龙山上的“文光塔”，“蟠龙塔”，蟠龙山人工瀑布群，柳江水上音乐喷泉，柳江明珠水上大舞台一起，与文慧桥辉映，形成最唯美的柳州夜景。
2020-02-14,未知,5,￼ 世界最大的人工瀑布群——蟠龙山人工瀑布群。 该瀑布群已经入选上海吉尼斯世界纪录。蟠龙山上的“文光塔”，“蟠龙塔”，蟠龙山人工瀑布群，柳江水上音乐喷泉，柳江明珠水上大舞台一起，与文慧桥辉映，形成最唯美的柳州夜景。
