date,ip 属地,评分,comments
2017-06-21,未知,5,柳州西来寺，屹立于柳江水道傍，是国内外少见的楼体式建塔，寺体层层上叠，直向高空拓展，其香盘斗鼎设在寺门前马路另一则，临江而设，很有与众不同的感觉！很值得游人或香客敬仰！
2024-11-22,广西,5,看看古寺，风景也很好。来了相信你们一定会喜欢
2020-08-11,未知,4,西来古寺是柳州最古老的一座寺庙。因为其久远，目前始建年代都不可知，最早的记载始于明代。现为柳州市文物保护单位。新建的西来寺规模宏大，垂直结构，非常特别。
2018-01-24,未知,5,今天臘八節，但是我去晚了沒分到臘八粥。河邊有人在放生。寺廟整體裝修完畢了。新建的大殿有電梯很意外，當需要使用的時候居然要刷卡。
2024-11-25,广西,5,景色非常好，适合带家人朋友过来拍照，适合民族风
2020-06-27,未知,4,西来寺面临柳江，为柳州市尚存古寺之一，寺名取达摩祖师自天竺西来或佛经来自西天之意。每逢初一、十五都会有很多信徒到寺内烧香， 西来寺还有一口很大的佛钟。
2016-02-10,未知,5,有优秀的传统文化 凝聚许多人虔诚的祈祷
2020-01-28,未知,5,西来寺是一座佛教寺庙。西来的意思是说佛祖自西天而来。这里位于广西自治区柳州市，是柳州地区佛教信徒和居士，还有老百姓常常礼佛的地方。香火非常的旺盛，不过在外地可能名气不是特别大。这座寺庙也是在历史的长河中重复建设了很多次，直到1980年才建成现在的样子。
2022-06-11,未知,3,西来寺面临柳江，是柳州市尚存古寺之一，寺名取达摩祖师自天竺西来或佛经来自西天之意。每逢初一、十五都会有很多信徒到寺内烧香， 西来寺还有一口很大的佛钟。
2016-10-01,未知,5,在重修，据说当地人逢年过节都会来上香。对面是河，鼎下面的浮雕栩栩如生。时间充裕的话，沿河边走走很惬意。据说柳江的桥很多座，每座都不同哦
2017-01-28,未知,4,过年了，来西来寺烧香礼佛的人真不少，祈求希望在新的一年里，身体健康，心想事成，万事如意，吉祥，景色不错，人的心情也非常不错哦！
2017-11-12,未知,5,一座历史久远的古寺庙，全年香火都很旺，特别是初一十五更是如此，许多善男信女来到这里烧香供奉观音，祈福保佑家人、友人健康平安！家旺财旺！
2016-01-22,未知,5,据说这里烧香拜佛很灵验的去的时候要心诚。
2018-01-15,未知,5,好几百年的古刹~历史韵味厚重！值得一观，还可以烧炷香，寄托一下^_^
2016-08-23,未知,5,值得去！我在佛祖前求了一颗玉佛，永保平安！感恩！
2016-02-15,未知,4,免费的。柳州市区的所有公园门票免费。出租车方便。不吭人。
2016-01-02,未知,5,很''值得一去，景色很美，带着很真诚的心意去的
2017-07-23,未知,5,座落在美丽的柳江河畔，让心灵沉静，不错。
2017-02-23,未知,5,位于柳江边，风景秀丽迷人，值得一游
2021-06-25,未知,5,不错不错不错不错不错不错不错不错
2021-07-06,未知,5,柳州江边的一个寺庙，初一，十五上香，放生，热闹
2015-11-08,未知,5,柳州有名古寺之一，香火旺盛，前面就是柳江河
2019-04-13,未知,5,这里适合烧香拜佛，心里虔诚的人过去参观！
2021-12-03,未知,5,祈求平安，顺利发达，开森快乐，健健康康
2018-02-11,未知,5,带着虔诚的心来，祈求风调雨顺，国泰民安
2017-02-23,未知,5,每逢初一十五，这里香客不断，很是热闹！
2016-03-08,未知,5,历史悠久，寺庙修建得很漂亮，香火不断！
2017-05-25,未知,5,地处柳江河畔 风景优美 很多人在这里放生
2017-05-21,未知,5,香火鼎盛，有个超级大鼎，发香的人很多
2020-05-19,未知,5,柳州挺老的一家寺庙，在柳江河边。
2017-01-08,未知,5,UIi结婚一般吧来看看海事局三个
2016-09-06,未知,5,临江古寺，佛教文化，源远流长。
2016-07-24,未知,4,现在重修建了，信佛的来到柳州玩，可以去参拜下
2021-02-07,未知,4,佛教胜地，茶香飘飘，神奇风景 ，空气清新自然，负氧离子浓度最高
2016-07-31,未知,4,行大运，就到这来，既能观景，又保心安
2016-11-17,未知,4,经常路过没去过过里面想进去看看。
2015-11-21,未知,4,位于河堤边上，可以看柳江周边的景色！初一十五也蛮热闹
2020-08-25,未知,3,柳州有名的古寺，逢初一十五上香还愿放生的人都特别多，参加过两次放生，信徒们都非常虔诚。
2016-08-01,未知,4,值得一去。路途不是很远就在江滨路很方便。
2016-07-10,未知,4,挺灵的哦，但是一定要带着虔诚的心去。
2016-02-04,未知,4,感觉还不错，不过没有柳州文庙好玩
2020-08-13,未知,4,柳州比较有名寺庙 值得参观游览
2015-11-21,未知,3,还是算可以的，就是空间太小，环境一般..
2017-09-01,未知,3,算是老地方吧，当地人也会过去的
2017-08-06,未知,3,一般的老寺庙，没有什么特色！！
2017-11-12,未知,5,jsbxjdksndnnshsb
2017-03-25,未知,2,寺庙，人挺多，人挺多，不是很喜欢
2016-06-16,未知,1,重新修整后的西来寺是漂亮了许多 对这个地方没有太大感觉
