date,ip 属地,评分,comments
2020-01-02,未知,5,象州古象温泉我们去过，感觉很好，那里有邻江别墅，两三家人都可以住得下，别墅里有温泉池，可以烧烤，自己煮饭炒菜都可以，还有大池区，可以直接走路区去，很棒。我们是三月三时候去的，这是属于广西特有的一个节日，好玩，很难忘，路途不远，可以经常去。
2019-12-07,未知,5,这地方是开业时间比较长的一处温泉地。记得年幼时父亲带我来过，时隔二十几年再次来这体验温泉时，确实给我找回了儿时的开心回忆，设施虽陈旧一些，但温泉水质还是很好的，露天大池的宽旷，比起新开的温泉度假地的小池子还是另有一番感受的
2019-04-21,未知,4,温泉环境还可以，里面的餐馆正餐还可以，早餐是自助餐也可以，温泉三月份去的人不多还有儿童区的温泉，反正玩一天住一晚也够了，单单是泡温泉里面也没什么可玩的了，记得啊去象州就去古象温泉住别墅要提前定，别的温泉大酒店的温泉还有别的小客栈的温泉不推荐。
2017-10-11,未知,5,环境非常好，树好多，在外面几乎看不到。服务也很好，每遇见一个服务员都会主动和我们打招呼，都好有礼貌。房间的网络有问题，没到两分钟就来了3位工程人员处理。温泉环境也很好，就是有些池子太热了，有些顶不住。还有早餐环境非常好，品种很丰富，满足各种选择。还有花园大池子里的鱼好大……看得口水都流了，哈哈 总之，非常非常的满意。有空一定要再去住几天
2017-02-12,未知,4,度假村环境清幽，适合一家老小闲暇时来度假。但是42度得水对我来说太烫了[（我觉得至少45读）娃被烫得哇哇叫就不敢下水了，还嗑了个大跟头。泡的人不洗澡不洗脚直接下池，觉得挺恶心。服务态度可以，看到孩子受伤了主动询问还给擦药。
2018-02-08,未知,5,温泉很舒服，早上温泉水质最好。有很多小温泉池子可以选择，度假村环境很不错。这时候来人也不多。能便宜点更好了。很满意好评。
2017-12-23,未知,5,环境平静，大大小小的温泉池，还有姜池，玫瑰花池，艾叶池，温泉水很热，还有SPA 按摩，汗蒸，很过瘾，下次要把父母一起带上。携程网购票更便宜方便，美团还要提前四个小时预定，携程真的很好
2018-02-12,未知,4,值得一去，环境好，温度合适，适合度假旅行。服务态度也很好，每个岗位都很到位，让我一个第一次泡温泉的人不会找不到北。很开心的一次享受。
2017-12-23,未知,5,环境平静，大大小小的温泉池，还有姜池，玫瑰花池，艾叶池，温泉水很热，还有SPA 按摩，汗蒸，很过瘾，下次要把父母一起带上
2016-10-19,未知,5,很惬意，价格合适，带孩子来玩他也很喜欢。冬天又要到了又可以去温泉了。酒店里有免费的饼干充饥，但是玩记得多带点浴巾。酒店浴巾总是不够的
2019-11-27,未知,5,象州温泉，在古籍中就有记载，诗人为其题词留赋曰：“烟暖霞蒸景未磨，仙源仿佛落银河，”其意境之美，自然无需多言。度假村温泉洗浴区内有自然温泉、加料温泉、理疗温泉、石板温泉，淋浴温泉等多种温泉泡池，可同时容纳1500多人泡浴，视线开阔，风景独特。
2016-08-23,未知,5,梦幻般的感觉，水美，人美，山给人的感觉不可思意，带着特强的好奇心，值得大家去放松下心情，希望能给你留下初恋般的感觉
2015-12-16,未知,5,环境优美，价格适中，设备一流，值得情侣一去
2018-03-02,未知,1,对这个酒店印象真是超级差！花洒是坏的，刚泡个温泉回来想冲个热水澡，发现水温居然是冷的，等了半个小时水温才渐升，还是温的，强忍洗了个头，完事了吹风机插头还是坏的！酒店房间环境就不多评价，看图。这样的酒店我不知道哪里来的勇气收800多房钱！！！
2016-02-11,未知,4,环境不错，风景优美，温泉池多，就是过节人太多。
2019-12-06,未知,5,景象特别美啊，在我看来是很舒服的一次体验。每次去玩的时候都是跟自己最亲爱的人去，一家人乐融融的非常开心，温泉也是很舒服 .，不同的药水浴 泡完起来整个人都放松了，推荐
2017-07-21,未知,5,古象温泉位于象州县城郊花池村，距来宾市区约100公里。度假村内的温泉洗浴区有不同水温，大、中、小池共计21个，包括自然温泉、加料温泉、理疗温泉、石板温泉、淋浴温泉、戏水池等等；
2018-02-08,未知,5,年前来人不多，早上的温泉水质最好。度假村环境很好，房间也干净整洁，很满意。
2017-10-06,未知,5,房间整齐干净，环境很不错，温泉开了很多个池，玩得很过瘾，一家人出游的圣地，休闲舒服健康
2017-12-23,未知,4,里面很小。人也很多。，亲亲鱼那个池子还要另收费30元。还有几个药池值得泡，其他普通的池跟凤凰河差不多。里面有提供饮水。没有玩的项目。
2015-11-05,未知,5,环境不错，设施齐全，泡小鱼池要另外收费，其他都不错，小贵
2018-09-01,未知,5,安静，干净。住宿的话……直接到酒店是最便宜的，酒店不和外边合作的，所以携程订反而贵。
2018-02-12,未知,5,这次去泡温泉没有白去 本来感冒了的，去那泡了生姜澡，没多久就发热 冒了一身汗，第二天感冒好了，不但环境好 服务态度都非常的好。
2016-09-21,未知,5,不错的地方，温泉价格不贵，泡泡挺好的。
2018-01-23,未知,5,过来的时候天气有点热，不是很适合泡温泉，场子总体印象不错。过来的时候天气有点热，不是很适合泡温泉，场子总体印象不错。
2018-01-17,未知,5,服务好，有礼貌，温泉水，因为我家在隔壁。
