date,ip 属地,评分,comments
2017-05-16,未知,5,大家都知道桂林山水甲天下、阳朔风景美如画。 却不知道一个很小众很偏僻的资源县。 桂林市资源县，真的非常小，每一个景点都在县下面的乡镇里。还算比较落后，硬件设施不太完善。 公路也算比较曲折。但是风景美爆了。 从桂林出发也能遇到很多歪果仁骑自行车前行。 桂林到资源坐大巴，差不多两个-两个半小时左右。 建议在县城入住。一天只玩一个景点。 天门山，我们是坐缆车上山。走路下山 有个一线天，真的就只有一线！！
2016-05-23,未知,5,资源天门山景区就太孤立，开车太久时间，不过还是值得去的，风景环境很好，休闲好去处，山上风景奇特丹霞地貌有山有水游玩方式可选择徙步登山也可选择坐览车，爬山比较累。里面的每个景点都需要走很远，不过最后的山顶还是不错的。
2017-03-24,未知,5,是中国丹霞地貌地址遗址公园，以鬼斧神工的山形奇观、茂盛的原始森林、奇绝的一线天景致著称，还有为结合山水奇观量身打造的45°极限观光索道，让心跳与视野共同起舞，体验非一般的观景乐趣(若乘索道上下天门山，需另行付费120元/人)。参观与美国科罗拉多U型观景平台同属世界之奇迹的绝壁观景平台，腾云踏景之上让鬼斧神工的丹霞奇观尽收眼底。
2018-11-16,未知,5,资源天门山位于广西桂林市资源县，是典型的丹霞地貌，由百卉谷、一线天、神仙寨、桃花岛组成。景区突出自然与人文景观，有38岩、19涧、2潭、6泉、8石等，1098级石梯可登峰顶，石柱90度耸立，烟雾撩绕，一条玻璃桥围绕山腰，亮瞎眼球。
2017-09-19,未知,5,美丽的山水峡谷，悬崖峭壁，就像走进了金庸的武侠小说里，可以选择索道上山，爬天脊，走玻璃栈道，下山选择步行可以看到很多美景，最好自驾游，时间充足，自由自在，总之就是这里值得一游！
2016-08-31,未知,4,景色还不错，从山脚爬到山顶大概需要一个多小时，山顶有一个观景玻璃平台，从这个平台上看山脚确实有种雄伟的感觉，乘船游资江就比较差强人意，来回二十分钟，景色也就一般般
2017-04-03,未知,5,天门山，去过绝对不后悔！高山石壁，奇峰异石，竹秀木盛，水清草绿，高空缆车，让你心跳，玻璃观景平台让你有惊无险。群山环绕，心旷神怡！
2017-02-03,未知,4,景区设置一般，风景还可以，资江两岸有很多塑料袋。因下雨看不清楚，天气冷没有乘船游江，可能遊江效果会好一点。还有就是我们到景区销票处竞然沒有我们提前一天就订好的单号等了10多分钟。
2021-01-06,未知,3,景區景點都不錯，就是管理不好，維護不力，感覺不到景区的美，人少倒是很清优閒逸。。來此住宿不便，餐飲更是不便，來些一次就可以了。。
2017-01-29,未知,5,天门山景区票价好便宜，风景如画，性价比高，我们定的是来回索道68一张，现场单程就58，其实走下来没什么景点，索道上下省力多了，神仙寨景点是索道下来另一座山，带小孩体力不够，放弃了。山顶上主要景点天脊，东一线天就在去天脊路上旁边。
