date,ip 属地,评分,comments
2016-12-24,未知,5,我们之所以会心累，是因为常常徘徊在坚持和放弃之间，举棋不定。我们之所以会困惑，是因为喜欢消极的看待事物，不能自拔。我们之所以不快乐，不是拥有的太少，而是奢望的太多。我们之所以会痛苦，是因为记性太好，该记与不该记的都留在记忆里。
2018-02-16,未知,5,皇都侗文化村是集文化、旅游、休闲、养身为一体的度假胜地，已经成为广东、广西、湖南、贵州等周边各大中小型城市的后花园。2017年皇都景区游客人数稳步上升，刷新了日接待游客三千人次的记录。在新的一年里，希望公司全体员工再接再厉，为皇都景区更辉煌的明天共同努力！让我们一起用信心和勇气，昂首阔步，去迎接公司更加灿烂辉煌的明天。
2017-04-25,未知,5,皇都侗民族文化村保留了侗族传统文化，有民族特色建筑，民族特色服装，民族特色歌舞，民族特色美食，民族特色酒文化。酒量好的会有更好的旅游体验。
2017-01-01,未知,4,开发的比较成熟了。我们淡季去的，游客少。空气好。建议在寨里睡一晚。月也是皇都里条件最好的客栈。晚上的篝火晚上好看，尤其是侗族吉他表演。
2017-12-05,未知,5,去过五六次了，开始是因为工作原因，只是走马观花一趟，最后一次去是冲着合拢宴去的，没有失望，大家一起围着吃饭很好玩，还有侗族的小伙子和美女很热情，一碗高山流水全都喝下去了~~不错。
2016-10-22,未知,5,这里是游玩的好地方，民风纯朴，自然合协，游人没有被包围在叫买声中，可以随处走走看看，了解侗民族的风土人情！
2019-01-01,未知,3,"-这是一个开发比较早的侗寨, 门票是100元, 地方也不大, 30分钟左右就能逛完, 住宿饮食等配套设施比较完善, 但并不建议长途跋涉的来这里游玩, 因为感觉这里更像一个有点特色的""农家乐"", 已经是一个很现代化的地方了, 更适合周边城市的人来周末休闲一下。"
2016-02-13,未知,5,很漂亮。值得一去。夜景非常漂亮。
2018-02-16,未知,5,非常棒的旅游景点，推荐大家可以去逛逛 旅行这里是歌的海洋舞的世界
2018-01-03,未知,4,通道皇都民政文化村合拢宴非常的有特色，很热闹，很有地方特色，值得感受感受，唱歌，喝酒，趣味性十足，侗族文化历史悠久，不错哦。
2021-06-17,未知,5,通道皇都侗民族文化村位于湖南省怀化市通道县，建筑风格独特魅力，趣味性强，景色宜人，性价比超高的，感受感受当地的风土人情和民风民俗。
2016-02-11,未知,4,有很下饭的多辣椒，不过确实很辣。住宿是农住旅馆。村民很好客！运气好会碰上当地的节日，可以和整个村村民一起聚集吃饭和节目，不过外地游客语言沟通有点困难。
2020-07-12,未知,5,通道皇都侗民族文化村景色不错，建筑风格独特，有民族特色的村，感受合拢宴喝酒带来的快乐，趣味性强，性价比超高的，不错的选择。
2020-02-04,未知,5,通道皇都侗民族文化村夜景很美很漂亮，有特色的地方，非常时期，管理规范、到位，防护措施落实到位，性价比超高的，不错的选择。
2021-07-02,未知,5,通道皇都侗民族文化村国家AAA级旅游景区，皇都侗寨位于湖南怀化通道县，景色宜人，风景优美，纯天然自然风景，令人心旷神怡，感受感受侗族风土人情和民风民俗。
2017-10-04,未知,3,很美的地方，人不多，国庆期间来物价也没有涨的很离谱！正好住在一家新开的客栈叫印象皇都，是一家临水的客栈，照片就拍摄于此。
2020-08-01,未知,5,位于湖南省怀化市通道县，由头寨、尾寨、新寨、盘寨等四村组成，不光是历史悠久，同时也非常有民俗特色，不一样的感觉啦。
2016-09-23,未知,5,我的家乡！侗族的天上人间！景色秀丽
2017-01-10,未知,5,通道解放后，成为军队的基地，一直封闭在大山里面，所以才让这里披上了神秘面纱和保留着原生态的侗族文化。通道古雅淳朴的民情风俗，还有连绵不绝的丹霞万佛山，甚是壮观！
2018-08-18,未知,4,环境不错，有山有水！小桥流水人家！
2021-06-17,未知,5,通道皇都侗民族文化村位于湖南省怀化市通道县，建筑风格独特魅力，趣味性强，景色宜人，性价比超高的，感受感受当地的风土人情和民风民俗。
2016-02-11,未知,4,有很下饭的多辣椒，不过确实很辣。住宿是农住旅馆。村民很好客！运气好会碰上当地的节日，可以和整个村村民一起聚集吃饭和节目，不过外地游客语言沟通有点困难。
2020-07-12,未知,5,通道皇都侗民族文化村景色不错，建筑风格独特，有民族特色的村，感受合拢宴喝酒带来的快乐，趣味性强，性价比超高的，不错的选择。
2020-02-04,未知,5,通道皇都侗民族文化村夜景很美很漂亮，有特色的地方，非常时期，管理规范、到位，防护措施落实到位，性价比超高的，不错的选择。
2021-07-02,未知,5,通道皇都侗民族文化村国家AAA级旅游景区，皇都侗寨位于湖南怀化通道县，景色宜人，风景优美，纯天然自然风景，令人心旷神怡，感受感受侗族风土人情和民风民俗。
2017-10-04,未知,3,很美的地方，人不多，国庆期间来物价也没有涨的很离谱！正好住在一家新开的客栈叫印象皇都，是一家临水的客栈，照片就拍摄于此。
2020-08-01,未知,5,位于湖南省怀化市通道县，由头寨、尾寨、新寨、盘寨等四村组成，不光是历史悠久，同时也非常有民俗特色，不一样的感觉啦。
2016-09-23,未知,5,我的家乡！侗族的天上人间！景色秀丽
2017-01-10,未知,5,通道解放后，成为军队的基地，一直封闭在大山里面，所以才让这里披上了神秘面纱和保留着原生态的侗族文化。通道古雅淳朴的民情风俗，还有连绵不绝的丹霞万佛山，甚是壮观！
2018-08-18,未知,4,环境不错，有山有水！小桥流水人家！
2021-06-17,未知,5,通道皇都侗民族文化村位于湖南省怀化市通道县，建筑风格独特魅力，趣味性强，景色宜人，性价比超高的，感受感受当地的风土人情和民风民俗。
2016-02-11,未知,4,有很下饭的多辣椒，不过确实很辣。住宿是农住旅馆。村民很好客！运气好会碰上当地的节日，可以和整个村村民一起聚集吃饭和节目，不过外地游客语言沟通有点困难。
2020-07-12,未知,5,通道皇都侗民族文化村景色不错，建筑风格独特，有民族特色的村，感受合拢宴喝酒带来的快乐，趣味性强，性价比超高的，不错的选择。
2020-02-04,未知,5,通道皇都侗民族文化村夜景很美很漂亮，有特色的地方，非常时期，管理规范、到位，防护措施落实到位，性价比超高的，不错的选择。
2021-07-02,未知,5,通道皇都侗民族文化村国家AAA级旅游景区，皇都侗寨位于湖南怀化通道县，景色宜人，风景优美，纯天然自然风景，令人心旷神怡，感受感受侗族风土人情和民风民俗。
2017-10-04,未知,3,很美的地方，人不多，国庆期间来物价也没有涨的很离谱！正好住在一家新开的客栈叫印象皇都，是一家临水的客栈，照片就拍摄于此。
2020-08-01,未知,5,位于湖南省怀化市通道县，由头寨、尾寨、新寨、盘寨等四村组成，不光是历史悠久，同时也非常有民俗特色，不一样的感觉啦。
2016-09-23,未知,5,我的家乡！侗族的天上人间！景色秀丽
2017-01-10,未知,5,通道解放后，成为军队的基地，一直封闭在大山里面，所以才让这里披上了神秘面纱和保留着原生态的侗族文化。通道古雅淳朴的民情风俗，还有连绵不绝的丹霞万佛山，甚是壮观！
2018-08-18,未知,4,环境不错，有山有水！小桥流水人家！
2021-06-17,未知,5,通道皇都侗民族文化村位于湖南省怀化市通道县，建筑风格独特魅力，趣味性强，景色宜人，性价比超高的，感受感受当地的风土人情和民风民俗。
2016-02-11,未知,4,有很下饭的多辣椒，不过确实很辣。住宿是农住旅馆。村民很好客！运气好会碰上当地的节日，可以和整个村村民一起聚集吃饭和节目，不过外地游客语言沟通有点困难。
2020-07-12,未知,5,通道皇都侗民族文化村景色不错，建筑风格独特，有民族特色的村，感受合拢宴喝酒带来的快乐，趣味性强，性价比超高的，不错的选择。
2020-02-04,未知,5,通道皇都侗民族文化村夜景很美很漂亮，有特色的地方，非常时期，管理规范、到位，防护措施落实到位，性价比超高的，不错的选择。
2021-07-02,未知,5,通道皇都侗民族文化村国家AAA级旅游景区，皇都侗寨位于湖南怀化通道县，景色宜人，风景优美，纯天然自然风景，令人心旷神怡，感受感受侗族风土人情和民风民俗。
2017-10-04,未知,3,很美的地方，人不多，国庆期间来物价也没有涨的很离谱！正好住在一家新开的客栈叫印象皇都，是一家临水的客栈，照片就拍摄于此。
2020-08-01,未知,5,位于湖南省怀化市通道县，由头寨、尾寨、新寨、盘寨等四村组成，不光是历史悠久，同时也非常有民俗特色，不一样的感觉啦。
2016-09-23,未知,5,我的家乡！侗族的天上人间！景色秀丽
2017-01-10,未知,5,通道解放后，成为军队的基地，一直封闭在大山里面，所以才让这里披上了神秘面纱和保留着原生态的侗族文化。通道古雅淳朴的民情风俗，还有连绵不绝的丹霞万佛山，甚是壮观！
2018-08-18,未知,4,环境不错，有山有水！小桥流水人家！
2021-06-17,未知,5,通道皇都侗民族文化村位于湖南省怀化市通道县，建筑风格独特魅力，趣味性强，景色宜人，性价比超高的，感受感受当地的风土人情和民风民俗。
2016-02-11,未知,4,有很下饭的多辣椒，不过确实很辣。住宿是农住旅馆。村民很好客！运气好会碰上当地的节日，可以和整个村村民一起聚集吃饭和节目，不过外地游客语言沟通有点困难。
2020-07-12,未知,5,通道皇都侗民族文化村景色不错，建筑风格独特，有民族特色的村，感受合拢宴喝酒带来的快乐，趣味性强，性价比超高的，不错的选择。
