date,ip 属地,评分,comments
2016-04-05,未知,4,龙底漂流值得一去，丰水季节还算刺激，但是有一定危险性，我与女儿在经过一处险滩的时候漂流艇翻了，我女儿被反扣在船下面，我浮起来到处找人，好不容易把吓得嚎啕大哭的女儿送到其他船上，我自己却脱离了母船，只能顺水漂流而下，但滩上水流湍急，暗礁和利石无处不在，害我多处划伤，另外一处地方也多艘漂流艇翻转，先后4-5人落水，所幸没有大碍。
2017-07-25,未知,5,谁有漂流那里的电话吗？告诉我一个，谢谢
2016-09-03,未知,3,我们上次去的时候划艇也翻了，我还被盖在下面了，后来还好很快浮起来了，也没有呛水。总的感受还好如果担心安全问题的我觉得还是不用担心吧，假如还担心的就可以不去了。
2015-12-24,未知,5,非常好玩特别是在夏天的时候特别刺激可以值得一去
2017-09-20,未知,4,龙底河漂流被称为“南国第一漂”，通道龙底生态漂流景区位于通道木脚乡境内，由于地理位置独特，龙底河至今仍保持了古朴、原始、神奇的生态资源特色。
2019-06-30,未知,5,夏天到了！可以玩水啦！孩子们的天堂！凉快凉爽！
2019-06-25,未知,5,夏天到了！这里漂流又是旺季了！可以玩水了
2017-03-18,未知,5,这里的漂流特别有意思，也很刺激！周边的风景也很美！配套设施齐全！
2017-08-20,未知,1,管理太松散了，希望大家还是不要去龙底漂流了，今天，我在通道漂流，船不幸轻轻的撞到另一条船撞翻的船上 ，我女孩被水冲到那深水里，我也跟着飘出去了一二十米远，没人搭救，辛亏我女会游泳才没事，船压着我飘了很远，遇到两个会游泳的游客，他们费了很大力气，把我救了上来，我已不敢再飘，到处寻找工作人员，想寻求帮助，根本找不到，只好硬着头皮往下飘，直到飘到最危险的地段才看到两位工作人员，我似乎见到了向他们求救，她们仅仅用竹竿帮我带上岸，我要她们把我们带到安全的地方，他们置之不理，其中另一位工作人员在吸烟，问他爱理不理的 ，他们怎么能这样啊！
2016-09-16,未知,5,很爽，虽然已经去过两次了，但还想去。
2019-05-20,未知,5,很好玩，非常不错的，刺激，夏天来真的很舒服了
2019-03-08,未知,5,这里的河水清澈透明，周边环境十分秀丽，是夏季嬉水娱乐的好地方！
2018-01-24,未知,5,这个漂流实在是太好玩了。好刺激啊，太喜欢了
2017-09-19,未知,5,漂流的感觉真爽！够刺激！下次一定还要来
2017-11-23,未知,5,那的漂流很刺激，就是有点容易 受伤。
2017-09-18,未知,5,好好好好好好好好好好好好好好好
2019-08-18,未知,5,在这个炎热的夏天！漂流是无二的选择了！
2018-04-12,未知,4,也不错啊，很刺激，有机会还会去玩玩吧
2016-10-15,未知,5,山清水秀里的好漂流，够刺激，风景够好
2016-11-28,未知,4,非常好玩特别是在夏天的时候，特别刺激可以值得一去。
2017-09-14,未知,4,和水一起嬉戏、和水势忽高忽低！激流勇进，浪遏飞舟！体现了竞技体育的e
2018-04-12,未知,4,很刺激，很好玩，很新鲜，觉得特别喜欢，值得一去
2017-10-30,未知,4,在怀化算不错的漂流，特别夏天适合去。
2024-08-30,湖南,5,水质超级好，沿岸风景迷人，可惜漂流不太刺激，比较多平静的湖面，要自己划，还是很值得玩的
2017-08-20,未知,1,太差了，服务太差了，船很轻，容易翻船，太没安全感，门票也不算便宜，但是沿途保护人员太少，今天要不遇到两位热心的游客，我不知道自己会有多惨，翻了船，被船压着有了一二十米远，没人管，幸亏后来来了两位会游泳的小伙子游客，他们出手相救，才脱险！
2016-11-16,未知,4,通道龙底河漂流很刺激，安全设施做得很好
2017-08-26,未知,3,风景秀丽，空气好，夏天漂一漂不错
2018-06-12,未知,3,漂流挺刺激的，要做好防护措施。
2018-08-10,未知,1,只能告诉大家安全系数特别低，每一个特别险的河道，才只有一个救生员，我们去的那天船翻了几十艘，包括我们的，我差点溺死在水里。再也不去了。安全指数最低的漂流应该就是他了
2023-08-19,湖南,1,狗都不来 漂流 我漂****** 划船就划船 千万别来 不然累死你
