date,ip 属地,评分,comments
2023-01-01,广西,5,2023年元旦自由行，柳州出发带出行攻略 12月31号从柳州客运站大巴坐到金秀客运站，时长3个小时，曲曲折折的路，当看风景了 县城不大，金秀客运站就属于县中心了，旁边有吃喝住很集中，建议住这附近，第二天早上好坐车 1月1号早上第一班金秀到罗香的车是8点（可以提前在携程买好票），可以在圣堂山停车场给你放下来，我们是错过了这班车，第二班就11点（哭死），没办法在客运站河对面私家车班车200块（150可以到服务中心，但是上山的车票15一个人，而且车满才走，这个淡季就直接加钱给司机送我们到登山口） 上下爬山我们用了3.5小时，登山口那就是圣堂山酒店，听说住这里赠门票，但是你上车还是要坐班车，人家可不接你 下山略微坑，心毕竟淡季人少，司机就很久也不发车（实际上是他们躲起来了，我电话咨询景区，说一般是车满发车或者人到了30分钟发车，我们俩去了他们不在，最终，等了50分钟才发车），其实等等也没啥不好，晒干衣服，拉伸胳膊腿 下车后到路上等大巴回金秀，一般罗香格和平南的车可以带我们回金秀，但请注意别太晚下来，平南到金秀的车（每天2班，我们坐的是最后一班）是3点20左右到圣堂山停车场，罗香的车不定，今天最后一班听说是2点罗香发车，那到圣堂山1个小时，也就3点，大概率我俩是错过了，还好等到了平南这趟，否则又要私家车，150大洋很痛的 这山是不错的，风景刚刚好，相信四季皆可来，虽然没有惊讶到我，但整体满意 PS：这地方连拼车都没有，客运站发车的时间还神奇的很，两趟车间隔3个小时。应该旺季会好点，没大巴就拼车，人多就便宜了。 PS：上山带吃的，路上也有几处可以泡面 PS：准备双好鞋，跟脚的，爬山石阶比较天然，小高抬腿，不是特别好走
2020-05-06,未知,5,[愉快]云在山中飘，人在云上游，触手可及的仙气，随风飘散随时切换，晴空万里和仙境白云， 登山来回时长5至6小时，登山高峰，仙雾缠绕，气温偏低，备够水与干粮。温馨提示必须租上山棍爬上去的好，因为实在太高了[捂脸][捂脸]上山顶走风景点，下山走云海宾馆路线快捷下山。每年满山遍野的杜鹃花是去圣堂山必看的花海，目前还没开，5月中旬或月底会开。感觉没看到杜鹃花开和日出日落而遗憾可惜，有第二次去的想法，因为太美了，很仙的高山美景
2019-12-07,未知,5,一路上风景都挺好，门票的价格为70元/人，车可以开到半山腰，登山路程大概有4.2公里左右，全部是石梯，那点路程对于我们来说不算什么，上去第一个景点就是姜太公钓鱼，那是一片巍巍矗立的石头山峰，不过那天雾气大，看不到姜太公，继续往上登，就是到了传说是明朝太平天国为防御敌人的石墙，只是一个遗址，在这里很多当地人在做买卖，但是特别贵，8元的茶叶蛋，15元的快餐面，10元的矿泉水……想填肚子的自己看着办。 接下来的才是真正登山，石梯慢慢的越来越陡峭了，海拔也慢慢的在随着你的步伐在升高，景色也是越来越美，要欣赏美景的花要慢慢走才好，因为那里的雾气时好时坏，1分钟不到雾气马上笼罩过来，但是有时候风一吹，景色马上出现在你眼前，要有耐心才能看到漂亮的美景，特别是在圣堂走廊那里，下面是看不到底的深渊，但是雾气特别大，实现超不过10米，对面有很多的景点根本看不到，遗憾，对歌台、会仙台、寿星石……一路过来，到了千年杜鹃林，可惜因为风雨的原因，看不到那万亩的彩色杜鹃，平安树、云梯、蛇形松最后是顶峰，那晚上我们是露营在顶峰，晚上特别冷，风很大，晚上还下去了暴雨，后来把帐篷搬进了观景台里面，才能安心睡觉，晚上雾气更大，湿气很重，帐篷里面都有水珠，在上面过夜一定要注意保暖，原以为第二天能看到日出和云海，可惜，天公不做美，雨下了一夜到早上还是没有晴的意思，在山顶上看雨到了中午，还是没有看到等待了很久的云海，中午雨停了，都是雾气很大，看不到云海，而且太阳也看不到，整个山顶都被大雾笼罩着，看不到期待很久的日照、云海。这次圣堂山之旅，还是有点遗憾的，万亩杜鹃花看不到、日出看不到、云海看不到，不过有机会还是要再登一次，把错过的遗憾找回来！各位驴友，本人的写作水平有限，很多的景点描绘不出来，总体来说，圣堂山还是值得一游的景区！
2017-02-02,未知,5,远看恍若侏罗纪公园！坐景区车上山，15公里才30相当划算，山路崎岖急弯多。景色不错，趣味性略低。上山3小时下山花了2小时挺考验意志的。平安树不够密感觉不好看。门票也不贵，和莲花山价格一样。
2020-05-02,未知,4,4月30号自驾游去的，不让小车上山，得停在山脚下，然后坐游览车上去。门口或者山上小摊有卖竹棍的，一定要买！2块钱而已，但是作用很大！别为了省这2块钱跟自己过不去！干粮要带多一点，如果带不了那么多，山上有小摊卖吃的也一定要吃点。最好是上午9点上山，超过11点就不要上去了，除非你本来就打算爬到半山腰就下山。整个行程紧凑点需要5个小时，但是会很匆忙，基本没有休息或者拍照时间，也会很累很累。7个小时的游玩计划是比较适合的。最后一趟下山车是6点。不适宜小孩子游玩。如果体力不好，可以选择游玩附近的莲花山或者北帝山，听当地人说相对好走一点。山上不冷，短袖即可。下山不用原路返回，从云海宾馆那条路下山即可。杜鹃花还没开，大概在5月中旬11号左右才开。
2019-07-09,未知,4,圣堂山开发得不是很厉害，还有很多原始景色可以看到。山上人不多，上下山的时候要注意安全，路滑雾大，天气多变。不建议一个人上山，多个人照应比较好。到了“天梯”那一段快到山顶的路很累，每个台阶都像高抬腿，但最好的景色都在这段路上。因此我下山的时候腿都有点抖。上山3小时下山2小时。我7月去没什么花看了，纯属看山。山上有宾馆居住，可看日出日落（看运气）。我就带了一瓶水，一路省着都根本不够喝，下山后马上到等小巴的地方喝了好多杯水（当地人免费提供）。大家到金秀玩备点现金，都只用微信，不用支付宝。
2018-02-19,未知,4,严格来说，是不允许开车上山的（绝大多数），但是宾馆老板告诉我们一个方法，就是在7点半前进入景区内，就允许你开车进去。门票65元一人。 开车进去景区有两个位置停放，一个是在景区内的停车场，那里有个圣堂宾馆，那里可以停车，免费。还有一个位置是在离停车场上山方向600米左右的地方，那里是登山口，那里也可以停车，收费10元一辆。 登山最少需要3个小时，特别累。大家备好粮食和水。山上走到中后段有条分叉路，一条是上山的，一条是往云海宾馆方向走的，个人不推荐走云海宾馆方向上山，因为太陡了，在这边下山合适。 由于我们去的时候是因为，所以满山的雾气，山里都是原始丛林的气息，并不能看到景色，不过也别走风味。 再次强调，上山最少需要3个小时，真的会很累，很累！
2017-06-04,未知,4,爬了四个小时上山，两小时下山，住在景区附近的特色酒店，圣堂闲居，泥巴房子晚上不用开空调。爬山一路楼梯，挺累的！卯足了劲登顶了，两万一千多步。第二天腿疼的不行呀！景还是可以的，我拍照水平也不错，大家看看吧！
2017-02-22,未知,5,广西的美景实在很多很多，圣堂山似乎名不见经传，知之甚少，一个偶然的机会来到这里，却感到了意外的惊喜，这座山不仅秀丽多姿，宛如静静的处子，更因其终日云雾缭绕，登临山巅，犹入仙境，让人心旷神怡，来这里绝不后悔。
2021-08-28,未知,5,非常值得去。越往高处爬风景越好。含拍照时间，上山四小时，下山三小时。每天早上八点，从金秀县城瑶都广场边有固定旅游大巴到景区门口，从景区门口坐景区车到半山腰爬山起点。
2020-03-12,未知,5,这是瑶山  海拔 600米之上的大岭山上藏着一处 民宿寨落静谧的山谷间，潺潺的溪流，山林环绕清晨在云海中醒来晚上望着漫天繁星入眠 瑶天下旅游度假区  距离柳州118公里2个小时车程即可到达沿途更是 小溪流水，群山环绕景如十里画廊一般别致美感~这里的居所，都是用当地瑶族古民居改建的瑶族 信仰道教，推崇养生和隐居加之老板杨哥大学学的是园艺所以瑶天下民宿就是传承了这一精髓室内 禅茶灯盏、土墙木床 ，一切都感觉返璞归真
2019-10-05,未知,5,【景色】 身为广西本土人，第一次来金秀，第一次爬圣堂山。海拔1979米，全场约四公里多，四小时上山两小时下山。不同莲花山的秀美，圣堂山更多的是磅礴和壮美。第一段走了九百多米，心里打起了退堂鼓。再走到1.6公里时候，觉得再走一百米就放弃。再走到2.5公里时候，感觉腿反正不是自己的了，随便上！到了圣堂走廊那真是超级值回门票价的地方，栏杆外既是万丈深渊也是无限美景。再上去的高海拔小树林也是很值得欣赏。顶峰就是一个告诉你海拔多高的石碑，第一次来很值得留下照片纪念。下山两小时，小腿已经乳酸堆积成山。 广西美山⛰️圣堂我给你第一
2019-05-03,未知,5,4个半小时登上顶峰，2个半小时下山，腿已废掉，但真的是不虚此行，圣堂山太美太美了。建议登山一定要穿舒适的行装，带足干粮和水，虽然半山腰和山顶也有一些零食泡面售卖，价格也都还能接受。友情提示一定要走长廊，那里景色是最美最不可辜负的；过了长廊到顶峰的天梯最难走，最后完全靠意念支撑，到了山顶其实就白茫茫的仙气缭绕，杜鹃花没开，没什么太值得看的景。下山走的是云海宾馆路线，路程省了1公里，而且真心很陡…总之很美，不虚此行，如果再不建缆车，估计是不会再来了，毕竟对于缺乏锻炼的人来说，爬7个小时的山真的是极限挑战，哈哈哈
2018-05-23,未知,4,上山不难，日落和日出好看，上面宾馆很差，水是黄水，湿气重，霉味，慢慢走上去才花了四个小时，第二天看了日出，运气很好看到了云海，下山花了不到一个半钟。
2017-02-23,未知,5,圣堂山位于广西金秀县城西南，又称圣塘山。圣堂山最高峰海拔1979米，群峰林立，高耸入云，常年云雾缭绕、深幽莫测。是徒步的好去处。
2022-05-24,未知,5,圣堂山位于广西壮族自治区来宾市金秀瑶族自治县西南部。 来宾市是广西14个地级市之一，位于广西中部，风景优美，民族风情浓郁，著名旅游景点有忻城莫氏土司衙署、象州温泉、金秀圣堂山和武宣百崖大峡谷等。 金秀圣堂山是喀斯特地貌造就的气魄宏大、风景绝美的大山，方圆几百里，主峰海拔1979米，是金秀大瑶山自然风光精华所在。 圣堂山有奇特的类丹霞式地貌景观，有浩瀚苍莽的原始森林，还有形态万千的奇松怪石，圣堂山集黄山、庐山、张家界之美于一身，雄奇而灵秀，令人赏心悦目，流连忘返。 圣堂山云海——圣堂山高峰是观云海的绝佳之地，清晨云海初上，只见山峰若隐若现，傍晚白雾相伴，场景蔚为壮观。圣堂山云海绝美之处在于山浮云中，云绕山游；山天相连，天地相吻。真可谓：大自然鬼斧神工化瑶仙，圣山仙境圣人游。 运气好的时候，可以看到红日从云海中缓缓升起，耀眼的光芒把一望无际的白茫茫的云海照亮成五颜六色的千姿百态的云海，自己置身于翻腾的云海中，心旷神怡！圣堂山云海美丽壮观，完全可媲美黄山云海。 圣堂山杜鹃——圣堂山的杜鹃花非常有名，万亩成片，种类繁多，全国罕见，其中变色杜鹃，更是一绝。每年4月中旬至5月，圣堂山上万亩连片变色杜鹃同时开放，红、黄、紫、白各色相间，漫山遍野成了群芳海洋，堪称广西最美的“高山花海”。但圣堂杜鹃花有大小年之分，要想欣赏杜鹃花海的盛景，要注意提前了解相关信息。美丽神奇的圣堂山，隐藏着很多的美景，很多没有开发的景点比景区的风景不知壮观多少。位于广西来宾市的圣堂山，景美人少，值得一游。
2021-12-19,未知,5,会当凌绝顶，一览众山小。海拔1979米，台阶高而陡，平均每一阶都是矿泉水瓶的高度，除了那段沿着山崖的风景外，几乎没有什么平地，一路爬石阶。山底到山顶4.2公里，路遇不少人走不到一半就折返的。大多数人上山+下山5.5小时-7小时，指示地图也说上山要4小时。我们算是体质可以的，上山3小时+下山1小时，来回合计4小时，步行2万步。上山感觉就是一直在做高抬腿，真的很需要毅力。风景很美很美，真的属于挑战极限，记忆太深刻了。这样的深刻体验一次就够了，毕竟腿确实很累。
2015-12-28,未知,5,云雾缭绕，美翻了，还有杜鹃花美美哒！山顶有点凉，记得带薄外套或者披巾哦！
2016-04-07,未知,3,去的时候下雨，满山的雾，看不到美景。爬山还是挺累人的。关键是景区太坑，开车不准进景区。停在停车场10元，换乘景区车30元，门票还要收100元。
