date,ip 属地,评分,comments
2019-10-05,未知,4,非常可惜闭园无法进去，逗留在门口逗猴子。不爱面包，对花生水果比较感兴趣，保持安全距离情况下，猴子们也是非常可爱有趣。最后再绕去六段村看千年红豆杉也是挺有趣 【趣味】
2015-10-30,未知,4.6,银杉伟然矗立，森林茂密，上山时正好大雾笼罩，一切都笼罩上一层面纱，有种森林里的神秘感，山里都透着淡淡的清新自然的花、木、草的清香，那种感觉真的很棒！
2015-11-17,未知,5,银杉伟然矗立，森林茂密，空气特别的清新，感受古代山林气息，饱览植物活化石——世界银杉王。
2017-02-10,未知,4,公园内有世界上最古老的植物化石银杉，树木较大，景区道路为山区道路，较弯曲，需小心，进入景区的道路湿滑
2017-05-23,未知,5,海拔高 开车可以进公园 自然风光优美 有野生猴子 要预防它抓伤人
2024-04-16,广西,5,景点里面人不多，空气好，可以作为纯爬山锻炼吸氧的场地。里面的大瑶山生态自然博物馆值得一看。
2020-04-16,未知,5,由于疫情影响，银杉公园施工，所以景区关闭，暂时进不去 里面的风景不错的，国家4A景区，有猕猴
2016-11-26,未知,3,空气很好，除了观猴亭，没什么好玩的。五十块钱，门票太贵。
2024-10-08,天津,5,最大的乐趣，就是随便喂猴子，猴子数量不少，节假日人多，花生吃腻了，喜欢吃水果。猴子比较文明温柔，不会翻包抢东西，还有些比较胆小，不敢靠近人，带小朋友来比较好玩，看风景就算了
2017-04-05,未知,5,自然保护区 都是原始森林 风景优美。
2016-11-02,未知,5,金秀银杉森林公园在来宾市金秀瑶族自治县土县山原始森林中段路，景色很美！
2016-02-07,未知,5,很好！以后介绍朋友来旅游！谢谢
2018-01-29,未知,5,顾名思义满园银杉树，56空气醉人，令人心旷神怡
2015-11-18,未知,4.6,"刚好今天天气不错, 视野升阔, 到处是参天大， 感觉回到大自然的怀抱了。"
2023-02-22,广西,3,公园还蛮小的，走不到半个小时就出来了，内容很单一。想看猴子的话距离公园大门还有五六分钟这样子在路边就可以看到了（好像是公园里面的猴子从后山跑出来的）
2018-03-04,未知,4,有种上当受骗的感觉，就一些猴子，没其它动物
2016-10-07,未知,3,很一般！！！！！！！！！！！！！！？？！？！？？？？？？？？？！？！？！！！！！
2023-05-02,广西,1,就这样的小公园仗着几只猴子和几棵老树也敢收50门票，现在为了防止游客不买 【性价比】票在停车场逗猴，把大门建到停车场老远的地方，哼哼，想免费逗猴，回家去吧。老板，你在山下就建个停车场，游客一律30每人摆渡车进去，你看这建议好不？这样一次能赚80呢
2024-02-12,广西,1,大山里看山，除猿猴就没有其它，小范围内地方里面还要停车费，体验价十元可理解
