date,ip 属地,评分,comments
2018-02-24,未知,5,这里风景如画，绝不会比阳朔十里画廊差…而且全程无门票…只是旅游设施有所欠缺，不过这样原生态我更喜欢…要去的就要趁早了，现在已经在大施工，应该是准备收费的节奏…还有旁边不远进去公婆石村的那一片风景也很好…美不美看图就知道了…
2017-05-02,未知,4,这里景色漂亮、民风纯朴，五一期间都不见有村民沿途摆买的。可能是免费景点，后面的指示牌就完全没有，将会到什么景点、相隔几远等等没有看到，我们只好问村民走出去。整个徒步过程3小时左右，也有村民的自行车出租，10元/小时。
2016-11-07,未知,3,从钟山县汽车站坐往清塘亏白的车可到，十分一班车。风景山，入村口有单车可租，骑行赏美景别有一番乐趣。当地未有商业，水床食物耍预备。不过那里停留时间不长，餐饮要往回走去公安镇解决。前行有条河，机动车过去要绕道，坐班车要下车过河对面再上车前进。
2020-06-07,未知,5,￼ ￼￼ 目录 ￼ 钟山十里画廊 广西 29 ~ 23℃ 大雨 明 28 ~ 24℃ 后 30 ~ 25℃ 钟山十里画廊景区位于县城西北18公里，国道323线及即兴建的桂梧高速公路旁，因景区地处公安镇荷塘村而得名，面积约36平方公里。景区内分布泥盆系石灰岩，系下古生代碳酸盐沉积。 景区内分布泥盆系石灰岩，系下古生代碳酸盐沉积。风景区内最高点为皇冠山，主峰约海拔450米，最低处为公婆山水库底，地势呈东高西北低，景区内属中亚热带湿润季风区，其特点为光热丰富，雨量充沛，温凉适度，寒暑适宜，夏长冬短，季节分明，夏涝秋旱，雨水不均，春迟秋早。
2017-10-05,未知,5,景色很美，没有商业开发过，路上只遇到一个卖水和水果的。路比较窄，两车错车有点费劲。一路美景的乡间小路，可以停车拍照。没想到十一可以拍到没有人的美景，小伙伴们都惊呆了！如果是荷花开的时候来就更美了！
2016-12-25,未知,5,广西贺州的一个景区，十里画廊到处都有，但景色各不相同，钟山十里画廊在钟山县，在宽广的田野望过去，画廊清晰，十分壮观，也很美。
2018-06-20,未知,3,十里画廊正在围蔽修建中，我们在网上看到部份评论，再看地图，寻找河流，终于在桥边小路可以通过。一路犹豫一路拍个够，遇上一村民告诉我们往前走更好，于是信心满满，我们踫到同声同气一车人，他们也是来寻画廊的。终于不枉此行。
2019-05-04,未知,5,去贺州就是为了这个百里画廊，非常美。值得一去。目前还在建设中，没有收门票。对面有停车场，收费20元。附近有可以不收费停车的地方，为了安全我还是停在了收费的车场。
2016-07-06,未知,5,原生态、纯天然、无污染、最适应发呆的地方。
2017-03-24,未知,5,还没有来过的朋友快来哦，十里画廊免费欣赏了哦！
2018-02-08,未知,5,钟山十里画廊，非常原生态，山峰挺拔秀美，田园村落绝美，风景如景如画，让人流连忘返，乐不思蜀，非常适合自驾游和色友拍摄，赞一个
2017-10-09,未知,5,免费，景点沿公路两边，景色很好，尤其是田园风光，不输阳朔。没有特别开发，没有商业化，完全的自然风光。
2016-11-27,未知,5,不同的时候去有不同的风景，你说呢？春，夏，秋，冬，四个季节，每天早上，或者是晚上，站的角度不同，审美观不同，所看到的风景都不一样。
2020-04-21,未知,5,有山有水，风景特别美，适合拍写真等照片，来的话，不骑双人自行车可惜了，骑双人自行车开到尽头双元村里面的水库，带点小零食，开心开心
2019-10-04,未知,5,从十月一日开始，开始收门票四十，一米二以下小孩、六十岁以上老人免费。携程需要更新一下信息咯！不过还是觉得值得，进到里面很舒服！ 从黄姚古镇过去开车要三十几分钟。
2019-08-22,未知,5,不错的地方，目前正在建设中…免费，有山有水，心旷神怡！建议在大门口坐电瓶车进去，可以游览1个小时左右，师傅还会详解，到了拍照景点，师傅还停车让拍照，很方便！全五分！值得一去！
2016-10-20,未知,5,风景很棒，交通也很方便，空气都清新自然
2018-08-14,未知,4,目前已经改名为百里水墨画廊，正在大兴土木，分为三期，一期建设今年国庆前完工，国庆正式开放。这里山水景色与桂林有得一比，尤其是地面山形。
2018-05-25,未知,4,十里画廊的景色确实是非常美，只是现在在大施工中，过段时间再去就会更美，路牌指示就会清楚一些
2018-10-19,未知,3,钟山十里画廊是新开发的新区，这个国庆节才刚刚完工，而且还只是半成品。其景区的质感与别的十里画廊，基本上没有什么本质区别。这里的水系目前是人工打造。
2016-10-11,未知,4,美丽的十里画廊是很好的郊游好去处！特别是6、7月份，荷花盛开，满山翠绿在金黄色的稻谷衬托和蓝天白云的相映下更是美不盛收！！！
2018-04-30,未知,5,现在在修建景点，底盘不高的车不建议开进去，风景不错，景色秀丽！
2017-03-11,未知,4,钟山十里画廊是贺州的一个名景区。.
2016-03-07,未知,5,这里值得一去，但是一定要找对季节，不用导游不用熟人，千万不要在冬季去，不然会失望透顶的，什么季节去呢——荷花盛开的季节。风景好
2018-07-15,未知,3,严重建议大家先不要去，变成了大工地，正在重新改造中！弄好了会很美！留意媒体宣传吧！！将会是一个徒步的好去处！！！！！！！
2018-06-19,未知,5,钟山十里画廊风景优美，现正在施工，道路等设施正在建设，值得一去，原生态风貌，估计明年得收费了，本次去荷花被弄没了，规划将来应该被补上，民风淳朴，值得推荐！
2018-10-07,未知,4,目前这个地方正在施工开发中，没门票，景色很好，想去的要抓紧了。
2017-09-12,未知,5,钟山十里画廊，不仅青山秀水，还有大片翠绿的荷塘，清风徐来，荷叶与荷花摇曳其间，加上桂林秀奇的石山，便是一幅沉醉的画卷。
2020-11-24,未知,4,【性价比】广东人免票。 【景色】不错。
2017-05-01,未知,4,胜过桂林山水风景，值得大家去游玩
2017-02-26,未知,5,山是挺多的，人的住房就是不能在一块
2023-03-25,广西,5,大家都知道阳朔有个十里画廊，其实贺州的钟山县也是有相似的风景，因为那里也是属于喀斯特地貌
2018-04-23,未知,5,特别特别特别特别的一个景区，建议租电瓶车或者开车进，比较大，主要就是看山。
2017-04-21,未知,5,广西的山水都是有灵性的尤其是在雨雾中
2016-02-07,未知,5,此处风景独好，交通方便，并且可以体验到人文风景的独特
2016-09-21,未知,3,除了开花的季节，没啥可看的，就是一大型的荷花池
2022-05-21,未知,3,山很多，感觉还不错，但是有不用门票进去的路，😅😅😅买了门票进去的我本来心情还不错的看到这些顿时不爽
2016-01-29,未知,3,值得，尤其是夏天可以骑行赏景，荷花漂亮。
2017-03-01,未知,5,景色特别迷人，感觉就在画中似的！
2017-02-04,未知,4,如果季节合适的话风景更美，延途风景还是可以的。
2023-07-14,上海,4,工作人员非常专业，讲解过程非常有耐心，还解答了不少问题
2019-10-11,未知,2,看看风景郊游踏青还可以，由于在建设中景区四通八达太多车，景区目前太小水
2019-08-23,未知,4,空气清新，适合骑行，适合一群友人同行。
2023-08-28,湖北,4,诗话的名称名副其实，如画卷展开。
2016-02-12,未知,3,还好吧，一般般，除了荷花没什么看头了。
2016-03-07,未知,3,非常美四面环山景色迷人，鸟语花香
2019-10-10,未知,2,门票40真的很贵，里面除了看山就是看山，荒凉的没什么人，坑到死
2020-04-22,未知,1,这就是画廊，本来好端端的倒影就给铺上这塑料盖住了，没有水墨了，而且要门票，停车要收费
2019-10-03,未知,2,收费40一人，说好的免费的呢？ 【景色】 【景色】
