date,ip 属地,评分,comments
2024-01-29,广东,5,十二月去的，我们没有进景区里面，因为风景就在路边，单车也是民宿老板提供的，这里比阳朔还要漂亮，但真的一定要骑单车来才行，要不走路会累死的。我们还幸运的在村里蹭了顿饭，都是村民们邀请我们的，真是受宠若惊啊！听说是有个什么道士出山，做什么东东仪式，要爬刀山，因为毕竟听不清他们的方言，哈哈哈！
2022-11-23,广西,3,今天去了景区，几乎没人，摆渡车不开，走了几公里，由于是冬天了，感觉景色一般，但是一飞无人机才发现画面太美了，景色秀丽，真是一个十里画廊，如果认真开发，将来肯定是一个5A景区。
2022-05-27,未知,5,我们走进贺州的百里水墨画廊，就像是置身于陶渊明所描绘的世外桃源一般。青山隐隐，江面轻波荡漾，还有那充满奇特色彩的喀斯特地貌，每一处都让人惊叹和震撼。
2021-01-30,未知,5,有趣好玩，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-04-16,未知,4,广西贺州钟山的百里水墨画廊，山青水秀，风景优美，令人陶醉！
2021-06-01,未知,4,其实这个景区目前还在开发中，现在只开放了一期，可以坐电瓶车前往游览。门票40元，电瓶车10元，价格也不算贵。只是开放区域太少了，体现不出百里画廊。另外，目前这里不能开车进去，如果以后真的开发成百里画廊，并且可以开车进去，是非常不错的自驾景点。只是不知道要等到猴年马月
2021-01-30,未知,5,景色不错，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-01-30,未知,5,有趣好玩，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-01-30,未知,5,总体超赞，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-01-30,未知,5,有趣好玩，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-01-28,未知,5,有趣好玩，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-01-28,未知,5,性价比高，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-01-28,未知,5,有趣好玩，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-01-28,未知,5,总体超赞，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-01-28,未知,5,景色不错，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-11-22,未知,4,该景点名叫百里画廊，实际上好多地方都没开发或开放。景点整体还是不错的，可近距离接触美丽的山景，未开发部分景色很好，还可看到野生的猕猴。
2019-11-08,未知,3,景点现在只有第一期可以开放给游客，二期三期工程没完工，所以现在可以看的景点没几个。估计2～3年才可以完全完工。
2024-03-23,广东,3,景区几乎没有游人 风景还不错 携程上写明60岁以上的老人免费，而景区门口标明60-64岁的人半价
2020-08-09,未知,4,景点还不错，可惜荷花池没水，有水才好看
2020-04-30,未知,3,疫情期间景区没啥人，携程上买票有优惠35元，给力，公园门口买40元，恰逢太阳公公不给力没阳光，坐电瓶车50元公园跑了一圈，感觉一般般……
2020-08-10,未知,5,环境优美，风景如画，天气凉爽，唯一不足的是景区有待进一步完善
2023-08-09,广西,4,钟山百里水墨画廊，这里如果不坐电瓶车的话，估计要跑断腿
2020-07-04,未知,5,出差周末好去处，离县城不远，交通便利，风景如画，走走停停都是风景
2020-08-10,未知,5,环境优美，风景如画，天气凉爽，唯一不足的是景区有待进一步完善
2020-01-25,未知,4,风景不错，还在开发中。偌大一个景区就我们一家人在里头晃荡……
2020-06-10,未知,5,景色宜人，疫情人少，就是有点晒。
2020-12-28,未知,3,景区还没开发完，有点荒凉，河道还没水，有水的话应该很漂亮。
2021-12-08,未知,3,风景比不上桂林，顺路可以看看，专门跑一趟没必要，40的门票有点贵。
2020-05-26,未知,3,可能因为还不是季节，没有什么好的景色看。景区好像也在做一些修整
2021-03-10,未知,4,风景优美！赞
2020-08-22,未知,3,河边杂草丛生，规划单一。
2022-07-31,广东,2,去了就等着被晒死吧。非常无聊，站在外面一样可以看到这些山的，宣传片中的水和穿都是不存在的，只能晒着太阳走路。千万不要去的。
