date,ip 属地,评分,comments
2017-08-22,未知,5,雨卜民族风情旅游度假村风光旖旎如画，青山、绿水、小溪、流水，绿油油的田地以及苗族风情，身处其中很有种心情愉悦的感觉。清晨，在太阳爬上山之前，远山有层薄薄的雾，很漂亮。到柳州旅游，这里算是比较好的一个旅游景点。
2017-05-21,未知,4,我带外面人来看， 他们觉得很好。，，，，，，，1，111，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，
2016-08-21,未知,4,景色不错，夏天还可以玩水，就是路途有点远！
2019-02-16,未知,5,雨卜民族风情旅游度假村里的确另有一种风情画面，自然山色、美景，再配上人工点缀的景物，从视觉上分远景和近景，自然和现代，吸引着越来越的游客团体。
2016-11-23,未知,5,去雨朴就一定要自驾游去，这样活动起来比较方便，住的话可以去小潘木屋，有个人工瀑布还可以，吃农家菜，荷花鲤，吃腊肉和农家野菜都是不错的选择。
2015-11-17,未知,5,这里的景点很漂亮，服务不错。景区人很淳朴。看到芦笙斗马之乡精彩激烈的斗马活动，很值得一看
2019-08-28,未知,5,好山好水 好地方 山清水秀 晚上表演的苗哥苗妹超美喔 安利。
2017-02-23,未知,5,这里民风淳朴，山清水秀，特别是夏天到这，泡在清澈见底的山泉里，真的是城市里没有的享受呵！
2018-09-28,未知,2,今天刚自驾去雨卜，好不容易回到了融水县城住下。建议十一黄金周想去的朋友三思了：一是交通遭透了，融水到雨卜三十多公里，就有十多公里泥路，因从四荣到香粉公路重新修建升级（有十多公里吧），全部变成烂泥路，小车只能又惊又险地艰难行走，几次还重重地刮了底，基本说根本不能行车了，又后悔又恼火，有什么部门能负责任地告诉一声想去的游客吗！！二是雨卜跟宣传的差别也太大了，就一小小的景区，人为地搞几栋苗屋，一座风雨桥（只为景而建的，不是实用的那种），其他什么都没了，我们转了一个多小时就游完照完相，就赶紧又赶回融水了（虽然想到回程仍要走那十多公里的泥巴路头皮就发麻），但真的没有必要住在雨卜一夜的了。你真的想去雨卜玩的话，请过几年路修好再说吧，现在根本不是车走的路。
2017-05-31,未知,1,真的建议不要去，从县城出发40公里，开车一个多小时才到。路很不好走且部分路段修路。到地方后发现是个很小很小的村子，瀑布很矮，我们去的时候都只有我们几个人，两分钟后就走了。真的是噱头，见过最差的景点，没有之一。
2017-11-14,未知,3,雨卜过去我去过几次周末去有民俗，午狮，斗马表演。有近三年没去了。不知现在是否还有表演节目？
2016-08-05,未知,4,这里风景很漂亮……不错不错……很适合休闲玩乐度假
2017-06-12,未知,4,"这里不仅拥有千亩原始森林,还有漫山遍野的、连绵起伏的竹海，森林覆盖率达80[%]以上，是个难得的天然氧吧，可谓绿水青山，是人们旅游度假的好地方。"
2017-01-15,未知,5,好玩，很不错的地方，值得一玩。
2016-08-25,未知,1,就是一个人造景点，什么少数民族，都是些汉族人，没有发现少数民族迹象，都是些做生意的人，路还老远，路烂的不行，怀疑携程上的这些好评是哪里来的，到了就发现上当了，因为到达时间较晚，来不及回头了。
2017-03-11,未知,5,去过之后的逛街太棒了，真的值得一去
2017-02-28,未知,5,远离县城，空气清新，民风纯朴，很美
2017-05-30,未知,3,山水比较好，人少安静。路比较窄
2017-12-19,未知,4,这里的山，水，林，瀑布结合的非常完美，非常和谐，非常自然，值得欣赏。
2017-01-07,未知,4,雨卜村是著名的少数民族村寨，。
2017-08-09,未知,3,这里风景很美，但交通不怎么方便哦！
2018-02-17,未知,1,这两年不要去，修路，景区待建。还有千万别冬季和春季去，水枯没景色看，要去最好8月份去。要看原生态的还要开车到山里的。
2019-08-09,未知,1,旅馆的被子有虫子，咬了我一身包，和前台说还被怼，这服务态度也是服了。路况也不好，大老远来一趟受一身气
2019-08-09,未知,1,设施陈旧，服务态度不周。房间隔音效果极差，有很多虫子，交通也不便利。
