date,ip 属地,评分,comments
2019-02-09,未知,5,正月来到零陵古城，人还蛮多的，但热闹程度恰到好处，既有浓浓的节日气氛，也不会拥挤到让人觉得烦躁。开车过来的街趴停车位是不用想了，因为街边停满了车，所以我们停在了景区的停车场里。古城还是很好逛的，有一些挺有意思的店家，比如喝完能把碗砸了许愿的砸碗酒、现场制作展示的老姜糖、汉服出租店，等等。既然来到了湖南，臭豆腐还是得吃的。
2019-07-04,未知,5,说起永州，可能很多人都不太清楚，大多数听过这个名字的可能就是一个中学的课文，其实永州以前的名字叫做零陵，一直以来就有个疑惑，看三国演义，张飞战零陵在哪，原来现在改名做永州了。 （古城） 说就说是古城，但是其实这边是一个比较新的商业区，因为真正的零陵古城，其实现在已经不复存在，只有一小节城墙，在这边这个小古镇上面的仿古装修还是弄得蛮不错的，加上餐饮和娱乐，晚上特别热闹。 （交通） 交通还算是比较方便的，就在这边的河边，对面就是老城区这边算是比较的新，五一过来的，晚上特别的热闹。 （文化） 虽然是比较新的商业区，但是里面很注重中华传统，基本上每走几步路就有一个租汉服的地方，所以在路上会看到很多穿着汉服的小姐姐，也是挺有意思的。 （设施） 设施方面，还算是不错吧，一切都配套都还是挺好的，而且的话逛起来也比较舒适，停车场的配套也是在旁边就有。
2020-10-19,未知,5,零陵是永州巿的一个区，但零陵古城的历史要早于永州。现古城修建一新，特色古街店铺林立，广场每晚有篝火晚会，当地百姓和游客伴着音乐起舞。古城内的民宿韵味不错，住在里面也是一种体验。
2024-11-05,江苏,4,零陵古城，永州的历史文化名片，这里保存着大量的古建筑和历史遗迹，漫步在古城的小巷中，可以领略到古城的韵味和历史的厚重。夜晚的古城更是别有一番风味，灯火阑珊，夜色迷人，是拍照打卡的绝佳之地。
2021-09-02,未知,4,零陵古城推出沉浸式古城游玩体验，永州特色文艺演出、大唐古风夜游、玩转大唐极乐夜等文娱活动。零陵古城不断挖掘当地民俗文化，开发设计相关演艺活动及文创产品，让游客深刻体验永州悠远的柳子文化、理学文化、草书文化等，感受零陵市井民俗风情、商帮文化和通衢文化，形成天天有活动、月月有节庆，全年贯穿各类特色活动，朝着打造“湘粤桂旅游标杆”的文化旅游品牌迈进。
2021-09-11,未知,5,零陵古城古香古色，有历史文化底蕴，风景优美，感受当地的风土人情和民风民俗，挺不错的，性价比超高的，令人心旷神怡，感觉棒棒的。
2020-06-13,未知,5,零陵古城夜景也很美很不错，晚上逛逛，感觉心情舒畅，古城非常时期，人不多，趣味性强，吃吃美食，看看美景，挺不错的选择，性价比超高的。
2019-03-30,未知,4,从柳子庙出亲来，经过柳子街，步行大概3至5分钟就到。看整体的建筑群，大部分是后期建设的，但整个地方也打理得井井有条，非常干净，吃饭的地方也很多种类，是不错的消闲地方。
2019-09-29,未知,5,零陵古城在永州的零陵区，如果火车到永州火车站，出站坐303路可以到零陵古城。零陵古城大多是新修建的，古城还在扩建中，古城是免费入游的。
2020-07-02,未知,5,零陵傍潇水而生，山清水秀。零陵古城位于潇水河西，以柳子庙、柳子古街、愚溪为中心辐射。状元楼是曾经的零陵师专附中的校大门。
