date,ip 属地,评分,comments
2024-07-29,广西,4,音乐喷泉值得观看！
2024-09-01,广东,5,要坐船就坐非凡1号，人少舒服，可以近距离欣赏喷泉⛲大人小孩都开心。坐船的感受如同浮在温柔的水面上，被缓缓推向前方，每一刻都在享受着水波的轻拍和船身的摇晃。
2024-08-11,广东,5,除了人太多，别的都很不错就是了，整个游艇豪华大气很时尚，所以也是很多人选择的原因吧，这个游艇很值得大家去体验，一定记得去要提前预约噢！ps：柳州螺狮粉真好味！
2024-09-21,广西,4,普普通通吧
2023-05-09,广东,5,这里的船可以租用，专门搞团建用的。
2022-11-13,安徽,5,柳江夜景很有特色，和重庆，上海有一拼
2022-10-24,吉林,5,挺有性价比的，很不错的一次游船体验
2023-10-25,广东,5,景色很美。
2023-07-03,广西,3,订单中说有提供的精美下午茶，其实就是直饮水，欺骗消费者……很差
2024-10-09,广西,4,好好好好好好
2024-10-09,广西,4,好好好好好好
2024-10-09,广西,4,好好好好好好
2024-10-09,广西,4,好好好好好好
2024-10-09,广西,4,好好好好好好
2024-10-09,广西,4,好好好好好好
2024-10-10,广西,4,还可以 还行
2024-10-10,广西,4,还可以还行
