date,ip 属地,评分,comments
2016-09-27,未知,4,灯饰投入很不错，河堤边的房子倒影在水里看起来很有意境！风雨桥附近的特色小吃田螺煲小龙虾店蛮多的，田螺煲的汤汁很好喝，加啦酸竹笋，味道特别鲜味！就是交通有点混乱，卫生没搞好，比较多垃圾！
2018-10-30,未知,3,看县里的风雨桥很多，因为这里历史很长，有很多古村落，每一个古村落都有一座风雨桥，其中有一些很美妙的爱情传说。比如这两座风雨桥就是古代爱情的象征。
2018-10-19,未知,3,风雨桥在贺州很多，尤其在富川县，几乎每个村庄里面都会有风雨桥。风雨桥实际上就是供老百姓过河避雨的地方，现在很多风雨桥赋予了它美丽神奇的传说。
2018-09-30,未知,3,风雨桥在富川县有很多座，只要有河的地方，就建有风雨桥，其中位于县城的风雨桥最为有名。这里的夜间灯光装饰的不错，就在县城里面，游客市民很多。
2017-02-06,未知,5,由钢筋混凝土月牙形单桥拱和集侗族特色木构建筑技艺精华于一体，全桥长368米，宽16米，最高处为18米，有7个桥亭，其长度和规模均为世界之最，堪称世界第一风雨桥
2016-10-13,未知,3,美，乱，脏。没见过还做为车辆能行使用的，险象环生，好好地能不能让人好好欣赏一下这美景啊，太失败了。尽早会出事的，希望下次去时，有改观
2017-05-03,未知,5,桥面是很宽的马路，但车开在上面不好走，铺路用的砖坑挖不平。
2023-02-15,辽宁,4,连州秤架风雨桥，阳山岭背乡间景色，连州东陂的腊味，阳山鸡在当地很有名。
2018-04-07,未知,3,感觉还可以，晚上的灯光效果特别好，白天没有什么好看的，
2020-08-25,未知,4,风雨桥从远处看上去还好，清澈的小河水从桥孔下潺潺流过
2016-02-21,未知,3,带宝宝去可以，有很多玩具可以玩
2018-06-10,未知,5,来富川，不用一千，六百块钱带你玩转富川
2016-07-24,未知,5,难得一见留下的古建筑，小桥流水人家。
2016-02-08,未知,5,人多，过节，节味浓厚，食物多，好吃
2017-11-07,未知,3,风雨桥只是一座普通的桥，以桥为中心开发的这个景区还不错，周围有小吃，河边有柳树，风景还是可以看看的。
2016-02-07,未知,4,挺好玩的晚上也挺美有吃的有玩的值得去
2016-12-05,未知,3,其实就是按照老风雨桥建的水泥桥，夏天许多老人在桥上乘凉，娱乐！
