date,ip 属地,评分,comments
2016-05-19,未知,5,在柳江大拐弯南岸的正中央位置，是观赏柳州市区“U字形”全景的最佳去处。从山下看确实有点像只墨绿色的马鞍，从天马广场的主游道往上攀爬登顶，大约需要走45分钟的台阶，大多在树荫中行走，不会炎热，但道路就有点湿滑了。上行过一半时有岔路，左右都能登顶，左路会经过马鞍山石刻而且路要近一些，右路会经过索道上站，可以俯瞰鱼峰山的景色。现在还可以直接从山下坐竖井电梯（上行20元/下行10元）登顶，山上建有玻璃底观景台，柳江大拐弯风景尽收眼底。
2017-04-14,未知,5,我们没有爬山，直接电梯！上电梯20块钱，下来10块钱！没有学生票！不需要门票，山顶可以看全城景象特别美！给个5+. 山顶空气很好！ 第一次来柳州就为了全景上这个山！给满分
2016-04-22,未知,4,这座安装在马鞍山山体内的竖井电梯高度相当于56层楼，仅48秒就能从山脚到达山顶，下行票价10元/人(上行票价20元)，比乘坐缆车便宜多了。而且对于我等有恐高症，超怕坐缆车的人来说，绝对是个非常好的选择。不过要注意开放时间，我们就好好运气赶在上午11：50停运前几分钟搭乘电梯下山了。
2017-06-21,未知,5,马鞍山，地处柳江桥头，山不高，但很有灵气，传说古有得道仙翁游览山上，并留下一仙人脚印足跡，约用二十来分钟便可攀顶，山上林不郁郁葱葱，登上山顶，有种仙风沁沁的感觉，环视整过柳州城，近看远眺皆可宜。
2019-05-01,未知,5,我和春天有个约会——“马鞍山”（二十九）， “马鞍山”，地处柳江南岸，因形似马鞍而得名，海拔271米，通高180米，古称“仙弈山”，为观赏柳州全景的最佳之处。马鞍山极具阳刚之美，山高陡峭，气势如虹，若云雾天气，半山云遮雾绕，马鞍若隐若现，宛若骏马凌空奔腾，“天马腾空”由此得名，为柳州古八景之一。马鞍山自唐宋以来就是柳州的游览胜地，山上有珍贵的摩崖石刻70余方，最具代表性的是位于仙弈岩洞口崖壁上镌刻于公元991年的摩崖，为柳州市屹今发现的最早的石刻……，
2017-02-22,未知,5,马鞍山位于柳州市江南岸，因山峰形似马鞍而得名。与鱼立峰相对，两山有缆车相联接，马鞍山也有电梯上下山，特别方便。站在观景台，可以看柳江180度的转角，看江北全景，很壮观。
2018-04-20,未知,5,在百度上查马鞍山公园，在上面看夜景很美，于是我昨天就去了，从五点半在山顶的观景台等到七点半，期间还下大雨，后面慢慢停了，等看完夜景后下山，又下起大雨，小白鞋都变成小黑鞋了，，不过，值得
2018-04-16,未知,4,对于从云南高海拔过来的人来说，马鞍山其实算不上是山，一个丘陵而已，但是正应如此，才显出来它的特点，不雄奇险峻，但很玲珑精致，山上有唐代石刻，最重要的是山顶可以俯瞰整个龙城全貌，正对柳江180°拐弯处位置非常好，可以很好的对柳州有个认识。另外，对于当地的市民爬山锻炼，这个高度刚刚好，现在还有缆车可以上下，周边交通很便利， 很方便。
2019-03-23,未知,4,马鞍山公园就在市中心，这是这座城市里面最有名气的公园之一，其实这个公园的山不是特别高，也不是特别大，主要就是因为这座山可以俯瞰整个柳州城。 如果体力好的话，建议傍晚的时候爬上去就能够看夜景了，体力不好的话，就只能4点50分前坐垂直电梯上去上面了。 在上面等了三个小时才天黑，还真的比较麻烦，不过夜景还真的是相当不错，柳州城的投入还是蛮大的，柳江就在眼底下流淌，山上温度会低点，穿多件衣服。 除了电梯跟缆车之外，这边是免费进入的。
2018-08-03,未知,5,马鞍山古称仙弃山，位于柳江南岸的市中心，与鱼峰山东西呼应，是柳州市中心区的一座最高山峰之一，海拔270米，石山古老秀劲，形如马鞍而得名。在晨雾中似腾空奔马，有“天马腾空”之称。现已辟为马鞍山公园，对游客开放，从山脚沿石径到达山顶，放眼眺望，柳州全城景色尽收眼底
