date,ip 属地,评分,comments
2024-12-04,河南,5,作为柳州的一个网红公园，每天晚上日落的时候都会有人山人海在山上面站着，大家为了就是一个目的，便是等到对面的柳州城亮灯。要爬上这个山有两种方式，一种就是沿着步道向上走，其实也并不是很累，另外一种则是可以坐电梯，但是坐电梯的话人会很多，排队也会等很长的时间。
2021-07-07,未知,5,柳州之行哪里去，马鞍山顶观山水。柳州的气魄很大，“百里柳江景区”基本都可免费参观，特别推荐马鞍山，山顶的玻璃观景平台是俯瞰柳州全城的最佳地点。而半山腰山洞是我旅行以来体验过最凉爽最有仙气的，没有之一！
2021-03-15,未知,5,实话实说，我到了柳州的第一件事情，并不是去吃螺蛳粉，而是去爬山了 是的，我对爬山有执念，我喜欢爬山，我喜欢登高望远，我喜欢那种累的够呛的感觉 我喜欢流汗，喜欢站在山上看山下的景色，行人车水马龙 柳州很可以满足我的喜好，他有好多的山其实都不高 如果你认真的爬20分钟，绝对可以到顶了
2023-05-11,河南,5,带着孩子去哪里玩儿更有意思呢，其实祖国真的很大，而且很美，今天给大家推荐的是柳州。 千万不要以为柳州的景点不美，只有螺蛳粉美味，其实柳州的景点也是非常的美，其中有一个网红的代表就是柳州的马鞍山。这个马鞍山可不是地名，而是实实在在的山，它基本上处于柳州的最高处，站在马鞍山之上，可以俯瞰整个柳州城的美貌。 但是因为马鞍山现在已经成为了一个网红的景点，所以会有很多人来这上面等待日落，等待夜幕的降临，那什么时候这里人会少呢？建议大家在周一到周四的时间来这个时候人会少另外爬马鞍山，也是一个体力活，有什么样的方式带着孩子，最轻松呢在马鞍山下面有电梯可以乘坐20元一位，这样就可以省去爬山的劳累。 当然上马鞍山还需要天气的辅助一定要选择一个晴天，如果是下雨的时候上来，那你就不用专门为了看日出或者是亮灯而上来了，拍的灯并不会好看，只需在夜晚灯光亮起的时候上来就可以，但是如果是晴天的话一定要日落之前上来，这样能拍出美丽的照片。
2023-04-21,河南,5,来到柳州一定要爬的，一个山就是马鞍山，随着马鞍山的火爆，现在已经成了柳州的一个网红景点。但是很多人来爬马鞍山，只为了亮灯的那一刹那边离开了，其实在亮灯之前和亮灯之后，马鞍山的日与夜更值得你来打卡。 千万不要觉得马鞍山高就不来爬了，其实马鞍山并不高，爬上去只需要20~30分钟的时间，但是如果你想看亮灯仪式的话，现在一定要在5:00之前到达门口，很多时候在5:30的时候就会限流不用允许你往上爬了。 在亮灯之前，也就是日落之前，大家可以顺着阳光拍一下江上的各种各样的美景，比如在行走的船舶，还有道又一道美丽的桥梁。 亮灯的那一刹那固然是惊喜和美丽的，但是如果这个时候就拍了照片离开，那你会错过马鞍山上面最美的时刻，那就是月亮升起。我很幸运的，不仅看到了日落，还看到了月亮的身体，并且看到了江对岸一栋，又一栋楼亮起灯光。建议大家等到8:00音乐喷泉开始，一会儿再离开，因为配着音乐喷泉，你不仅可以看到静态的楼房，还可以拍到动态的江景，这种江与楼的互动不是更美吗
2021-05-01,未知,5,"看柳州夜景的绝佳场所，山顶有个观景平台。徒步爬山差不多要20~30分钟，基本都是一路台阶，很考验体力。也可以花钱坐电梯（上行20,下行10），缺点是差不多4点半就停止运营了。想要看日落或者夜景的话，需要在山上等好久。江对岸19:30会准时亮灯，适合拍小视频。"
2021-01-20,未知,5,马鞍山，到柳州后第一座山征服的山，用时20分钟吧，不难爬的。 前面说过刚到山门口有点倩女幽魂兰若寺的感觉，又寂静又看不见人，但其实爬山不是抹黑的，有点光的，眼神不好的开个手机电筒。 咳咳咳一向出渣图，想看柳州美丽夜景在我朋友圈和点评是基本没可能了。
2022-07-09,未知,4,暑假柳州行day1 来之前做了行程攻略，晓得马鞍山公园客栈俯瞰整个柳州夜景.特意在附近吃了晚饭，然后开始爬山，山不算高，但是路比较陡，尤其是雨后要特别留意安全，大概晚上八点左右亮灯，所以也不用去的太早，免得等太久。
2021-03-24,未知,4,马鞍山公园位于柳州市鱼峰区屏南大道178号与鱼峰公园相邻，其主要是以马鞍山为主体的一个山体公园，以及有索道与电梯，现在只有电梯上顶了，但人们还是喜欢步行上山的。
2021-02-25,未知,5,柳州的马鞍山公园，我实在是太喜欢柳州了，太喜欢柳州的山山水水了 这个城市虽然是三四线，也不知道四五线城市 但是风景真的是很好 柳州一视同仁，该免费都免费，该收费都收费，这样才公平嘛
2021-01-17,未知,5,马鞍山公园晚上爬山的人还是挺多的，这也是到了柳州后我第一座山用20分钟征服成功的山。 刚到山门口有点倩女幽魂兰若寺的感觉，又寂静又看不见人，爬山过程中倒是遇见不少。 登顶后感觉自己瘦了五十斤[难过]山顶呼呼的大风刮不走我也要把我手机吹跑了。。。 夜景挺好看，只是我国产机差晚上拍不出什么。
2021-01-23,未知,5,柳州的马鞍山公园，就在市中心的路边，紧邻鱼峰公园，如果像我一样可以一天爬两个山，其实这个山真的也是小坡而已，爬起来没有什么负担的。
2022-07-18,未知,4,马鞍山公园很矮，上下总共差不多40分钟吧，很适合晨练！空气真的好，到山顶远眺视角非常棒，可以看到蜿蜿蜒蜒的柳江和两岸的城市，身心都舒畅了。这个视角算是柳州的经典名片啦！下山的时候发现还有电梯可以直达山脚下，头一回见，对一些腿脚不方便的老人家来说算是一个便利服务吧。
2021-02-26,未知,5,到了柳州，我每天都会爬山，登高望远，看风景，虽然柳州这个城市大部分地方旧旧的但是街道都是挺干净卫生的 公园设施也很好，都很完善
2024-08-12,广西,4,还行，船上卖的东西也不贵。好景配好船，就是人太多了 路过好看的夜景都是人挤人。柳江景色名不虚传，来柳州游玩必玩项目，一定不能错过
2021-05-29,未知,4,马鞍山公园建议晚上六七点上去，这样的话就可以看到对面的夜景了，但是爬上去差不多要一个小时，非常的累，可以考虑坐电梯，但是那电梯结束的时间也太早了。
2020-12-27,未知,5,马鞍山公园景色不错，原生态自然风景，爬爬山，美景尽收眼底，令人心旷神怡，流连忘返，趣味性强，锻炼锻炼身体，挺好的，性价比超高的。
2020-06-25,未知,4,马鞍山古称仙弃山，位于市中心，与鱼峰山东西呼应，是柳州市中心区的一座最高山峰之一，因石山古老秀劲，形如马鞍而得名，从山脚沿石径到达山顶，放眼眺望，柳州全城景色尽收眼底。
2021-04-18,未知,5,人没钱，景美，大美柳州。特意从桂林跑去吃螺狮粉，但发现柳州夜景更美
2020-08-10,未知,5,避暑、登山、健身、娱乐的好去处，晚上夕阳西下，这里更热闹了！
2020-09-14,未知,5,棒极了 夜景真美 值得一游 灯光闪烁 市中心被桥环绕着形成类似一个岛 棒！
2021-01-28,未知,5,绿树成荫，绿草如茵，风景独好！
