date,ip 属地,评分,comments
2016-05-19,未知,4,公园内的山峰亦称作立鱼峰，比马鞍山矮，但孤峰突兀，顶部有点像冲向天际的小鱼。由于免费开放，一到假日，狭窄的登山小道与山下的歌仙广场就挤满了前来游玩的人们，好生热闹。小龙潭中可以游船，山脚处有索道直挂马鞍山，城市风光一览无遗。在小龙潭东侧有三姐歌圩，就是几座壮族干栏式建筑，据说又是刘三姐的故居。无从考究真实性，但可以看得出广西人民对这位传奇歌手非常崇敬。
2024-12-05,河南,5,鱼峰公园的位置其实挺好找的，它就位于马鞍山公园的旁边，而整个公园合在一起又成了立鱼峰景区。公园的面积不算很大，逛起来也较为轻松，但是要想上到最高点，还是像马鞍山公园一样需要向上爬的。
2021-10-03,未知,5,立鱼峰景区不大，鱼峰公园就是围绕小龙潭而建的一个免费街边公园，湖面不大却也可划船，湖中有刘三姐乘鱼飞升的雕像，还有个宋代的灵泉古寺值得一看。立鱼峰没有旁边的马鞍山高，以前有索道连接立鱼峰和马鞍山封顶，现在索道没有了，不过可以乘竖井电梯上马鞍山。
2017-06-21,未知,5,鱼峰山公园，位于很泰城傍，公园面积不大，但绿色生态非常之旺盛，处处林荫蔽日，畅玩得乐，立鱼峰不高，应在六十余来的高度，属街心公园，北有鹅山公园，南有龙潭公园，东有柳江相伴，西有直达柳江门户通道，可谓绿能润沁人心，闹能静中得乐，可谓圣景！
2021-01-04,未知,4,臨柳州市觀景最佳宜之地，內有亭台樓閣，有佛寺祁福，有山有水，綠樹成蔭，漫步休閒，再登392台階上魚峰頂觀市景江景和夜景，最佳之處。
2018-02-17,未知,5,包括紧挨着的鱼峰公园和马鞍山公园，两处都是免费开放的，两处也都是登高观景的好地方，马鞍山更适合看北面柳江两岸的风景，鱼峰山顶则是俯瞰南面市区景色的好地方。鱼峰山较矮，只能徒步登顶，马鞍山更高山路也更陡些，除了徒步还有索道和电梯可帮助登顶，最省力快捷当属电梯。
2021-01-01,未知,5,鱼峰公园位于柳州市中心，园内魚峰平地崛起，山高88米，从山脚沿盘山小径登392级石阶，便可到达山顶。其山似立鱼又名“立魚峰”，山上绿树成荫，山脚一泓碧水称小龙潭。于后年畔俯览仰视，潭峰相映，如巨鲤识立潭面，称为“南潭鱼跃”，为柳州古八景之一。山腰七洞贯通，人称“灵通七窍”。相传歌仙刘三姐在此传唱山歌。从山顶望北朓望，江水碧绿，六桥飞架，大厦林立，车水马龙。
2019-05-01,未知,5,我和春天有个约会——“立鱼峰风景区”（二十八）， “立鱼峰”，也称鱼峰山，是柳州最主要的名山之一，位于柳州市柳江南岸，平地崛起，突兀耸秀，通高68米，海拔156.3米，呈东西走向，与马鞍山隔水相望，唐代文学家柳宗元称其“山小而高，其形如立鱼”，故得名立鱼峰，鱼峰山上绿树成荫，山脚一泓碧水称“小龙潭”，公园里有宋、元、明、清等朝代摩崖石刻近百方，还柳宗元游记，徐霞客足迹，刘三姐风情，八仙传说等丰富的历史文化积淀和具有柳州古八景之称的“南潭鱼跃”等自然风光，登上山顶，柳州城美景尽收眼底，市内有公交车直达“鱼峰公园”，还可一并游览相距700米的马鞍山，柳州的公园都是免费开放，
2017-02-22,未知,5,鱼峰公园，在柳州市的鱼峰路上，是国家4A级景区。公园内的，立鱼峰有88米高，平地崛起。鱼峰山也因柳宗元的山小而高而著称。
2021-07-06,未知,5,柳州 西汉（公元前111年）建城，唐贞观八年（公元634年）更名为柳州。最著名的历史人物当属柳宗元和刘三姐。 “歌仙”刘三姐是传说人物，广西各处都有她的遗迹，柳州自不能免俗，在立鱼峰景区建了故居和塑像。
2017-02-26,未知,5,柳州市的一处著名的景区，这里既有柳宗元所说的山小而高的鱼峰山，又有传说中刘三姐成为歌仙的地方。山上有揽车直达对面马鞍山上，看看柳州的全貌，看看柳江的180度转角。
2023-03-20,广西,5,鱼峰公园和马鞍山公园可以说是挨着，登高望远肯定是越高越好，所以鱼峰公园没有马鞍山人气旺。 我也拍了山顶的全景图，景致也不错，主要是山不高很好爬；下山一定注意安全，因为石台阶湿滑的很。 【景色】在山顶看柳州，更准确的说是看柳南，柳江对岸看不到。 【性价比】免费到山顶，半山腰有两处是收费5元的景点。
2021-01-19,未知,5,在柳州玩了几天后，昨天在发了一个圈:挺多人会被我朋友圈影响 看我去哪玩去哪吃跟着我的步伐 我挺高兴做了明灯 那今天告诉你们 柳州不止只有螺蛳粉 山山水水的地方很多 是被忽略的好地方 人也很友好 我热爱爬山 这里有无数的山 免费爬 比坑爹的桂林好多了 很多景点免费进 比坑爹的阳朔好多了 昨天爬的是鱼峰山，不高，有点小抖，可以放下手机专注爬山专注看看风景，棒。
