date,ip 属地,评分,comments
2019-09-08,未知,5,天气晴朗，叫了车子前往，要提前一个小时下订单，不然用不了，先前看了评价褒贬不一，心里也做好了准备，结果出乎意料，风景很美，环境也很干净，售票处进去走路15分钟，坐观光车3分钟，沿途风景如画，还能出租单车。等了竹筏回来，就上去了，竹筏很新，全程半个小时左右，水虽然还不够清澈，但和山峰绿树相映衬，也是风景宜人的，而且水中游超级凉快，真的值得来一趟。如果黄姚到姚江漂流的车子更方便，那就最好了。
2019-10-12,未知,5,在古镇门口坐十元车就能到，问下买票的姐姐他会教你怎样坐车，到后有观光车或者自行车。步行坐船点要20分钟才到，步行途中景色很美，很舒服。 自然风光。坐船就40分钟，船开得很慢，不是很长，可以走远点就差不多，建议能过桥后多十分钟就差还多。景色很美的
2019-06-02,未知,4,姚江漂流度假区距离黄姚古镇大约7公里，山奇水秀，可以乘坐竹筏漂流，也可以步行沿江游玩，还可以租自行车。大雨过后，山云雾缭绕，仿佛置身于仙境一般，景色迷人。
2019-04-06,未知,5,值！山水竹林景色非常不错！不过最爱还是这里的活山（景区这么叫的）风景！去过桂林看过象山的人，都觉得很神奇很惊讶！但是到了姚江之后，你就会发现！这里类似桂林象山的活山又集中又多！下水牛山、放牛娃山、圣旨山、如来神脚山、骆驼山、狮子山和孔子教书山等每个都很形象很逼真！对于我这个风水爱好者来说！更是如获珍宝一样，哈哈哈，书上寻龙点穴文章，无一不在这里得到验证……
2020-04-22,未知,3,景色真不错，但是这个漂流已经不是漂流了，只是游船而已，没有竹排过河坝这一段了。听说从去年5月份后游程缩短了，为了安全
2022-11-05,广西,5,超划算的行程，风景特色出其不意，亮点还真多……
2020-08-22,未知,5,因为下了雨的缘故，水略混，但是风景还是不错的！价格也实惠！半小时左右！值得来！
2023-02-21,广东,4,一个黄姚古镇附近的一个坐船小江。 从大门买票进去还有一段距离，会有车接送，但是整个坐船的路程不是很远，就一小段路程，不过景色还是不错的。虽然不是渡大江的那种。
2019-10-15,未知,5,风景秀丽，如诗如画，有点阳朔风光的味道。唯一美中不足就是是木筏是带马达的机动船，如果是人工竹筏就更有诗情画意了。
2023-08-15,广东,5,游船将近一小时，景色也很美，反正都是欣赏喀斯特地貌，价格不贵又不用像阳朔那样抢票排队挤人，我个人觉得性价比很高
2023-11-29,广东,5,在各种褒贬不一的评价中我选择了尝试，结果没有让我失望。老人家觉得值。
2019-08-02,未知,4,非著名景点，地方很小。进了大门到游船还有点距离。去时人很少，风景不错，还算舒服，有小漓江的味道。但游船35分钟有点短。
2019-04-08,未知,5,网上订票比到景区买票便宜耶，春天去风景很不错，绿水青山，碧波荡漾的，除了游竹排，还可以租自行车观光，还有当地的特色小吃美食。还是蛮不错的。
2019-04-12,未知,5,值得一来，有吃有玩，好山好水。
2019-04-08,未知,5,田园风光踏青一样，值得一游，离黄姚古镇很近。
2022-11-03,广西,5,风景很美很美，趁着人少的时候去别提多好了
2023-07-12,江苏,5,景区景色秀丽，竹筏漂流体验很不错。竹筏游是乘坐人工划动的竹筏，而竹筏漂从诗画田园码头出发，体验5个堤坝的过坝刺激。
2024-08-19,广东,4,是一个仿竹筏的小船，可以坐10人的，不是人工竹筏。8月中旬去的、贺州的风景区整体来说都没什么人、紫云洞，黄桃古镇，姑婆山，人少清静！
2021-10-02,未知,5,疫情原因，国庆节几乎包场。观光车和竹筏全程vip服务，景区人少服务体验爆表。还在当地老乡的家里吃到了现抓现杀的走地鸡，逃离人海简直不要太棒。
2023-05-03,广东,5,舒服，人少，景色也不错。可以开车到竹筏那里的！！！记得！！可以开车的！！感觉这次旅行这个景点最好！
2024-02-04,广西,3,包场的节奏，可能天气冻，服务人员也没几个，有点荒凉的感觉
2019-04-09,未知,5,很好玩，刚好不用排队。挺漂亮的，去的时候是淡季人不多
2019-08-20,未知,5,要坐电瓶车进去（1.2km左右）才能坐船，景色还行！天气太热，船家给我们换了电动船，这样我们四个人也刚好可以一艘船，谢谢哈！
2019-08-20,未知,5,要坐电瓶车进去（1.2km左右）才能坐船，景色还行！天气太热，船家给我们换了电动船，这样我们四个人也刚好可以一艘船，谢谢哈！
2023-04-16,广西,5,景色还行，但是游客中心到坐竹筏的地方还挺远
2021-10-12,未知,3,确实无法和漓江竹筏相比 我们坐的是大竹筏门票最便宜的那种距离实在是太短了一个来回估计1000米都没有 门票贵点的那种应该是环一圈吧 环境风景的话其实还不错就是游竹筏的距离实在是太短了 开车过去将近一个小时游竹筏前前后后还不到半小时哎
2019-05-01,未知,5,环境不错。。。。劳动节出行 还好 人不算多
2024-11-01,广东,3,环境还好，安静，路程有点短，来回就只有十来分钟不到，不过没啥人，河上就一两条船，就是没什么趣味性
2023-05-28,广西,4,开心，天气明朗
